team_id,pre_off,pre_def,route_off,route_def,pre_power
2,8.76575463444847,-7.73467716509542,"last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_pass|cont_skill|cp_x_lo|cs_x_lo|qb_xfer_in|talent4|bluechip4|new_hc|log_tenure|conf_off|promoted (n=832, lambda=0.3)","last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_def|cd_x_ld|talent4|bluechip4|new_hc|log_tenure|conf_def|promoted (n=596, lambda=0.3)",16.5004317995439
5,-5.5693017510941,7.87532974728128,"last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_pass|cont_skill|cp_x_lo|cs_x_lo|qb_xfer_in|talent4|bluechip4|new_hc|log_tenure|conf_off|promoted (n=832, lambda=0.3)","last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_def|cd_x_ld|talent4|bluechip4|new_hc|log_tenure|conf_def|promoted (n=596, lambda=0.3)",-13.4446314983754
6,-3.04058603338389,4.8381418291244,"last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_pass|cont_skill|cp_x_lo|cs_x_lo|qb_xfer_in|talent4|bluechip4|new_hc|log_tenure|conf_off|promoted (n=832, lambda=0.3)","last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_def|cd_x_ld|talent4|bluechip4|new_hc|log_tenure|conf_def|promoted (n=596, lambda=0.3)",-7.87872786250828
8,4.9701804720697,-1.07871967933928,"last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_pass|cont_skill|cp_x_lo|cs_x_lo|qb_xfer_in|talent4|bluechip4|new_hc|log_tenure|conf_off|promoted (n=832, lambda=0.3)","last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_def|cd_x_ld|talent4|bluechip4|new_hc|log_tenure|conf_def|promoted (n=596, lambda=0.3)",6.04890015140898
9,0.619739057792446,-4.20028758523734,"last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_pass|cont_skill|cp_x_lo|cs_x_lo|qb_xfer_in|talent4|bluechip4|new_hc|log_tenure|conf_off|promoted (n=832, lambda=0.3)","last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_def|cd_x_ld|talent4|bluechip4|new_hc|log_tenure|conf_def|promoted (n=596, lambda=0.3)",4.82002664302978
12,3.95901058744003,-3.27147661162971,"last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_pass|cont_skill|cp_x_lo|cs_x_lo|qb_xfer_in|talent4|bluechip4|new_hc|log_tenure|conf_off|promoted (n=832, lambda=0.3)","last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_def|cd_x_ld|talent4|bluechip4|new_hc|log_tenure|conf_def|promoted (n=596, lambda=0.3)",7.23048719906975
16,-4.58114361267038,6.45966733090083,"qb_xfer_in|talent4|bluechip4|new_hc|log_tenure|conf_off|promoted (n=970, lambda=0.03)","talent4|bluechip4|new_hc|log_tenure|conf_def|promoted (n=970, lambda=0.03)",-11.0408109435712
21,0.76865706963829,-0.0384223740073279,"last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_pass|cont_skill|cp_x_lo|cs_x_lo|qb_xfer_in|talent4|bluechip4|new_hc|log_tenure|conf_off|promoted (n=832, lambda=0.3)","last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_def|cd_x_ld|talent4|bluechip4|new_hc|log_tenure|conf_def|promoted (n=596, lambda=0.3)",0.807079443645618
23,-6.02832549109234,6.52267346128055,"last_off|last_def|two_off|two_def|cont_pass|cont_skill|cp_x_lo|cs_x_lo|qb_xfer_in|talent4|bluechip4|new_hc|log_tenure|conf_off|promoted (n=839, lambda=0.3)","last_off|last_def|two_off|two_def|cont_def|cd_x_ld|talent4|bluechip4|new_hc|log_tenure|conf_def|promoted (n=601, lambda=0.3)",-12.5509989523729
24,-3.49886664465027,0.165171556576694,"last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_pass|cont_skill|cp_x_lo|cs_x_lo|qb_xfer_in|talent4|bluechip4|new_hc|log_tenure|conf_off|promoted (n=832, lambda=0.3)","last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_def|cd_x_ld|talent4|bluechip4|new_hc|log_tenure|conf_def|promoted (n=596, lambda=0.3)",-3.66403820122697
25,1.84791683783275,1.73644339071514,"last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_pass|cont_skill|cp_x_lo|cs_x_lo|qb_xfer_in|talent4|bluechip4|new_hc|log_tenure|conf_off|promoted (n=832, lambda=0.3)","last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_def|cd_x_ld|talent4|bluechip4|new_hc|log_tenure|conf_def|promoted (n=596, lambda=0.3)",0.111473447117606
26,3.3554594055981,-1.74332247761169,"last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_pass|cont_skill|cp_x_lo|cs_x_lo|qb_xfer_in|talent4|bluechip4|new_hc|log_tenure|conf_off|promoted (n=832, lambda=0.3)","last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_def|cd_x_ld|talent4|bluechip4|new_hc|log_tenure|conf_def|promoted (n=596, lambda=0.3)",5.09878188320979
30,8.05749430295648,-7.53042371598139,"last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_pass|cont_skill|cp_x_lo|cs_x_lo|qb_xfer_in|talent4|bluechip4|new_hc|log_tenure|conf_off|promoted (n=832, lambda=0.3)","last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_def|cd_x_ld|talent4|bluechip4|new_hc|log_tenure|conf_def|promoted (n=596, lambda=0.3)",15.5879180189379
36,-4.48027103186969,3.07167024012759,"last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_pass|cont_skill|cp_x_lo|cs_x_lo|qb_xfer_in|talent4|bluechip4|new_hc|log_tenure|conf_off|promoted (n=832, lambda=0.3)","last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_def|cd_x_ld|talent4|bluechip4|new_hc|log_tenure|conf_def|promoted (n=596, lambda=0.3)",-7.55194127199729
38,1.69735225497314,-2.40762309520353,"last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_pass|cont_skill|cp_x_lo|cs_x_lo|qb_xfer_in|talent4|bluechip4|new_hc|log_tenure|conf_off|promoted (n=832, lambda=0.3)","last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_def|cd_x_ld|talent4|bluechip4|new_hc|log_tenure|conf_def|promoted (n=596, lambda=0.3)",4.10497535017667
41,-3.43691409901069,5.68481542586758,"last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_pass|cont_skill|cp_x_lo|cs_x_lo|qb_xfer_in|talent4|bluechip4|new_hc|log_tenure|promoted (n=864, lambda=0.3)","last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_def|cd_x_ld|talent4|bluechip4|new_hc|log_tenure|promoted (n=621, lambda=0.3)",-9.12172952487826
48,-3.94428430939958,6.64174110476904,"last_off|last_def|last_sr_off|last_sr_def|cont_pass|cont_skill|cp_x_lo|cs_x_lo|qb_xfer_in|talent4|bluechip4|new_hc|log_tenure|conf_off|promoted (n=955, lambda=0.1)","last_off|last_def|last_sr_off|last_sr_def|cont_def|cd_x_ld|talent4|bluechip4|new_hc|log_tenure|conf_def|promoted (n=599, lambda=0.3)",-10.5860254141686
52,5.57977073307225,-5.34104760932808,"last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_pass|cont_skill|cp_x_lo|cs_x_lo|qb_xfer_in|talent4|bluechip4|new_hc|log_tenure|conf_off|promoted (n=832, lambda=0.3)","last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_def|cd_x_ld|talent4|bluechip4|new_hc|log_tenure|conf_def|promoted (n=596, lambda=0.3)",10.9208183424003
55,-3.93436573060295,5.60521616636555,"last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_pass|cont_skill|cp_x_lo|cs_x_lo|qb_xfer_in|talent4|bluechip4|new_hc|log_tenure|conf_off|promoted (n=832, lambda=0.3)","last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_def|cd_x_ld|talent4|bluechip4|new_hc|log_tenure|conf_def|promoted (n=596, lambda=0.3)",-9.53958189696849
57,6.44348752755094,-7.28501053808764,"last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_pass|cont_skill|cp_x_lo|cs_x_lo|qb_xfer_in|talent4|bluechip4|new_hc|log_tenure|conf_off|promoted (n=832, lambda=0.3)","last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_def|cd_x_ld|talent4|bluechip4|new_hc|log_tenure|conf_def|promoted (n=596, lambda=0.3)",13.7284980656386
58,1.61277578632564,0.859184664535718,"last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_pass|cont_skill|cp_x_lo|cs_x_lo|qb_xfer_in|talent4|bluechip4|new_hc|log_tenure|conf_off|promoted (n=832, lambda=0.3)","last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_def|cd_x_ld|talent4|bluechip4|new_hc|log_tenure|conf_def|promoted (n=596, lambda=0.3)",0.753591121789919
59,2.20417155353931,-2.68065702912444,"last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_pass|cont_skill|cp_x_lo|cs_x_lo|qb_xfer_in|talent4|bluechip4|new_hc|log_tenure|conf_off|promoted (n=832, lambda=0.3)","last_off|last_def|two_off|two_def|last_sr_off|last_sr_def|cont_def|cd_x_ld|talent4|bluechip4|new_hc|log_tenure|conf_def|promoted (n=596, lambda=0.3)",4.88482858266375
