"season","rank","school","conference"
2018,1,"Alabama","SEC"
2018,2,"Clemson","ACC"
2018,3,"Notre Dame","FBS Independents"
2018,4,"Oklahoma","Big 12"
2018,5,"Georgia","SEC"
2018,6,"Ohio State","Big Ten"
2018,7,"Michigan","Big Ten"
2018,8,"UCF","American Athletic"
2018,9,"Washington","Pac-12"
2018,10,"Florida","SEC"
2018,11,"LSU","SEC"
2018,12,"Penn State","Big Ten"
2018,13,"Washington State","Pac-12"
2018,14,"Kentucky","SEC"
2018,15,"Texas","Big 12"
2018,16,"West Virginia","Big 12"
2018,17,"Utah","Pac-12"
2018,18,"Mississippi State","SEC"
2018,19,"Texas A&M","SEC"
2018,20,"Syracuse","ACC"
2018,21,"Fresno State","Mountain West"
2018,22,"Northwestern","Big Ten"
2018,23,"Missouri","SEC"
2018,24,"Iowa State","Big 12"
2018,25,"Boise State","Mountain West"
2019,1,"LSU","SEC"
2019,2,"Ohio State","Big Ten"
2019,3,"Clemson","ACC"
2019,4,"Oklahoma","Big 12"
2019,5,"Georgia","SEC"
2019,6,"Oregon","Pac-12"
2019,7,"Baylor","Big 12"
2019,8,"Wisconsin","Big Ten"
2019,9,"Florida","SEC"
2019,10,"Penn State","Big Ten"
2019,11,"Utah","Pac-12"
2019,12,"Auburn","SEC"
2019,13,"Alabama","SEC"
2019,14,"Michigan","Big Ten"
2019,15,"Notre Dame","FBS Independents"
2019,16,"Iowa","Big Ten"
2019,17,"Memphis","American Athletic"
2019,18,"Minnesota","Big Ten"
2019,19,"Boise State","Mountain West"
2019,20,"App State","Sun Belt"
2019,21,"Cincinnati","American Athletic"
2019,22,"USC","Pac-12"
2019,23,"Navy","American Athletic"
2019,24,"Virginia","ACC"
2019,25,"Oklahoma State","Big 12"
2020,1,"Alabama","SEC"
2020,2,"Clemson","ACC"
2020,3,"Ohio State","Big Ten"
2020,4,"Notre Dame","ACC"
2020,5,"Texas A&M","SEC"
2020,6,"Oklahoma","Big 12"
2020,7,"Florida","SEC"
2020,8,"Cincinnati","American Athletic"
2020,9,"Georgia","SEC"
2020,10,"Iowa State","Big 12"
2020,11,"Indiana","Big Ten"
2020,12,"Coastal Carolina","Sun Belt"
2020,13,"North Carolina","ACC"
2020,14,"Northwestern","Big Ten"
2020,15,"Iowa","Big Ten"
2020,16,"BYU","FBS Independents"
2020,17,"USC","Pac-12"
2020,18,"Miami","ACC"
2020,19,"Louisiana","Sun Belt"
2020,20,"Texas","Big 12"
2020,21,"Oklahoma State","Big 12"
2020,22,"San Jos<U+00E9> State","Mountain West"
2020,23,"NC State","ACC"
2020,24,"Tulsa","American Athletic"
2020,25,"Oregon","Pac-12"
2021,1,"Alabama","SEC"
2021,2,"Michigan","Big Ten"
2021,3,"Georgia","SEC"
2021,4,"Cincinnati","American Athletic"
2021,5,"Notre Dame","FBS Independents"
2021,6,"Ohio State","Big Ten"
