kickoff_et,home_team,away_team,neutral_site,home_conference,away_conference,opponent_type,opening_line_home_spread,c2_implied_spread,incumbent_implied_spread,c2_minus_incumbent,c2_minus_opening_line,incumbent_minus_opening_line,opening_line_books,game_id
Thu 09/24 07:30 PM,Coastal Carolina,Liberty,FALSE,Sun Belt,Conference USA,FBS vs FBS,0.5,1.1,3.9,-2.8,0.6,3.4,2,401869941
Fri 09/25 04:00 PM,Temple,Army,FALSE,American Athletic,American Athletic,FBS vs FBS,3,2.2,-0.2,2.3,-0.8,-3.2,2,401862779
Fri 09/25 07:00 PM,Rutgers,Howard,FALSE,Big Ten,MEAC,FBS vs FCS/lower,-42.25,-39.6,-23.5,-16,2.7,18.7,2,401858468
Fri 09/25 07:00 PM,UAB,Navy,FALSE,American Athletic,American Athletic,FBS vs FBS,9.25,3.4,6.1,-2.7,-5.9,-3.1,2,401862778
Fri 09/25 08:00 PM,Indiana,Northwestern,FALSE,Big Ten,Big Ten,FBS vs FBS,-22.5,-15,-18.1,3.1,7.5,4.4,2,401858461
Fri 09/25 10:30 PM,California,Clemson,FALSE,ACC,ACC,FBS vs FBS,0,4.3,7.6,-3.3,4.3,7.6,2,401858234
Sat 09/26 12:00 PM,Akron,UNLV,FALSE,Mid-American,Mountain West,FBS vs FBS,13.75,2.8,8.7,-5.8,-10.9,-5.1,2,401864512
Sat 09/26 12:00 PM,Baylor,Colorado,FALSE,Big 12,Big 12,FBS vs FBS,-9.25,-11.2,-12.5,1.3,-1.9,-3.2,2,401856813
Sat 09/26 12:00 PM,Boston College,Virginia Tech,FALSE,ACC,ACC,FBS vs FBS,14,14.4,10.1,4.3,0.4,-3.9,2,401858242
Sat 09/26 12:00 PM,Kent State,Ball State,FALSE,Mid-American,Mid-American,FBS vs FBS,-3.75,-1.5,-4.7,3.2,2.3,-0.9,2,401866425
Sat 09/26 12:00 PM,Louisville,Wake Forest,FALSE,ACC,ACC,FBS vs FBS,-13,-13.6,-8.5,-5.1,-0.6,4.5,2,401858243
Sat 09/26 12:00 PM,Ohio State,Illinois,FALSE,Big Ten,Big Ten,FBS vs FBS,-27.25,-23.1,-27.7,4.7,4.2,-0.5,2,401858465
Sat 09/26 12:00 PM,Pittsburgh,Bucknell,FALSE,ACC,Patriot,FBS vs FCS/lower,-53.5,-58.7,-36.8,-22,-5.2,16.7,2,401858236
Sat 09/26 12:00 PM,Tennessee,Texas,FALSE,SEC,SEC,FBS vs FBS,5,8.5,6.3,2.2,3.5,1.3,2,401856704
Sat 09/26 12:00 PM,Texas Tech,Sam Houston,FALSE,Big 12,Conference USA,FBS vs FBS,-36.5,-25.2,-33.3,8.1,11.3,3.2,2,401856805
