team,conference,c2_power_rating,incumbent_power_rating,c2_minus_incumbent,c2_rank,incumbent_rank,c2_off_rating,c2_def_rating,incumbent_off_rating,incumbent_def_rating,games_played_all,games_played_incumbent,team_id
Ohio State,Big Ten,28.24,29.12,-0.87,1,2,13.02,-15.22,14,-15.11,3,3,194
Texas,SEC,27.97,26.39,1.58,2,4,14.09,-13.88,12.86,-13.53,2,2,251
Notre Dame,FBS Independents,27.77,29.38,-1.61,3,1,11.71,-16.06,13.73,-15.64,3,3,87
Georgia,SEC,25.8,29,-3.2,4,3,16.45,-9.35,16.94,-12.06,3,2,61
Alabama,SEC,25.25,25.68,-0.43,5,5,15.03,-10.22,15.96,-9.72,3,3,333
Miami,ACC,23.95,24.92,-0.96,6,6,16.18,-7.77,11.15,-13.76,3,2,2390
LSU,SEC,23.27,17.89,5.38,7,12,10.98,-12.29,8.13,-9.76,3,3,99
Texas A&M,SEC,21.42,20.19,1.23,8,8,11.23,-10.18,11.89,-8.3,3,3,245
Indiana,Big Ten,20.22,21.9,-1.68,9,7,8.65,-11.57,9.39,-12.51,3,2,84
Oregon,Big Ten,19.96,18.7,1.27,10,10,13.05,-6.91,11.72,-6.98,3,2,2483
Utah,Big 12,19.68,19.82,-0.14,11,9,11.06,-8.62,9.31,-10.51,3,2,254
Oklahoma,SEC,19.56,18.2,1.36,12,11,5.04,-14.52,4.18,-14.02,3,3,201
Ole Miss,SEC,18.57,16.29,2.28,13,17,11.69,-6.87,10.74,-5.55,3,3,145
Florida,SEC,18.22,17.15,1.07,14,14,12.96,-5.26,11.8,-5.35,3,2,57
Penn State,Big Ten,18.02,16.77,1.25,15,16,6.46,-11.56,6.18,-10.59,3,3,213
USC,Big Ten,16.73,17.81,-1.09,16,13,11.31,-5.41,12.01,-5.8,4,4,30
Tennessee,SEC,16.36,16.99,-0.63,17,15,10.57,-5.79,11.22,-5.77,3,2,2633
Auburn,SEC,15.17,9.67,5.5,18,27,8.1,-7.07,3.16,-6.51,3,3,2
Mississippi State,SEC,14.14,14.42,-0.28,19,21,10.91,-3.22,11.12,-3.3,3,3,344
Iowa,Big Ten,14.07,13.34,0.72,20,23,3.2,-10.86,2.83,-10.51,3,2,2294
BYU,Big 12,13.99,13.74,0.25,21,22,8.19,-5.8,6.66,-7.08,3,2,252
Texas Tech,Big 12,13.46,14.77,-1.31,22,20,7.05,-6.41,7.62,-7.15,3,2,2641
Nebraska,Big Ten,13.42,12.68,0.74,23,24,6.09,-7.33,8.06,-4.62,3,2,158
Louisville,ACC,13.12,7.39,5.72,24,34,10.61,-2.5,6.61,-0.78,3,2,97
Kansas State,Big 12,12.92,8.08,4.84,25,32,8.44,-4.48,4.78,-3.3,3,2,2306
Michigan,Big Ten,12.9,15.1,-2.2,26,18,3.92,-8.97,5.78,-9.32,3,3,130
SMU,ACC,12.87,8.21,4.66,27,31,7.81,-5.06,4.96,-3.25,3,2,2567
Pittsburgh,ACC,11.29,8.72,2.57,28,30,3.24,-8.05,3.2,-5.52,3,3,221
South Carolina,SEC,10.83,14.82,-3.99,29,19,5.89,-4.95,7.9,-6.93,3,2,2579
Virginia Tech,ACC,10.26,5.42,4.84,30,43,9.13,-1.13,4.13,-1.29,3,2,259
Missouri,SEC,10.1,9.04,1.06,31,29,3.13,-6.97,4.09,-4.95,3,2,142
Virginia,ACC,10.01,1.61,8.4,32,55,4.45,-5.55,-0.47,-2.08,3,2,258
UCLA,Big Ten,9.97,3.24,6.73,33,49,5.14,-4.82,1.9,-1.34,2,2,26
Houston,Big 12,8.98,5.46,3.53,34,42,6.88,-2.11,3.86,-1.6,3,2,248
Florida State,ACC,8.91,9.69,-0.78,35,26,5.7,-3.21,6.41,-3.28,3,3,52
Northwestern,Big Ten,8.3,6.84,1.47,36,37,3.62,-4.68,2.18,-4.65,2,1,77
Illinois,Big Ten,8.24,4.45,3.79,37,46,6.63,-1.61,3.81,-0.64,3,2,356
Vanderbilt,SEC,8.1,6.8,1.3,38,38,3.8,-4.3,5.94,-0.86,3,2,238
Kentucky,SEC,7.98,5.88,2.1,39,40,3.57,-4.41,1.8,-4.08,3,2,96
Arizona,Big 12,7.63,9.24,-1.62,40,28,2.46,-5.17,4.23,-5.02,2,1,12
Arizona State,Big 12,7.59,0.73,6.86,41,60,3.82,-3.77,-0.48,-1.21,3,2,9
Baylor,Big 12,7.15,2.67,4.48,42,51,0.89,-6.25,1.03,-1.64,3,2,239
NC State,ACC,6.9,1.29,5.62,43,56,5.48,-1.42,1.1,-0.19,3,2,152
Boise State,Pac-12,6.53,7.66,-1.13,44,33,3.28,-3.25,4.69,-2.97,2,2,68
Wisconsin,Big Ten,6.14,6.92,-0.78,45,35,1.58,-4.56,3.14,-3.78,3,2,275
UCF,Big 12,6.02,-1.39,7.41,46,67,1.38,-4.64,-3.11,-1.72,3,2,2116
Duke,ACC,6.02,6.86,-0.85,47,36,1.24,-4.78,2.18,-4.68,3,3,150
Washington,Big Ten,5.89,11.46,-5.57,48,25,1.58,-4.31,3.31,-8.15,3,2,264
Kansas,Big 12,5.55,-4.56,10.11,49,82,2.18,-3.37,-2.61,1.95,3,2,2305
Maryland,Big Ten,5.5,4.11,1.39,50,47,2.36,-3.15,1.5,-2.62,3,2,120
Iowa State,Big 12,5.29,6.41,-1.12,51,39,1.13,-4.16,1.42,-4.99,3,2,66
Michigan State,Big Ten,4.89,4.52,0.38,52,45,1.2,-3.7,0.14,-4.37,3,3,127
Minnesota,Big Ten,4.81,2.49,2.33,53,52,0.77,-4.05,-0.68,-3.17,3,2,135
Cincinnati,Big 12,4.28,-2.57,6.85,54,75,3.45,-0.83,-0.63,1.95,3,2,2132
Clemson,ACC,4.09,5.47,-1.37,55,41,-0.68,-4.77,0.89,-4.58,3,3,228
TCU,Big 12,3.55,4.7,-1.15,56,44,0.37,-3.17,-0.07,-4.76,2,1,2628
Georgia Tech,ACC,2.61,0.03,2.58,57,63,0.86,-1.75,-1.23,-1.26,3,2,59
Wake Forest,ACC,2.57,1.97,0.61,58,54,0.95,-1.62,1.68,-0.29,3,3,154
