split,fcs_conf,n,bias,lo95,hi95,mae
cond,SWAC,19,-21.5503897936968,-26.3448726778842,-15.8120621111844,22.5630042702734
cond,MEAC,18,-16.5936701750298,-22.2447839050372,-10.6707820374053,18.1766754621912
cond,NEC,19,-13.7123997185878,-19.5877452280575,-8.63087662261612,18.1563383854198
cond,Southland,21,-12.5909785675101,-21.5649169422537,-5.86598601537982,15.8422224406498
cond,Coastal Athletic,24,-12.4068288548944,-18.4442266523168,-7.22328838110812,13.9554516952485
cond,MVFC,18,-10.883111226348,-18.0936983790901,-5.71014863057149,13.0956893641803
cond,Southern,19,-9.50342214571861,-16.5174035110989,-4.00229732265373,13.4477068208249
cond,Big Sky,23,-4.46439130105603,-10.6797396121704,-0.488087800852452,13.8085432376194
cond,UAC,16,-1.27913379012529,-9.23762498580148,6.82109459924888,13.7080560338651
dev,MEAC,31,-17.7609904551124,-22.1612563553686,-12.3293106253347,19.3262722303612
dev,SWAC,32,-13.6304162050246,-17.5251992393573,-10.2142805273241,15.1283722246618
dev,OVC,34,-12.0688832465199,-16.1797470162925,-7.84367711206743,14.0007980447883
dev,Big South,22,-12.00804258825,-18.7212619325819,-3.44078034809353,16.8107711899649
dev,Big Sky,38,-9.13598734448287,-13.9416453184334,-3.85557907835342,16.7867609581134
dev,Southland,25,-8.90482830930371,-17.1875607764811,-1.0781494339535,17.6451735018953
dev,CAA,39,-7.96197936757255,-11.8407088991867,-3.38062215415723,13.2459600480231
dev,Southern,41,-7.26228705982246,-11.6253245418752,-2.64921079628519,14.555498376727
dev,Patriot,15,-6.94368553701813,-12.4316166017704,-1.42148363691552,11.7004744140311
dev,MVFC,26,-6.93538813826441,-13.4978494126687,-0.0172982943841488,14.1591420422583
