split,q_fcs,n,bias,lo95,hi95,mae,mean_fcs_r
dev,Q4,67,-9.51736049678436,-12.3962752977199,-5.76962149088997,15.55106868393,-13.0668272835234
dev,Q2,67,-10.5571972228243,-13.7678837072457,-7.75336098473505,15.1968203381314,-21.4391788926549
dev,Q3,67,-12.6852623193419,-16.9158204349288,-7.66927605203952,16.4416834619939,-16.8592450053534
dev,Q5,67,-9.7932393061784,-12.6305057473774,-6.08605088561201,15.4372893510752,-6.13120056279448
dev,Q1,67,-11.0702714855907,-14.5168440235102,-7.96627338225907,16.3548874889891,-30.1576171400543
cond,Q4,42,-10.8142350011634,-15.5702932681207,-7.71924319972849,15.3018135215465,-14.4076575098866
cond,Q5,43,-11.7406550396595,-17.1051562963264,-7.24885993031639,15.0433127505121,-7.56060701167052
cond,Q2,42,-9.65474821802226,-12.9999576636675,-6.39194003993139,14.8917331554487,-23.809938363033
cond,Q3,43,-15.4291142806533,-19.7801052745672,-11.8038496222333,19.3719116368589,-19.5306424316547
cond,Q1,42,-8.82195459846203,-13.7086380649866,-4.23072477228886,13.0937296771501,-30.3276211640688
