slice,split,level,n,bias,lo95,hi95,mae
season,dev,2017,48,-7.90350286938677,-12.1633740105118,-4.0371249942872,13.7786017007571
season,dev,2018,65,-13.1117134618325,-15.5400054466359,-5.53683087594703,16.4818484359444
season,dev,2019,72,-11.4382268697145,-13.1565139706133,-8.01075836423761,15.3933177954327
season,dev,2021,72,-8.10143114627135,-10.490532172007,-2.18296181150105,15.5890799405604
season,dev,2022,78,-12.2343368686868,-14.9336845133602,-7.80699177218161,17.0301479198947
season,cond,2023,76,-9.3231511164619,-12.8350986759626,-6.3335513131464,15.3870945450281
season,cond,2024,60,-10.8927456955193,-13.4298758124129,-8.00799313972959,13.7183242069283
season,cond,2025,76,-13.6367795070051,-16.9265458646588,-11.4481343194247,17.1763370749107
wk_b,dev,1-2,7,-14.4006808034185,-27.17135903125,-6.67459415609332,17.0782937633629
wk_b,dev,3,131,-12.5176037923152,-14.9456744070705,-10.3813307001858,16.4474964012606
wk_b,dev,4-5,128,-9.98930611799946,-12.3718546280631,-6.65162698355722,16.1089558561366
wk_b,dev,6+,69,-8.31190029184166,-11.4204740726653,-4.7657767563397,13.8501560901716
wk_b,cond,3,88,-10.0240622124573,-13.1255548961321,-7.41038885345882,16.7012756261398
wk_b,cond,4-5,81,-13.7684739689033,-15.5414473416452,-11.7375509311633,15.9431620418922
wk_b,cond,6+,33,-7.73081724023974,-11.6801566168195,-4.99677752241946,10.9470588246276
wk_b,cond,1-2,10,-14.6038634009328,-16.2434652238212,-13.244077944486,17.5558933824766
gp_b,dev,1,156,-12.0180725912701,-14.2451203979848,-9.71950446415039,16.4317724146649
gp_b,dev,2-3,118,-10.6204349410483,-13.2594086125458,-7.53785523357116,16.1745709775804
gp_b,dev,4-6,16,-5.10309283654686,-9.67340637962948,-0.853810390166979,9.22023464980504
gp_b,dev,7+,45,-8.512956288703,-13.1457275496383,-3.51276923842312,14.9399461839316
gp_b,cond,1,96,-10.0181482381932,-12.1957207372067,-7.72411399003241,16.6797059549666
gp_b,cond,4-6,11,-9.879833425674,-17.789870724594,-4.10872471539633,13.2291314262953
gp_b,cond,2-3,83,-14.2368707147011,-15.8921275647153,-11.3821214078062,16.0893438872475
gp_b,cond,7+,22,-6.65630914752261,-10.8689946964807,-3.81079062717267,9.80602252379381
fbsgp_b,dev,0,236,-11.0846609351039,-12.9628550907633,-8.70397218345899,16.3881577535087
fbsgp_b,dev,1+,99,-9.86649681791618,-12.4380771245113,-6.98549150214972,14.3855755039188
fbsgp_b,cond,0,137,-11.9162682621526,-14.3406033722326,-9.51760246166934,15.6065688603641
fbsgp_b,cond,1+,75,-10.2132095626632,-13.9531423391978,-6.03122995925919,15.4642709554823
q_fbs,dev,Q1,69,-14.7170265082361,-17.9678824133219,-11.1028375208097,19.0692577226805
q_fbs,dev,Q5,82,-8.74534998112545,-11.6815068133724,-4.58261007790158,13.2172982794101
q_fbs,dev,Q4,66,-9.13077799308545,-12.2556349227715,-5.94767472705284,14.7774983727725
q_fbs,dev,Q3,53,-10.2983794814513,-13.9342295150856,-6.20984283375263,15.3843376216769
q_fbs,dev,Q2,65,-10.9496027396474,-17.4850976419489,-4.6859838604771,16.9460796367319
q_fbs,cond,Q2,44,-11.1967991787921,-15.9273657559261,-7.49365207635611,16.2680203047134
q_fbs,cond,Q3,36,-13.2813263361151,-17.7045586864008,-8.48359524426194,16.2856471827935
q_fbs,cond,Q5,42,-6.52013582855149,-10.8768139421986,-2.7530645563586,13.7871753269535
q_fbs,cond,Q1,51,-12.697529977642,-16.2768463944188,-8.72644632613653,16.285598989092
q_fbs,cond,Q4,39,-12.9823800894551,-15.5367567390772,-10.775127087398,15.0312090094194
fbs_tier,dev,G5,143,-11.3711555800002,-14.201421265271,-8.68087093527817,16.0801697631309
fbs_tier,dev,P4,165,-10.6084721504972,-13.2352842975145,-7.61165684350905,15.6480673124225
fbs_tier,dev,Independent,27,-8.01074121800575,-14.4435761859878,-1.8381363376746,15.1993267421697
fbs_tier,cond,G5,106,-11.8201286953184,-15.7198848921043,-8.14209718109236,16.7187612679695
fbs_tier,cond,P4,99,-10.4402934274791,-12.9317250889747,-8.28766636986694,14.1795545912896
fbs_tier,cond,Independent,7,-15.9995397272096,-27.2363844822038,-5.18553057438943,17.422236655515
site_b,dev,FBS home,327,-10.4942073528763,-12.1102712844635,-8.54142970424272,15.6224407946602
site_b,dev,neutral,7,-17.5510214252641,-29.5936983914224,-5.49248032589346,20.7055505101875
site_b,dev,FCS home,1,-38.3002112908207,-38.3002112908207,-38.3002112908207,38.3002112908207
site_b,cond,FBS home,210,-11.4482099432357,-13.4365242908843,-9.49898261165591,15.6576980172008
site_b,cond,neutral,2,2.80230948242459,-2.09952647701369,7.70414544186287,4.90183595943828
pm_b,dev,<14,103,-14.6201150552527,-18.5419535515046,-10.5767806811172,19.1130373066546
pm_b,dev,28-42,65,-10.4761787232337,-12.8693926410832,-7.22923302587752,14.38811956182
pm_b,dev,14-28,151,-8.99410912880345,-11.2952296701671,-6.37908878310474,14.6073740773022
pm_b,dev,42+,16,-2.98932621923009,-10.1979083927675,4.96680108277865,11.3870690587288
pm_b,cond,14-28,73,-12.6493057282566,-15.2438534749369,-10.064354788223,15.7383892874341
pm_b,cond,<14,77,-12.9103952512072,-15.6994881483174,-10.0785904368443,16.4663925252589
pm_b,cond,28-42,49,-9.21091838219865,-12.9461693717222,-5.00970212598133,14.9294702193116
pm_b,cond,42+,13,-2.28343968317168,-7.27681847892908,2.42700388997593,11.5047363351655
div,dev,fcs,335,-10.7246661661439,-12.1439653733248,-8.78936031228111,15.7963498648239
div,cond,fcs,212,-11.3137710807295,-13.039807615648,-9.41039074858178,15.5562276204295
