season,n_fcs,n_ii,penalized_fcs,penalized_ii,free_level_fcs,free_level_ii,pi_prior_fcs,pi_prior_ii,n_link,insample_link_resid
2013,127,4,-13.3282502142341,-12.6035210899857,-27.4026180161385,-31.4579826152338,0.432702045469833,0.579661138818838,111,11.6912044213708
2014,124,40,-14.1454104008416,-23.4727763458211,-29.0980416071072,-42.7663330241426,0.428510571692122,0.552912252576495,108,13.0341763890809
2015,125,34,-15.4177819557281,-23.5124967726411,-30.1668278958294,-42.8852330437066,0.428166481435072,0.56239273771594,105,12.8397816906688
2016,125,36,-14.3143779799576,-25.586962245159,-27.817928891226,-44.065124729979,0.411958703053239,0.563721342784084,113,11.6518035302206
2017,124,28,-13.3484689399489,-23.5932593316829,-27.4723132361472,-41.7106501643709,0.442987031887856,0.568242542342739,98,12.3941369748547
2018,125,32,-15.0089348699963,-27.5884241037752,-29.5400710238234,-47.2506105704347,0.410839425346829,0.555909827250296,112,12.8835442581613
2019,126,33,-14.5374480950406,-24.465815976843,-28.4355684934575,-42.6387689608852,0.41042428642899,0.536664027002722,114,12.3061557475877
2020,22,5,-10.2940322120789,-20.0375999829863,-25.4028925286247,-37.6300905897215,0.559765271011288,0.651780813769151,36,7.38423991009417
2021,128,27,-14.6049542216052,-23.9871273604162,-26.8552761345216,-40.6552819377167,0.393098545097673,0.534861643667622,117,11.1390471241516
2022,130,29,-15.9317940964916,-26.5023458092929,-29.3474573718313,-45.1238801297201,0.390341429531568,0.541811178286496,120,12.233226155603
2023,128,27,-15.3621912834873,-22.6270746261057,-28.0542069636816,-40.2255565943594,0.395448849201761,0.548321056119067,118,11.4817765503881
2024,129,36,-16.5478035792428,-24.1147819778926,-30.0956345790571,-43.1048505770101,0.391049676216201,0.548136463845035,121,12.3506039097304
2025,129,36,-16.5578361527847,-27.5128801177477,-30.2536414504185,-46.4027889153279,0.384055761016299,0.529708048641471,126,12.5469428481611
