split,conf,n,conf_outperformance,lo95,hi95
cond,Pioneer,42,-18.1490953201925,-23.020263951808,-12.5693483998095
cond,SWAC,32,-11.8333993156976,-16.358530672886,-6.34457188221397
cond,NEC,60,-3.56871235530153,-6.77994522276768,-0.610168718709821
cond,Ivy,51,-1.3032675319972,-6.04185093251627,2.71560526907819
cond,MEAC,65,-1.11167030374459,-6.30124059507174,3.86094078941363
cond,Southland,59,-0.268639544280597,-5.73137154290111,4.43229675792714
cond,FCS Independents,38,-0.17560123436806,-5.32944766414451,5.18248191434459
cond,Patriot,74,0.0223632619359054,-2.65926862764481,2.82876253242926
cond,Southern,54,0.269258345802931,-4.83937740713094,5.32477006875753
cond,Coastal Athletic,118,1.33440384418125,-1.4850926522593,3.92758704674399
cond,CAA,20,1.90701574046926,-6.69042504940124,10.4548267182817
cond,Big South-OVC,58,2.17459989383583,-2.2407696384222,6.51720519975172
cond,Big Sky,76,3.37613170370318,-0.840917137701642,6.42026597703019
cond,UAC,67,4.92942489654684,0.765094735242345,8.41114236082389
cond,MVFC,97,6.91183566190984,3.98502664372248,10.1678234571392
dev,Pioneer,52,-20.0553919403132,-26.4185424091041,-13.475726469711
dev,SWAC,52,-5.78677316150685,-10.2813132296352,-1.49117352508252
dev,Patriot,122,-4.90826038310761,-8.00172795237054,-1.44380240761532
dev,NEC,99,-4.88481445567048,-8.35982972319086,-1.60013128566357
dev,Western Athletic,37,-4.79421403327912,-8.9965575297665,-0.168660282084935
dev,FCS Independents,28,-3.83359190874814,-9.86393134398258,2.24104075980518
dev,MEAC,73,-2.48889277339991,-5.56323348378666,1.12178930207903
dev,Southland,66,-1.19564911300789,-4.67695892804632,2.10670836265239
dev,Big South,115,0.672082337829956,-2.42621960368418,4.45549861662931
dev,Atlantic Sun,21,0.843597798442749,-4.28592556127547,6.50973456811146
dev,Ivy,78,1.80768927306041,-1.52953025919515,5.37759775992974
dev,Southern,62,1.97052492457642,-1.94341435251661,5.48052381383061
dev,OVC,82,2.79669559671359,-1.04853403214502,5.88645504380676
dev,AWC,26,4.47977450066893,-1.97518532377822,8.39245963941171
dev,Big Sky,103,5.41074366493785,2.30405160538347,8.53051671726306
dev,MVFC,115,5.82418404360292,2.51006611852688,9.19801757829074
dev,CAA,135,7.70709051886745,4.58697357550366,10.4298436922893
