split,season,n,offset,lo95,hi95
dev,2017,48,7.90350286938677,4.0601801275568,12.1383093374787
dev,2018,65,13.1117134618325,6.07064715368772,15.6055850922134
dev,2019,72,11.4382268697145,7.78385474789121,13.1418508208054
dev,2021,72,8.10143114627135,2.22351828747289,10.5622875248536
dev,2022,78,12.2343368686868,7.50579153979265,14.9547523846648
cond,2023,76,9.3231511164619,6.39176614385345,12.9476331144487
cond,2024,60,10.8927456955193,7.73248783911754,13.6515502956951
cond,2025,76,13.6367795070051,11.4944074329038,16.5420987062197
dev,,335,10.7246661661439,8.77999380138725,12.239540292433
cond,,212,11.3137710807295,9.36996908993406,13.1839452032531
