split,grp,pred,n,bias,lo95,hi95,mae
dev,rated (gp>=1),c2,335,-10.7246661661439,-12.2705077162619,-8.87232201149364,15.7963498648239
cond,rated (gp>=1),c2,212,-11.3137710807295,-13.1463310333771,-9.31093172322524,15.5562276204295
dev,first game (gp=0),prior_rule,226,-9.35523737724749,-12.3074087129321,-6.15074738487529,16.0834819806594
dev,rated (gp>=1),prior_rule,335,-10.373213904144,-11.9264796231693,-8.55605926020546,16.1793898266694
cond,first game (gp=0),prior_rule,153,-12.3158132987611,-13.6734631546007,-10.4117092568767,15.4903958033321
cond,rated (gp>=1),prior_rule,212,-11.7879669490354,-13.9303160634865,-9.58761590494904,15.8941010941707
dev,first game (gp=0),flat25,226,-0.844801050793334,-3.15982142992036,1.46276374354501,15.3617949995861
dev,rated (gp>=1),flat25,335,-3.25547994302004,-4.70618707183298,-1.64918666413678,15.1604011803844
cond,first game (gp=0),flat25,153,-4.2765696880728,-6.09833464225239,-3.06153343212241,13.5100369952395
cond,rated (gp>=1),flat25,212,-5.38840712609032,-7.67446891391213,-3.06981311961449,14.5719404511086
