split,type,q,kept,over21,over28
cond,FBS-FBS,Q1,66419,0.00144536954787034,0.000286062723016004
cond,FBS-FBS,Q2,73914,0.0505722867115837,0.0110533863679411
cond,FBS-FBS,Q3,59440,0.096921265141319,0
cond,FBS-FBS,Q4,53768,0.0158830531170957,0
cond,FBS-FCS,Q1,10163,0.0114139525730591,0.00108235757158319
cond,FBS-FCS,Q2,10855,0.197789037309995,0.0781206817134961
cond,FBS-FCS,Q3,6494,0.223591007083462,0
cond,FBS-FCS,Q4,3723,0.0319634703196347,0
dev,FBS-FBS,Q1,116411,0.00119404523627492,5.15415209902844e-05
dev,FBS-FBS,Q2,126420,0.0598243948742288,0.0150688182249644
dev,FBS-FBS,Q3,103856,0.106772839315976,0
dev,FBS-FBS,Q4,89507,0.0176522506619594,0
dev,FBS-FCS,Q1,16241,0.00628040145311249,0.000554153069392279
dev,FBS-FCS,Q2,17209,0.207100935556976,0.0754837584984601
dev,FBS-FCS,Q3,10445,0.233796074676879,0
dev,FBS-FCS,Q4,6169,0.0327443669962717,0
