split,model,gp_bucket,n,slope,lo95,hi95
dev,A,0,442,1.19091594490766,1.09998595535366,1.28095725202249
dev,A,1,343,1.14099271469037,0.998324913437209,1.26614801352389
dev,A,2-3,660,1.00787885352993,0.892039369380058,1.11841161097668
dev,A,4-6,945,0.857949625681225,0.783192413222245,0.928300005971798
dev,A,7+,1478,0.982392842000693,0.926086441315382,1.04031678755045
dev,A,pooled,3868,0.998500866237397,0.953472069546569,1.0423890213094
dev,A0,0,442,1.19969370661629,1.11182442831514,1.28663909983845
dev,A0,1,343,1.14633324440319,1.00483549797599,1.27666130836698
dev,A0,2-3,660,1.00978866905134,0.893040011460866,1.12411527203813
dev,A0,4-6,945,0.874715780359691,0.80137825042551,0.943776967220747
dev,A0,7+,1478,0.993452302864169,0.937035162992937,1.05073886764669
dev,A0,pooled,3868,1.00897769584017,0.9639614046968,1.05252776368286
dev,B,0,442,1.18977853679923,1.09847508832525,1.28037921800289
dev,B,1,343,1.14568831043039,1.00204777389354,1.27068101708757
dev,B,2-3,660,1.00895977560757,0.894062599760109,1.11950864929376
dev,B,4-6,945,0.859313441151625,0.782255137307519,0.930118361278528
dev,B,7+,1478,0.981718091886333,0.925723743933981,1.03897263167337
dev,B,pooled,3868,0.999059337311778,0.954238957203194,1.04287345738454
cond,A,0,272,1.10055867181932,0.950698111570825,1.27839437748201
cond,A,1,213,0.956383405920862,0.84681945084771,1.06976528057228
cond,A,2-3,385,0.976720980237555,0.905567079442854,1.0543442314398
cond,A,4-6,601,0.901243639484793,0.821825535753268,0.987690905831169
cond,A,7+,927,0.998183270510889,0.905575473044949,1.09165357714826
cond,A,pooled,2398,0.984504148533902,0.940319512469969,1.0318819218137
cond,A0,0,272,1.09298224632329,0.939727371008857,1.27063769375751
cond,A0,1,213,0.960247816042976,0.848496018914947,1.07291716296456
cond,A0,2-3,385,0.974452499574382,0.903073179645688,1.05084421290694
cond,A0,4-6,601,0.907844571272519,0.824551187287736,0.997120603334748
cond,A0,7+,927,1.00501723196078,0.912374621109179,1.09886544190828
cond,A0,pooled,2398,0.987588997065038,0.943919878292489,1.03475854797911
cond,B,0,272,1.09741343362758,0.946635563377931,1.27517952884159
cond,B,1,213,0.953865231007819,0.844364501799628,1.06659963918122
cond,B,2-3,385,0.974091320963564,0.902602682596608,1.05209149696301
cond,B,4-6,601,0.90152213723992,0.821928322414501,0.988286611433302
cond,B,7+,927,0.996947013120707,0.905074485516534,1.08948795789112
cond,B,pooled,2398,0.982897857713326,0.939067886978253,1.03030238420035
