arm,pkey,beta,points_per_sr_point,omega,lambda0,c1_scale
A,2016,0.00537865079588875,1.85920231290041,0,4,1
A,2017,0.00533974238763237,1.8727495212431,0.5,3,1.04763365588651
A,2018,0.00523187837875461,1.91135941550315,0.25,3,1.06399275484506
A,2019,0.00530978742789303,1.88331456499909,0.25,4,1.11876025830016
A,2021,0.00535713776030895,1.86666844263182,0.25,4,1.16517994316457
A,2022,0.00543825835366851,1.83882400387511,0.25,4,1.14070154475845
A,2023,0.0054879021404831,1.82218992686333,,,1.13374370380621
A0,2016,0.00485615758005105,2.0592412489001,0,4,1
A0,2017,0.00483178558067834,2.0696282633047,0.5,3,1.05199710098102
A0,2018,0.00471413086210539,2.1212817998722,0.25,3,1.07633504564658
A0,2019,0.00473697298194489,2.11105278373242,0.25,4,1.1137944508121
A0,2021,0.0047724586548971,2.095356025712,0.25,4,1.17062792446844
A0,2022,0.00484682266429369,2.06320732005929,0.25,4,1.14089637338111
A0,2023,0.00488084883729988,2.04882395119044,,,1.13398773698899
B,2016,0.00545065139625673,1.83464310465123,0,4,1
B,2017,0.00539911210578561,1.85215639239722,0.5,3,1.04763365526958
B,2018,0.00529637686005178,1.88808316783981,0.25,3,1.06399277326367
B,2019,0.00536515309348704,1.86387971149218,0.25,4,1.12099454051297
B,2021,0.00541568405153963,1.84648881006215,0.25,4,1.16326336951959
B,2022,0.00549555274622601,1.81965317444498,0.25,4,1.1408963800959
B,2023,0.00554737383068691,1.80265478859242,,,1.13927040467623
