split,comparison,metric,delta,lo95,hi95,n
dev,A0 - A,logloss,-0.000177134701322776,-0.00155116481251873,0.00107247169788727,3868
dev,A0 - A,brier,-2.89331681230752e-05,-0.000560593081751538,0.000453215520618023,3868
dev,A0 - A,mae,0.00164511638256065,-0.0268946758272356,0.0301170876867877,3868
dev,A0 - A,rmse,-0.0156556979696205,-0.0454314507327291,0.0124721015454701,3868
dev,B - A,logloss,5.97851010884321e-07,-0.000413224200635041,0.000433975072673039,3868
dev,B - A,brier,-7.60765188751854e-06,-0.00017122258896073,0.000166585834359134,3868
dev,B - A,mae,-0.0005357990596736,-0.00882254640500582,0.00841127390372042,3868
dev,B - A,rmse,0.00332412166763163,-0.00644332526424538,0.0139862919776113,3868
dev,A0rows - A,logloss,-0.000202773562290932,-0.00153074666715934,0.00101190013353544,3868
dev,A0rows - A,brier,-1.60508696671206e-05,-0.000516330584253906,0.000448579735220717,3868
dev,A0rows - A,mae,0.00216273353428912,-0.0252665207819086,0.0299354338215852,3868
dev,A0rows - A,rmse,-0.0137148111500736,-0.0433211414918866,0.0139235626351201,3868
dev,Brows - A,logloss,2.16586909562167e-06,-0.00040400947574226,0.00041588047429022,3868
dev,Brows - A,brier,-8.76456489834253e-06,-0.000170567982367789,0.000158398492316108,3868
dev,Brows - A,mae,-0.00198693521677278,-0.00970431024797809,0.00633650342138781,3868
dev,Brows - A,rmse,0.00124071982324381,-0.00761936865722843,0.010724046509239,3868
dev,C1_A0 - C1_A,logloss,-1.7303079080553e-05,-0.00031312566439584,0.000280717624236271,3868
dev,C1_A0 - C1_A,brier,-4.00433631931185e-05,-0.000151551286819918,7.14958790677754e-05,3868
dev,C1_A0 - C1_A,mae,-0.00305562564990715,-0.0101061488057168,0.00414034400959757,3868
dev,C1_A0 - C1_A,rmse,-0.00419873066324783,-0.0119498586188805,0.00355938372388041,3868
dev,C1_B - C1_A,logloss,-6.53043996906777e-06,-0.000156750396267369,0.000153571256271681,3868
dev,C1_B - C1_A,brier,-4.43765094997887e-06,-6.32387497792877e-05,5.92837950531172e-05,3868
dev,C1_B - C1_A,mae,0.00035536487060612,-0.00261176453715236,0.00372904076016668,3868
dev,C1_B - C1_A,rmse,0.00214471766504687,-0.00136908728449469,0.00642260739959433,3868
cond,A0 - A,logloss,0.000773911330307181,-0.000390344904631587,0.00197995296095477,2398
cond,A0 - A,brier,0.000369410480440465,-0.000138480146768291,0.00088639781761958,2398
cond,A0 - A,mae,0.0153290377963291,-0.0114237472300493,0.0428581785630923,2398
cond,A0 - A,rmse,0.0110776820298746,-0.0168687291758899,0.040628020954956,2398
cond,B - A,logloss,0.000121669583208065,-0.000176453333496186,0.000423685468072057,2398
cond,B - A,brier,5.4950860740751e-05,-7.76559141436755e-05,0.000185817783020057,2398
cond,B - A,mae,0.00372488908918685,-0.00406008419210132,0.0109527547939076,2398
cond,B - A,rmse,0.0029462266875484,-0.00485746689797755,0.0109947186766535,2398
cond,A0rows - A,logloss,0.00053858571122849,-0.000569741431272713,0.00166232553816109,2398
cond,A0rows - A,brier,0.000277693986867465,-0.000176028771717896,0.000738462098383393,2398
cond,A0rows - A,mae,0.0072000504726136,-0.0189016546712461,0.0331564728711499,2398
cond,A0rows - A,rmse,0.00382899291882488,-0.0241963784047172,0.0322015025691966,2398
cond,Brows - A,logloss,0.000114608397340693,-0.000120009124913523,0.000348743444860467,2398
cond,Brows - A,brier,4.89264124406914e-05,-6.0775730393741e-05,0.000153664866769356,2398
cond,Brows - A,mae,0.00549130875737598,-0.00189881081518293,0.012363250214119,2398
cond,Brows - A,rmse,0.0046569505910572,-0.00208222405827292,0.0115221510410236,2398
cond,C1_A0 - C1_A,logloss,0.000239506880923058,-0.000220649946962587,0.000684764726636092,2398
cond,C1_A0 - C1_A,brier,0.000107046329611047,-9.15409866889968e-05,0.00028911844669674,2398
cond,C1_A0 - C1_A,mae,0.00917902562375984,-0.000803947504207008,0.0185922795527473,2398
cond,C1_A0 - C1_A,rmse,0.00748867259499164,-0.00516582070238942,0.0185564558632236,2398
cond,C1_B - C1_A,logloss,7.04052584864199e-06,-0.000157010914120237,0.000181079914103074,2398
cond,C1_B - C1_A,brier,9.8819014320586e-06,-5.68840422613639e-05,8.03419053770771e-05,2398
cond,C1_B - C1_A,mae,-0.00143101047660692,-0.00503248410039263,0.00231207524057671,2398
cond,C1_B - C1_A,rmse,-0.00226745857026778,-0.00595467201359647,0.00131774955195638,2398
