split,model,n,logloss,brier,mae,rmse,bias,calib_slope,slope_lo95,slope_hi95,sigma
dev,A,3868,0.526126892376671,0.17680828025086,12.8343786429204,16.2065963810173,0.638047045731883,0.998500866237397,0.953472069546569,1.0423890213094,15.7240068059596
dev,A0,3868,0.525949757675348,0.176779347082736,12.836023759303,16.1909406830477,0.640707476813538,1.00897769584017,0.9639614046968,1.05252776368286,15.5782397413141
dev,B,3868,0.526127490227682,0.176800672598972,12.8338428438608,16.2099205026849,0.639512938885394,0.999059337311778,0.954238957203194,1.04287345738454,15.7111567664532
dev,A0rows,3868,0.52592411881438,0.176792229381192,12.8365413764547,16.1928815698672,0.638590432818288,1.00891515017308,0.963802275331451,1.05236166701499,15.5724045928926
dev,Brows,3868,0.526129058245767,0.176799515685961,12.8323917077037,16.2078371008405,0.639857235818723,0.998856861115673,0.954071050264949,1.04273488392102,15.7173886938371
dev,C1_A,3868,0.531710602280809,0.179237293167748,12.872329537093,16.2582972823812,0.731878183534478,1.03692724161365,0.992036029844725,1.08154259836105,15.5068938251266
dev,C1_A0,3868,0.531693299201729,0.179197249804554,12.8692739114431,16.254098551718,0.733905067150742,1.0373551681773,0.992361137020043,1.08199317324878,15.5090740063985
dev,C1_B,3868,0.53170407184084,0.179232855516798,12.8726849019637,16.2604420000463,0.731447278676417,1.03727904569807,0.992373372321794,1.08181355840426,15.4986444771642
cond,A,2398,0.530400815435941,0.18002674785138,12.2655510379736,15.4395420857215,0.121507272998658,0.984504148533902,0.940319512469969,1.0318819218137,15.7198691068242
cond,A0,2398,0.531174726766248,0.18039615833182,12.2808800757699,15.4506197677514,0.128415504442868,0.987588997065038,0.943919878292489,1.03475854797911,15.5739218826095
cond,B,2398,0.530522485019149,0.180081698712121,12.2692759270628,15.442488312409,0.127107137529274,0.982897857713326,0.939067886978253,1.03030238420035,15.7070641270473
cond,A0rows,2398,0.530939401147169,0.180304441838247,12.2727510884462,15.4433710786403,0.12609976680849,0.989661567745236,0.94548090868509,1.03714683504405,15.5680946496853
cond,Brows,2398,0.530515423833282,0.180075674263821,12.271042346731,15.4441990363125,0.122645511973791,0.984211661681936,0.940213976946113,1.0317946026137,15.7133375966047
cond,C1_A,2398,0.534336496756899,0.181465396375485,12.4087883350917,15.6338103891388,0.216091672974509,0.998081289929391,0.951459389061197,1.04900133666045,15.5020497119353
cond,C1_A0,2398,0.534576003637822,0.181572442705096,12.4179673607155,15.6412990617338,0.218171746023978,0.996181295735236,0.949924875566001,1.04714279032784,15.5042417176383
cond,C1_B,2398,0.534343537282748,0.181475278276917,12.4073573246151,15.6315429305685,0.220840540248878,0.996510346285047,0.949957880203914,1.04725145957608,15.4937417934128
