split,arm,group,n,bias,mae,rmse,logloss,brier,fcs_level,implied_level,sr_link_contrib,fbs_r
cond,A,first game (prior mean),153,-12.3158132987614,15.4903958033326,19.2910160229617,0.187509224050796,0.0452600767397989,-16.9607563893117,-29.2765696880731,,-0.709778533524082
cond,A0,first game (prior mean),153,-12.3117513247507,15.4903708125091,19.2937432125918,0.185566417673519,0.0447769984220924,-16.962341913178,-29.2740932379287,,-0.707302083379652
cond,A0rows,first game (prior mean),153,-12.3269132162634,15.4937856371476,19.3020224082037,0.185492035073542,0.0447381268186048,-16.961649545224,-29.2885627614874,,-0.721771606938332
cond,B,first game (prior mean),153,-12.3235322756145,15.4881348796594,19.2811895745663,0.187294743657061,0.0451700337078104,-16.9606606367567,-29.2841929123712,,-0.717401757822188
cond,Brows,first game (prior mean),153,-12.318873301658,15.4935787434231,19.2929780433373,0.187442548217361,0.0452464772705172,-16.9606377334727,-29.2795110351307,,-0.712719880581677
cond,A,rated (gp>=1),212,-11.3137710807297,15.5562276204296,19.3544607106761,0.222875350788998,0.06131514455355,-19.0746360453609,-30.3884071260906,-1.32958611186059,-2.07894172371129
cond,A0,rated (gp>=1),212,-11.3095919999584,15.5640297206447,19.3936249424223,0.220968583109963,0.0607842651357605,-19.0895357377059,-30.3991277376642,-1.34450160456345,-2.08966233528496
cond,A0rows,rated (gp>=1),212,-11.3219458081554,15.5668300547532,19.4034908787456,0.221451304484329,0.0609285240583359,-19.0869899321804,-30.4089357403358,-1.34267226482466,-2.09947033795647
cond,B,rated (gp>=1),212,-11.322133576736,15.5584800259209,19.3617252320233,0.222742143694363,0.0612933272870512,-19.0631776007663,-30.3853111775023,-1.31701288720987,-2.07584577512299
cond,Brows,rated (gp>=1),212,-11.3211042965968,15.5574391903315,19.3566163737598,0.222743766934356,0.0612662466136808,-19.0622468515616,-30.3833511481584,-1.31728512902282,-2.07388574577909
dev,A,first game (prior mean),226,-9.35523737724602,16.0834819806582,20.003354039314,0.285473000870153,0.0775462803126048,-16.4895636735458,-25.8448010507919,,-2.42587844322961
dev,A0,first game (prior mean),226,-9.38333453547731,16.0709468761721,20.0047339771084,0.282717974938954,0.0769455511147959,-16.4863683768897,-25.869702912367,,-2.4507803048048
dev,A0rows,first game (prior mean),226,-9.36786323818926,16.0877267721401,20.0092057783798,0.284432089885623,0.0772451897385677,-16.4867560431033,-25.8546192812925,,-2.4356966737303
dev,B,first game (prior mean),226,-9.35182689548316,16.0869932067556,20.0031820822531,0.28512260199015,0.0773971071722496,-16.4893012394202,-25.8411281349034,,-2.42220552734112
dev,Brows,first game (prior mean),226,-9.35101521125925,16.0803917308716,20.0013246701045,0.285300682462605,0.0774757787161484,-16.4893618948254,-25.8403771060846,,-2.42145449852236
dev,A,rated (gp>=1),335,-10.7246661661436,15.7963498648233,19.5070471061654,0.229356953518169,0.0638581625611225,-17.5308137768761,-28.2554799430197,-1.26647547022404,-0.91322592614395
dev,A0,rated (gp>=1),335,-10.7435028284473,15.7680143325579,19.5001900814374,0.227821009365059,0.0634222120604084,-17.4863739429618,-28.2298767714091,-1.22009761510201,-0.887622754533371
dev,A0rows,rated (gp>=1),335,-10.7464679752458,15.7693651321709,19.4954244787969,0.227563080283021,0.0633367459312494,-17.4839505006404,-28.2304184758862,-1.21997720557061,-0.888164459010506
dev,B,rated (gp>=1),335,-10.7377168635393,15.8026926148447,19.5121012394756,0.22931245641974,0.0638586816883889,-17.5103277988745,-28.2480446624139,-1.24862317443065,-0.905790645538128
dev,Brows,rated (gp>=1),335,-10.7390549412074,15.8069355534588,19.5173606177757,0.229450538474207,0.0638954237719444,-17.5106179856091,-28.2496729268165,-1.24879482827724,-0.907418909940807
