split,has,arm,n,d_pred,d_fcs_rating,d_mae,d_mae_lo95,d_mae_hi95
dev,TRUE,A0,335,-0.0188366623037261,0.0444398339143048,-0.0283355322653651,-0.0780248659350362,0.0231094123836272
dev,FALSE,A0,226,-0.0280971582312891,,-0.0125351044861179,-0.0424563474623816,0.0494851248702826
cond,FALSE,A0,153,0.00406197401067522,,-2.49908234388116e-05,-0.0265486183167115,0.0307861440802709
cond,TRUE,A0,212,0.00417908077128375,-0.0148996923449545,0.00780210021506665,-0.0716686618992938,0.0949180357936466
dev,TRUE,B,335,-0.0130506973957311,0.0204859780015536,0.00634275002140634,-0.0103563084117657,0.0219719887223273
dev,FALSE,B,226,0.00341048176286367,,0.00351122609737007,-0.00972937171735684,0.0128873758354617
cond,FALSE,B,153,-0.00771897685315199,,-0.00226092367315423,-0.0133550863345163,0.00354306399234008
cond,TRUE,B,212,-0.00836249600631237,0.0114584445946112,0.00225240549126317,-0.00891718970643624,0.0123620637893487
dev,TRUE,A0rows,335,-0.0218018091022319,0.0468632762356759,-0.0269847326524016,-0.0716674266217624,0.0170522568499061
dev,FALSE,A0rows,226,-0.0126258609432382,,0.00424479148181698,-0.0169710750196742,0.0471854334013726
cond,FALSE,A0rows,153,-0.011099917501975,,0.00338983381499533,-0.0165089876003137,0.036762418248141
cond,TRUE,A0rows,212,-0.00817472742568186,-0.0123538868194994,0.0106024343235256,-0.0655501634804045,0.0869910786850627
dev,TRUE,Brows,335,-0.0143887750637953,0.020195791266939,0.0105856886355143,-0.0040536648179039,0.0253925604275023
dev,FALSE,Brows,226,0.00422216598676782,,-0.00309024978667864,-0.00914722007156609,0.000528462265690466
cond,FALSE,Brows,153,-0.00306000289659143,,0.00318294009054617,0.000140116895831251,0.00962959203421125
cond,TRUE,Brows,212,-0.00733321586710761,0.0123891937993102,0.00121156990187194,-0.00777121114283891,0.0107546606797452
