split,arm,when,pts_link_resid,sr_link_resid,pi_prior
dev,A,final cutoff,6.92528741155136,13.9309425682397,0.625208073368948
cond,A,final cutoff,8.05586532707828,14.5730556993901,0.631976769866871
dev,A,all cutoffs,6.63648232913683,13.551361139514,0.674107944625533
cond,A,all cutoffs,7.62805822034001,13.5861644134846,0.675776943157205
dev,A0,final cutoff,6.99329985709434,13.0498108006622,0.624986291054775
cond,A0,final cutoff,8.00959581850105,14.9545984062507,0.631722955366346
dev,A0,all cutoffs,6.71373095393397,12.5594333032633,0.673921518590226
cond,A0,all cutoffs,7.58478972415179,14.0018437910464,0.675552949655511
dev,B,final cutoff,6.97380136736402,13.5169939881021,0.625199636065665
cond,B,final cutoff,8.08601467282165,14.2392186232574,0.632054406733588
dev,B,all cutoffs,6.67966868626651,13.1761115489945,0.674107005373353
cond,B,all cutoffs,7.65510518450393,13.3141154503493,0.675850621194619
