split,treatment,type,offense,scrimmage,kept,removed_garbage,overtime,exposure,sr_kept,share_removed
cond,A,FBS-FBS,FBS offense,275740,253469,21739,460,72,0.399674121884729,0.0788387611518097
cond,A0,FBS-FBS,FBS offense,275740,275157,0,460,123,0.399539172181697,0
cond,B,FBS-FBS,FBS offense,275740,251120,24091,460,69,0.399717266645428,0.0873685355769928
cond,A,FBS-FBS,all,275740,253469,21739,460,72,0.399674121884729,0.0788387611518097
cond,A0,FBS-FBS,all,275740,275157,0,460,123,0.399539172181697,0
cond,B,FBS-FBS,all,275740,251120,24091,460,69,0.399717266645428,0.0873685355769928
cond,A,FBS-FCS,FBS offense,20904,16314,4578,12,0,0.48167218340076,0.219001148105626
cond,A0,FBS-FCS,FBS offense,20904,20892,0,12,0,0.483821558491289,0
cond,B,FBS-FCS,FBS offense,20904,16039,4853,12,0,0.480079805474156,0.232156525066973
cond,A,FBS-FCS,FCS offense,19832,14921,4902,9,0,0.314255076737484,0.24717628075837
cond,A0,FBS-FCS,FCS offense,19832,19823,0,9,0,0.311355496140847,0
cond,B,FBS-FCS,FCS offense,19832,14594,5229,9,0,0.314033164314102,0.263664784187172
cond,A,FBS-FCS,all,40736,31235,9480,21,0,0.401696814470946,0.232717989002357
cond,A0,FBS-FCS,all,40736,40715,0,21,0,0.399852634164313,0
cond,B,FBS-FCS,all,40736,30633,10082,21,0,0.40097280710345,0.247496072270228
cond,A,all,all,316476,284704,31219,481,72,0.399896032370463,0.0986457108911892
cond,A0,all,all,316476,315872,0,481,123,0.399579576537329,0
cond,B,all,all,316476,281753,34173,481,69,0.399853772630637,0.10797975201911
dev,A,FBS-FBS,FBS offense,478114,436176,40831,1089,18,0.396131378159274,0.0854001346959094
dev,A0,FBS-FBS,FBS offense,478114,477007,0,1089,18,0.39529818220697,0
dev,B,FBS-FBS,FBS offense,478114,431214,45793,1089,18,0.396197711577082,0.0957784126798211
dev,A,FBS-FBS,all,478114,436176,40831,1089,18,0.396131378159274,0.0854001346959094
dev,A0,FBS-FBS,all,478114,477007,0,1089,18,0.39529818220697,0
dev,B,FBS-FBS,all,478114,431214,45793,1089,18,0.396197711577082,0.0957784126798211
dev,A,FBS-FCS,FBS offense,33220,26033,7153,34,0,0.464103253562785,0.21532209512342
dev,A0,FBS-FCS,FBS offense,33220,33186,0,34,0,0.465648164888808,0
dev,B,FBS-FCS,FBS offense,33220,25527,7659,34,0,0.463117483448897,0.23055388320289
dev,A,FBS-FCS,FCS offense,31519,24015,7451,37,16,0.318301061836352,0.236397093816428
dev,A0,FBS-FCS,FCS offense,31519,31462,0,37,20,0.315014938656156,0
dev,B,FBS-FCS,FCS offense,31519,23503,7963,37,16,0.318938007913884,0.252641263999492
dev,A,FBS-FCS,all,64739,50048,14604,71,16,0.394141624040921,0.22558272447829
dev,A0,FBS-FCS,all,64739,64648,0,71,20,0.392340056923648,0
dev,B,FBS-FCS,all,64739,49030,15622,71,16,0.394003671221701,0.241307403574352
dev,A,all,all,542853,486224,55435,1160,34,0.395926568824245,0.102117884583856
dev,A0,all,all,542853,541655,0,1160,38,0.394945121894933,0
dev,B,all,all,542853,480244,61415,1160,34,0.395973713362373,0.113133758126049
