split,type,arm,games,mean_points_margin,mean_sr_margin_pts,ratio,slope,intercept
cond,FBS-FBS,A,2284,1.65779743935605,4.04062208286108,2.43734366270382,0.546390528736441,-0.549960196922551
cond,FBS-FBS,A0,2285,1.67717322179439,3.49084161422898,2.08138406269936,0.506956338408512,-0.0925310609191867
cond,FBS-FBS,B,2284,1.65779743935605,3.96428474811032,2.39129621870462,0.548887410773341,-0.518148551602466
cond,FBS-FCS,A,356,28.4745577785159,35.2873275026324,1.23925813974385,0.381377496710054,15.0167651499741
cond,FBS-FCS,A0,356,28.4745577785159,35.7372614157062,1.25505940052457,0.403030458999277,14.0713529067667
cond,FBS-FCS,B,356,28.4745577785159,34.9142680892135,1.22615663993056,0.383364156532172,15.0896788415564
dev,FBS-FBS,A,3736,0.822141515293738,3.78115697186617,4.59915586493066,0.560900720427263,-1.29871215427457
dev,FBS-FBS,A0,3736,0.822141515293738,3.5235659297727,4.28583870808883,0.535657703963528,-1.06528372041243
dev,FBS-FBS,B,3736,0.822141515293738,3.73264825951379,4.54015299079037,0.564313618368396,-1.28424273012899
dev,FBS-FCS,A,527,26.312967008849,33.3700233399368,1.26819690568207,0.44121652443044,11.5895612906394
dev,FBS-FCS,A0,527,26.312967008849,32.4076700169351,1.23162355678234,0.461079857545277,11.3704431340662
dev,FBS-FCS,B,527,26.312967008849,32.9107634513208,1.25074315793627,0.444585616179315,11.6813149609119
