season,anchor,fcs,gap
2017,fixed,-28.7534466202244,-27.6189887651089
2017,expanding,-28.7534466202244,-27.6189887651089
2017,rolling3,-29.1703093665337,-28.8581170561559
2017,last,-28.1798048094574,-31.3700693215175
2018,fixed,-28.7534466202244,-27.6189887651089
2018,expanding,-28.4962569480387,-28.3670317380677
2018,rolling3,-28.6565599240429,-30.0625313510506
2018,last,-27.467498259296,-31.3592036299029
2019,fixed,-28.7534466202244,-27.6189887651089
2019,expanding,-28.7013849116657,-29.6530705136718
2019,rolling3,-28.4581092661847,-32.9375124477042
2019,last,-29.7270247298007,-36.0832643916923
2021,fixed,-28.7534466202244,-27.6189887651089
2021,expanding,-28.6599980151565,-29.8383826649042
2021,rolling3,-28.5353998750661,-32.797574531298
2021,last,-28.4116766361016,-30.9502555722988
2022,fixed,-28.7534466202244,-27.6189887651089
2022,expanding,-28.4574696105342,-30.1652274056125
2022,rolling3,-28.3928240480266,-33.1622201848538
2022,last,-27.0397707781776,-32.4531405905704
2023,fixed,-28.7534466202244,-27.6189887651089
2023,expanding,-28.5857190073244,-30.6773537931794
2023,rolling3,-28.3543871986418,-32.7259203521946
2023,last,-29.6117141816463,-34.7743648937145
2024,fixed,-28.7534466202244,-27.6189887651089
2024,expanding,-28.5574300873753,-30.5430591576171
2024,rolling3,-28.3181049225525,-32.1873043072805
2024,last,-28.3028298078336,-29.3344074375566
2025,fixed,-28.7534466202244,-27.6189887651089
2025,expanding,-28.7251112900845,-30.4908017179702
2025,rolling3,-29.4388224355521,-31.3589998842573
2025,last,-30.4019233171762,-29.9682273215009
