split,arm,games,metric,delta,lo95,hi95
dev,M10,FBS-FBS,logloss,0,0,0
dev,M10,FBS-FBS,brier,0,0,0
dev,M10,FBS-FBS,mae,0,0,0
dev,M10,all,logloss,-0.00641147882764602,-0.0100885903053609,-0.00279802113904765
dev,M10,all,brier,-0.00203801638000913,-0.00314917885009281,-0.000998094751217608
dev,M10,all,mae,-0.31297531699457,-0.4620719522038,-0.17850610831197
dev,G12,FBS-FBS,logloss,-0.00136687019666207,-0.00270062907500819,-0.000147046548854058
dev,G12,FBS-FBS,brier,-0.000464536660845068,-0.00100449817788546,2.24778990366466e-05
dev,G12,FBS-FBS,mae,-0.0180934273599617,-0.040046750311022,0.00392833968817041
dev,G12,all,logloss,-0.00722292649060785,-0.0115710144704272,-0.00277994270556296
dev,G12,all,brier,-0.00235983407431309,-0.00358751304368594,-0.00118918509459816
dev,G12,all,mae,-0.312660139126181,-0.467510189910305,-0.172691358147351
dev,L_last_n20,FBS-FBS,logloss,-0.00134490541410639,-0.00284594994940837,6.4816699868583e-05
dev,L_last_n20,FBS-FBS,brier,-0.000451708275038224,-0.00104462672326495,0.000106876359308602
dev,L_last_n20,FBS-FBS,mae,-0.0176032936678645,-0.0430727110898752,0.00746509924618423
dev,L_last_n20,all,logloss,-0.00791694366538688,-0.0124168839481857,-0.003447080395905
dev,L_last_n20,all,brier,-0.00242255479138733,-0.00369433930527635,-0.00120740558211874
dev,L_last_n20,all,mae,-0.308857400976414,-0.462282282342989,-0.172117407597811
dev,S4_on_L_last_n20,FBS-FBS,logloss,-0.00139454885711981,-0.00315592884470142,0.000307315333853165
dev,S4_on_L_last_n20,FBS-FBS,brier,-0.000459393144906018,-0.00114362082663926,0.000208257169436518
dev,S4_on_L_last_n20,FBS-FBS,mae,-0.00528460560550761,-0.0375019801384065,0.0305790530694693
dev,S4_on_L_last_n20,all,logloss,-0.00820317677779328,-0.0126989703644505,-0.00368989846229636
dev,S4_on_L_last_n20,all,brier,-0.00235045810512095,-0.00369121874052872,-0.00104934193511668
dev,S4_on_L_last_n20,all,mae,-0.279163309639337,-0.432134857941792,-0.137274649728867
dev,S4_on_G12,FBS-FBS,logloss,-0.00147937539722655,-0.0031407165894013,0.000165408018270956
dev,S4_on_G12,FBS-FBS,brier,-0.000485131101068327,-0.00115728525320368,0.000156492825177418
dev,S4_on_G12,FBS-FBS,mae,-0.00802778483107835,-0.0395238807498492,0.0272201530761047
dev,S4_on_G12,all,logloss,-0.00767393415861327,-0.012111756561024,-0.00309060755406169
dev,S4_on_G12,all,brier,-0.00231879590808282,-0.00365268680075829,-0.000994270936588029
dev,S4_on_G12,all,mae,-0.28354947005826,-0.440754503118252,-0.139476073517069
dev,FLAT_on_L_last_n20,FBS-FBS,logloss,0.0001541466738704,-0.00250193472797997,0.00286611012574747
dev,FLAT_on_L_last_n20,FBS-FBS,brier,0.00024916706249866,-0.000715946782869912,0.00129297611053642
dev,FLAT_on_L_last_n20,FBS-FBS,mae,0.0687302977914061,0.0124594549581622,0.128316658641196
dev,FLAT_on_L_last_n20,all,logloss,-0.00414802466075575,-0.00935586098261466,0.00106043781775297
dev,FLAT_on_L_last_n20,all,brier,-0.000980160839022735,-0.00267520453180375,0.000737093070319721
