split,arm,slice,level,n,logloss,mae
dev,C0,season,2017,776,0.513529041375034,12.9338958782658
dev,FLAT_on_L_last_n20,season,2017,776,0.514009486527736,13.0664704057704
dev,G12,season,2017,776,0.511640130235754,12.9162916991727
dev,L_last_n20,season,2017,776,0.511214170187476,12.9004172804242
dev,S4_on_G12,season,2017,776,0.511500822770552,12.933010161416
dev,S4_on_L_last_n20,season,2017,776,0.511452987426145,12.9278890203552
dev,SR_on_L_last_n20,season,2017,776,0.51129317833596,12.9046934636116
dev,C0,season,2018,772,0.51339754740063,13.1584998957872
dev,FLAT_on_L_last_n20,season,2018,772,0.510452890668428,13.1076297667105
dev,G12,season,2018,772,0.511013373785381,13.1385014979654
dev,L_last_n20,season,2018,772,0.510386384459237,13.1268569708515
dev,S4_on_G12,season,2018,772,0.510402002732886,13.1041786388828
dev,S4_on_L_last_n20,season,2018,772,0.509861700027049,13.098352211583
dev,SR_on_L_last_n20,season,2018,772,0.510312640291588,13.1265398358331
dev,C0,season,2019,774,0.492895695489722,12.4146260836385
dev,FLAT_on_L_last_n20,season,2019,774,0.496859450264052,12.5110333948392
dev,G12,season,2019,774,0.492020410666513,12.4089245827277
dev,L_last_n20,season,2019,774,0.491715839947572,12.4116997570577
dev,S4_on_G12,season,2019,774,0.492678625786195,12.4264784307618
dev,S4_on_L_last_n20,season,2019,774,0.492495270557537,12.4256324177597
dev,SR_on_L_last_n20,season,2019,774,0.491740140048998,12.4127554101066
dev,C0,season,2021,770,0.548173430101393,13.193107804528
dev,FLAT_on_L_last_n20,season,2021,770,0.547481906587897,13.2652180297821
dev,G12,season,2021,770,0.546978475854037,13.1452282161653
dev,L_last_n20,season,2021,770,0.547712922755613,13.1610247655634
dev,S4_on_G12,season,2021,770,0.546936999020335,13.1909985140639
dev,S4_on_L_last_n20,season,2021,770,0.547741741649399,13.2095803261463
dev,SR_on_L_last_n20,season,2021,770,0.547738821093632,13.1590064807012
dev,C0,season,2022,776,0.562657949899282,12.4751261230825
dev,FLAT_on_L_last_n20,season,2022,776,0.562607970264429,12.5680366460796
dev,G12,season,2022,776,0.562164275128653,12.4756344656218
dev,L_last_n20,season,2022,776,0.562898494404966,12.4870940442736
dev,S4_on_G12,season,2022,776,0.561735653465064,12.4803094888852
dev,S4_on_L_last_n20,season,2022,776,0.562128189671123,12.4873061942245
dev,SR_on_L_last_n20,season,2022,776,0.562748617143786,12.487349016751
