split,arm,game,n,bias,mae,rmse
dev,C0,first game,226,-9.35523737724749,16.0834819806594,20.0033540393157
dev,C0,later,335,-10.7246661661439,15.7963498648239,19.507047106166
cond,C0,first game,153,-12.3158132987611,15.4903958033321,19.2910160229614
cond,C0,later,212,-11.3137710807295,15.5562276204295,19.3544607106758
dev,FLAT_on_L_last_n20,first game,226,2.24669232138,15.5827327007758,19.0292646163078
dev,FLAT_on_L_last_n20,later,335,0.287112228398247,14.9811252665249,18.7817144353836
cond,FLAT_on_L_last_n20,first game,153,-0.50902073014079,13.0553230881004,16.0866932092069
cond,FLAT_on_L_last_n20,later,212,0.405097735734873,13.8355107891366,17.3441099106528
dev,G04,first game,226,-5.35605443273038,14.8226142793018,18.4739704273772
dev,G04,later,335,-7.24290999679366,14.1859081665202,17.7850130049618
cond,G04,first game,153,-8.31581335190524,13.6428749290674,17.0181318463841
cond,G04,later,212,-7.83774421494926,14.0241072804476,17.5267988679185
dev,G06,first game,226,-3.35646296047183,14.4644273509771,17.9960960389561
dev,G06,later,335,-5.50203191211852,13.5778327035137,17.13175831706
cond,G06,first game,153,-6.31581337847733,12.944702796149,16.135475431281
cond,G06,later,212,-6.09973078205915,13.4278927735663,16.8140983154556
dev,G08,first game,226,-1.35687148821327,14.3305841465093,17.7321220187098
dev,G08,later,335,-3.76115382744337,13.1366501410789,16.6399309449232
cond,G08,first game,153,-4.31581340504941,12.4331103206102,15.4625458134645
cond,G08,later,212,-4.36171734916903,12.930409182138,16.2601178281579
dev,G10,first game,226,0.642719984045283,14.3635714832336,17.69162568225
dev,G10,later,335,-2.02027574276823,12.8734455381431,16.3241282780931
cond,G10,first game,153,-2.3158134316215,12.1704961589987,15.0275439929803
cond,G10,later,212,-2.62370391627892,12.6200243506273,15.8814756061199
dev,G12,first game,226,2.64231145630384,14.6719891256615,17.8761258841683
dev,G12,later,335,-0.279397658093085,12.8238454053254,16.1946512650824
cond,G12,first game,153,-0.315813458193588,12.0937966108156,14.8513916410511
cond,G12,later,212,-0.885690483388808,12.4851386462144,15.6908702463701
dev,G14,first game,226,4.64190292856239,15.1020201083354,18.2788107743303
dev,G14,later,335,1.46148042658206,12.9182534482606,16.2559527104933
cond,G14,first game,153,1.68418651523432,12.1929538272119,14.9432455871628
cond,G14,later,212,0.852322949501306,12.5244923761918,15.6951539262123
dev,L_expanding_n0,first game,226,0.387722391113421,16.6053736789594,20.9783100431509
dev,L_expanding_n0,later,335,0.353955545620508,13.0022682933845,16.3630833373315
cond,L_expanding_n0,first game,153,-9.75964021387161,15.9248356300748,19.564779472952
cond,L_expanding_n0,later,212,0.361912507995811,12.6635468369164,15.91905272361
dev,L_expanding_n20,first game,226,3.08996123591118,14.7387429146869,17.9002306609
dev,L_expanding_n20,later,335,0.813445653300783,12.8341107990174,16.1093555124029
cond,L_expanding_n20,first game,153,-0.811547531183425,12.1195308670448,14.8730111481352
cond,L_expanding_n20,later,212,0.472387940004638,12.4075605953898,15.5881476739273
dev,L_fixed_n0,first game,226,0.419936432722633,16.6146628253203,20.9865819347398
dev,L_fixed_n0,later,335,0.354389992346,13.0018339897292,16.3625529878072
cond,L_fixed_n0,first game,153,-9.71413314578426,15.9299166804025,19.5677882293075
cond,L_fixed_n0,later,212,0.364286196378532,12.6643376663031,15.9188278938025
dev,L_fixed_n20,first game,226,3.21254519761364,14.7565962226571,17.9128448150043
dev,L_fixed_n20,later,335,0.839522237914447,12.8358603956519,16.1086074341583
cond,L_fixed_n20,first game,153,-0.686677040651262,12.1147441667764,14.8677920639739
cond,L_fixed_n20,later,212,0.480683702207941,12.4125522087405,15.5881724562756
dev,L_last_n0,first game,226,0.486206078495117,16.6422417258767,20.9975201925973
dev,L_last_n0,later,335,0.356275152705915,12.9999480639993,16.3606313902423
cond,L_last_n0,first game,153,-9.49045380676876,15.9611518682845,19.5905720585828
cond,L_last_n0,later,212,0.376433586757385,12.6683851053022,15.9180688959619
dev,L_last_n20,first game,226,2.68930196001519,14.7243915651651,17.9133999546461
dev,L_last_n20,later,335,0.722848896028038,12.8331097002999,16.1068143210837
cond,L_last_n20,first game,153,-0.137509476247498,12.17584980078,14.894801945673
cond,L_last_n20,later,212,0.757736102747819,12.4084128206537,15.5827310087173
dev,L_rolling3_n0,first game,226,0.326916506567791,16.5892884474875,20.963364033058
dev,L_rolling3_n0,later,335,0.35285787866575,13.0033662017999,16.3643907292753
cond,L_rolling3_n0,first game,153,-9.81706269947156,15.9248518579766,19.5668217756099
cond,L_rolling3_n0,later,212,0.358639527797824,12.6624552356186,15.9194027664134
dev,L_rolling3_n20,first game,226,3.12601537170411,14.7371089523091,17.8964744057182
dev,L_rolling3_n20,later,335,0.845796333230406,12.837441365966,16.1166923264331
cond,L_rolling3_n20,first game,153,-0.748725096519879,12.1295834364837,14.8712672773934
cond,L_rolling3_n20,later,212,0.515550558197233,12.3902594217505,15.5779851928014
dev,S2_on_G12,first game,226,2.64115146063779,14.6708237175183,17.8752914119094
dev,S2_on_G12,later,335,0.214665719015369,12.9225265699271,16.2234609262151
cond,S2_on_G12,first game,153,-0.315892643928949,12.0936515644639,14.8511314636758
cond,S2_on_G12,later,212,-0.662023122203254,12.5460201548378,15.7560052599138
dev,S2_on_L_last_n20,first game,226,2.67853769547152,14.7194786354085,17.9107211063507
dev,S2_on_L_last_n20,later,335,0.723199509866572,12.9044643379079,16.1678218441047
cond,S2_on_L_last_n20,first game,153,-0.180627738070786,12.1786027036354,14.8980988442141
cond,S2_on_L_last_n20,later,212,0.69382480653386,12.5101993666099,15.701987623129
dev,S4_on_G12,first game,226,2.64025349570054,14.6699194835196,17.8746258492866
dev,S4_on_G12,later,335,0.576974250867076,13.0938901430095,16.3764299118909
cond,S4_on_G12,first game,153,-0.315940405700756,12.0935637939591,14.8509727228593
cond,S4_on_G12,later,212,-0.479359649859794,12.6676960956076,15.8733193296166
dev,S4_on_L_last_n20,first game,226,2.67158311504096,14.716085774901,17.9090199917302
dev,S4_on_L_last_n20,later,335,0.709922417765946,13.0890606068863,16.32837205531
cond,S4_on_L_last_n20,first game,153,-0.206850597416112,12.1802982163338,14.9002823901977
cond,S4_on_L_last_n20,later,212,0.661640558126934,12.6357610528846,15.8478716359588
dev,SR_on_L_last_n20,first game,226,2.58154422076211,14.6831493767089,17.8950219454792
dev,SR_on_L_last_n20,later,335,-0.0897447029099087,12.8158986082467,16.0801858132624
cond,SR_on_L_last_n20,first game,153,-0.11132485336641,12.1659832965425,14.9021009617067
cond,SR_on_L_last_n20,later,212,-0.0591735943286467,12.4131809098947,15.5994410157816
dev,M00,first game,226,-9.35523737724749,16.0834819806594,20.0033540393157
dev,M00,later,335,-10.7246661661439,15.7963498648239,19.507047106166
cond,M00,first game,153,-12.3158132987611,15.4903958033321,19.2910160229614
cond,M00,later,212,-11.3137710807295,15.5562276204295,19.3544607106758
dev,M04,first game,226,-5.35523737724749,14.8232071915083,18.4740973745466
dev,M04,later,335,-6.72466616614394,14.0129366660282,17.627465996933
cond,M04,first game,153,-8.31581329876106,13.642874715729,17.018131296005
cond,M04,later,212,-7.31377108072949,13.8794200737512,17.3229610850818
dev,M06,first game,226,-3.35523737724749,14.4653171344852,17.9964253199139
dev,M06,later,335,-4.72466616614394,13.3733522940423,16.9655207054913
cond,M06,first game,153,-6.31581329876106,12.9447022514953,16.1354745704309
cond,M06,later,212,-5.31377108072949,13.253207777792,16.5779943428733
dev,M08,first game,226,-1.35523737724749,14.3317701667744,17.7327486528809
dev,M08,later,335,-2.72466616614394,12.981809131305,16.52060011452
cond,M08,first game,153,-4.31581329876106,12.433110472299,15.4625446294579
cond,M08,later,212,-3.31377108072949,12.7517668287552,16.049137425713
dev,M10,first game,226,0.644762622752512,14.3650550240518,17.6926376009135
dev,M10,later,335,-0.724666166143944,12.8178328893743,16.3104740421394
cond,M10,first game,153,-2.31581329876106,12.1704957524449,15.02754248781
cond,M10,later,212,-1.31377108072949,12.5127136459991,15.7581638456549
dev,M12,first game,226,2.64476262275251,14.6737783369373,17.8775970356273
dev,M12,later,335,1.27533383385606,12.9388040807403,16.3442007701425
cond,M12,first game,153,-0.315813298761063,12.093796122951,14.8513898348905
cond,M12,later,212,0.686228919270512,12.5675000925597,15.7182900935053
dev,M14,first game,226,4.64476262275251,15.1041075214905,18.2807966527523
dev,M14,later,335,3.27533383385606,13.2883234803893,16.6202958502594
cond,M14,first game,153,1.68418670123894,12.1929532580366,14.9432435178192
cond,M14,later,212,2.68622891927051,12.8148705691358,15.9314016690519
