split,arm,slice,level,n,bias,mae
dev,C0,season,2017,98,-8.05138724975294,15.1608962038939
dev,FLAT_on_L_last_n20,season,2017,98,2.05649017830126,15.8830317044273
dev,G12,season,2017,98,3.0646988247337,14.6425646523174
dev,L_last_n20,season,2017,98,2.93301235964637,14.5615383771918
dev,S4_on_G12,season,2017,98,3.70540741053918,14.9518442041985
dev,S4_on_L_last_n20,season,2017,98,2.82840783388611,14.8266607761672
dev,SR_on_L_last_n20,season,2017,98,2.67881498171419,14.5925371828723
dev,M10,season,2017,98,1.94861275024706,14.3307132319954
dev,C0,season,2018,112,-13.5935501209118,16.6562350785327
dev,FLAT_on_L_last_n20,season,2018,112,0.392979682452933,15.3391914137229
dev,G12,season,2018,112,-2.66037510897081,12.220833903541
dev,L_last_n20,season,2018,112,0.632890484692918,12.282381361203
dev,S4_on_G12,season,2018,112,-2.01182292820588,12.3735134690445
dev,S4_on_L_last_n20,season,2018,112,0.884991647427799,12.415710582618
dev,SR_on_L_last_n20,season,2018,112,-0.166426577620353,12.2325007503232
dev,M10,season,2018,112,-3.59355012091182,12.1894514284901
dev,C0,season,2019,114,-9.9928724761539,14.8078012516019
dev,FLAT_on_L_last_n20,season,2019,114,2.20577539728977,13.0988206643448
dev,G12,season,2019,114,1.01006768618604,12.264235960123
dev,L_last_n20,season,2019,114,2.51747274587088,12.3483592329143
dev,S4_on_G12,season,2019,114,1.58654529713058,12.1712161365495
dev,S4_on_L_last_n20,season,2019,114,2.57701466147048,12.3372317086313
dev,SR_on_L_last_n20,season,2019,114,1.77722322941853,12.2889666855962
dev,M10,season,2019,114,0.00712752384610417,12.0440235637598
dev,C0,season,2021,117,-7.00956501160979,16.373530744897
dev,FLAT_on_L_last_n20,season,2021,117,1.71140823607474,15.6332670407944
dev,G12,season,2021,117,4.21569824842655,15.0313147236401
dev,L_last_n20,season,2021,117,2.52039957498786,15.0487117883038
dev,S4_on_G12,season,2021,117,4.47864346219124,15.2275303958129
dev,S4_on_L_last_n20,season,2021,117,2.15404756223701,15.2056203317751
dev,SR_on_L_last_n20,season,2021,117,2.40176155734564,15.0033557700426
dev,M10,season,2021,117,2.99043498839021,14.9475947252861
dev,C0,season,2022,120,-11.9685556688196,16.429879464435
dev,FLAT_on_L_last_n20,season,2022,120,-0.777565497289485,16.195751748184
dev,G12,season,2022,120,-0.893322585390032,13.7613858161658
dev,L_last_n20,season,2022,120,-0.752174714174881,13.7977878177041
dev,S4_on_G12,season,2022,120,-0.439079526285417,14.0133422063535
dev,S4_on_L_last_n20,season,2022,120,-0.670870620593905,14.0133029459606
dev,SR_on_L_last_n20,season,2022,120,-1.45107602883538,13.7939519807352
dev,M10,season,2022,120,-1.9685556688196,13.7413393960214
cond,C0,season,2023,118,-10.0234544658814,14.9196680683178
cond,FLAT_on_L_last_n20,season,2023,118,1.61421750268468,13.842531533549
cond,G12,season,2023,118,1.1268793722234,12.4308826462839
cond,L_last_n20,season,2023,118,1.93066791183744,12.4569237226247
cond,S4_on_G12,season,2023,118,1.54213705523508,12.5556260758891
cond,S4_on_L_last_n20,season,2023,118,1.83226326119267,12.605964999101
cond,SR_on_L_last_n20,season,2023,118,1.59534131746231,12.400536597509
cond,M10,season,2023,118,-0.0234544658813592,12.4063185290036
cond,C0,season,2024,121,-11.9767713998882,14.9893175683115
cond,FLAT_on_L_last_n20,season,2024,121,-0.556294591715072,13.9727891271924
cond,G12,season,2024,121,-0.855474170627976,11.921137726247
cond,L_last_n20,season,2024,121,-0.0619692621106439,12.1818053219103
cond,S4_on_G12,season,2024,121,-0.811548683742765,12.2170482060728
cond,S4_on_L_last_n20,season,2024,121,-0.153064215819457,12.4817818377067
cond,SR_on_L_last_n20,season,2024,121,-0.357410308226059,12.0875789298677
cond,M10,season,2024,121,-1.97677139988816,11.9511726753299
cond,C0,season,2025,126,-13.1022375989256,16.6168456794736
cond,FLAT_on_L_last_n20,season,2025,126,-0.914011678214417,12.7497342414862
cond,G12,season,2025,126,-2.10750184808272,12.6023687088481
cond,L_last_n20,season,2025,126,-0.640630388609202,12.2981991609292
cond,S4_on_G12,season,2025,126,-1.8550627748203,12.5082549432923
cond,S4_on_L_last_n20,season,2025,126,-0.706878077685207,12.2584722067792
cond,SR_on_L_last_n20,season,2025,126,-1.38556454545979,12.4375351448303
cond,M10,season,2025,126,-3.10223759892561,12.7360608169726
dev,C0,game,later,335,-10.7246661661439,15.7963498648239
dev,FLAT_on_L_last_n20,game,later,335,0.287112228398247,14.9811252665249
dev,G12,game,later,335,-0.279397658093086,12.8238454053254
dev,L_last_n20,game,later,335,0.722848896028038,12.8331097002999
dev,S4_on_G12,game,later,335,0.576974250867076,13.0938901430095
dev,S4_on_L_last_n20,game,later,335,0.709922417765945,13.0890606068863
dev,SR_on_L_last_n20,game,later,335,-0.0897447029099096,12.8158986082467
dev,M10,game,later,335,-0.724666166143944,12.8178328893743
dev,C0,game,first game,226,-9.35523737724749,16.0834819806594
dev,FLAT_on_L_last_n20,game,first game,226,2.24669232138,15.5827327007758
dev,G12,game,first game,226,2.64231145630384,14.6719891256615
dev,L_last_n20,game,first game,226,2.68930196001519,14.7243915651651
dev,S4_on_G12,game,first game,226,2.64025349570054,14.6699194835196
dev,S4_on_L_last_n20,game,first game,226,2.67158311504096,14.716085774901
dev,SR_on_L_last_n20,game,first game,226,2.58154422076211,14.6831493767089
dev,M10,game,first game,226,0.644762622752512,14.3650550240518
cond,C0,game,first game,153,-12.3158132987611,15.4903958033321
cond,FLAT_on_L_last_n20,game,first game,153,-0.509020730140789,13.0553230881004
cond,G12,game,first game,153,-0.315813458193588,12.0937966108156
cond,L_last_n20,game,first game,153,-0.137509476247498,12.17584980078
cond,S4_on_G12,game,first game,153,-0.315940405700756,12.0935637939591
cond,S4_on_L_last_n20,game,first game,153,-0.206850597416111,12.1802982163338
cond,SR_on_L_last_n20,game,first game,153,-0.11132485336641,12.1659832965425
cond,M10,game,first game,153,-2.31581329876106,12.1704957524449
cond,C0,game,later,212,-11.3137710807295,15.5562276204295
cond,FLAT_on_L_last_n20,game,later,212,0.405097735734873,13.8355107891366
cond,G12,game,later,212,-0.885690483388808,12.4851386462144
cond,L_last_n20,game,later,212,0.757736102747819,12.4084128206537
cond,S4_on_G12,game,later,212,-0.479359649859794,12.6676960956076
cond,S4_on_L_last_n20,game,later,212,0.661640558126934,12.6357610528846
cond,SR_on_L_last_n20,game,later,212,-0.0591735943286455,12.4131809098947
cond,M10,game,later,212,-1.31377108072949,12.5127136459991
dev,C0,FCS strength (C0 quintile),FCS Q2,112,-12.2077016872596,16.9787627098535
dev,FLAT_on_L_last_n20,FCS strength (C0 quintile),FCS Q2,112,-4.87407302148356,13.7660757105819
dev,G12,FCS strength (C0 quintile),FCS Q2,112,-1.10410617911922,13.164535199519
dev,L_last_n20,FCS strength (C0 quintile),FCS Q2,112,-1.21732463600754,13.3832305128559
dev,S4_on_G12,FCS strength (C0 quintile),FCS Q2,112,-1.28233093197007,13.2598370101707
dev,S4_on_L_last_n20,FCS strength (C0 quintile),FCS Q2,112,-1.88263738217059,13.4819428837918
dev,SR_on_L_last_n20,FCS strength (C0 quintile),FCS Q2,112,-1.64014003172822,13.3753016102345
dev,M10,FCS strength (C0 quintile),FCS Q2,112,-2.20770168725964,13.3390703542308
dev,C0,FCS strength (C0 quintile),FCS Q5,113,-9.22416548625039,14.9643994676979
dev,FLAT_on_L_last_n20,FCS strength (C0 quintile),FCS Q5,113,13.1074813521188,18.7612159382851
dev,G12,FCS strength (C0 quintile),FCS Q5,113,2.03416775449665,14.0433075793824
dev,L_last_n20,FCS strength (C0 quintile),FCS Q5,113,3.12996542985878,14.3150231058307
dev,S4_on_G12,FCS strength (C0 quintile),FCS Q5,113,3.92860357992786,14.642644880364
dev,S4_on_L_last_n20,FCS strength (C0 quintile),FCS Q5,113,4.43530771554268,14.8995254366306
dev,SR_on_L_last_n20,FCS strength (C0 quintile),FCS Q5,113,2.56469978460727,14.229329404591
dev,M10,FCS strength (C0 quintile),FCS Q5,113,0.77583451374961,13.7050415559425
dev,C0,FCS strength (C0 quintile),FCS Q3,112,-9.54920983191407,16.6109530414538
dev,FLAT_on_L_last_n20,FCS strength (C0 quintile),FCS Q3,112,1.51816310175747,14.0499771364774
dev,G12,FCS strength (C0 quintile),FCS Q3,112,1.89700783962576,14.2679370430145
dev,L_last_n20,FCS strength (C0 quintile),FCS Q3,112,2.04576972605367,13.7928168439882
dev,S4_on_G12,FCS strength (C0 quintile),FCS Q3,112,2.54633108700643,14.1010615341799
dev,S4_on_L_last_n20,FCS strength (C0 quintile),FCS Q3,112,2.22268370488575,13.7123881444572
dev,SR_on_L_last_n20,FCS strength (C0 quintile),FCS Q3,112,1.63701957592961,13.8180696360421
dev,M10,FCS strength (C0 quintile),FCS Q3,112,0.450790168085931,14.2068102154843
dev,C0,FCS strength (C0 quintile),FCS Q4,112,-9.62481323688361,15.4296334333925
dev,FLAT_on_L_last_n20,FCS strength (C0 quintile),FCS Q4,112,5.64301891498757,13.7538919139232
dev,G12,FCS strength (C0 quintile),FCS Q4,112,1.56276516977377,13.0907880092669
dev,L_last_n20,FCS strength (C0 quintile),FCS Q4,112,2.60899926709936,13.1964113710963
dev,S4_on_G12,FCS strength (C0 quintile),FCS Q4,112,2.90204449547491,13.4227739234088
dev,S4_on_L_last_n20,FCS strength (C0 quintile),FCS Q4,112,3.40739424483311,13.4642093807759
dev,SR_on_L_last_n20,FCS strength (C0 quintile),FCS Q4,112,2.06693477963206,13.1583861716888
dev,M10,FCS strength (C0 quintile),FCS Q4,112,0.375186763116393,12.8944534404123
dev,C0,FCS strength (C0 quintile),FCS Q1,112,-10.2675262526021,15.58482039115
dev,FLAT_on_L_last_n20,FCS strength (C0 quintile),FCS Q1,112,-10.1193440992269,15.7546726821869
dev,G12,FCS strength (C0 quintile),FCS Q1,112,0.0881118965532782,13.2710611474254
dev,L_last_n20,FCS strength (C0 quintile),FCS Q1,112,0.993363942486507,13.2811719182107
dev,S4_on_G12,FCS strength (C0 quintile),FCS Q1,112,-1.07629947607427,13.209507261727
dev,S4_on_L_last_n20,FCS strength (C0 quintile),FCS Q1,112,-0.708047513132864,13.1541766811114
dev,SR_on_L_last_n20,FCS strength (C0 quintile),FCS Q1,112,0.289341415066517,13.2536316014995
dev,M10,FCS strength (C0 quintile),FCS Q1,112,-0.26752625260214,13.0579406108957
cond,C0,FCS strength (C0 quintile),FCS Q4,73,-10.5694926733613,15.5681699184933
