arm,wk,n_link,fcs_level
FLAT_on_L_last_n20,2,1.2,-28.1940169193565
FLAT_on_L_last_n20,3,36.2,-27.0380901969676
FLAT_on_L_last_n20,4,69.8,-28.076877153971
FLAT_on_L_last_n20,5,89,-28.6501306763066
FLAT_on_L_last_n20,6,97.4,-28.3532893393796
FLAT_on_L_last_n20,7,101,-28.3655247148104
FLAT_on_L_last_n20,8,101.4,-28.3329567742643
FLAT_on_L_last_n20,9,102.4,-28.3014134722138
FLAT_on_L_last_n20,10,103.2,-28.2988372779103
FLAT_on_L_last_n20,11,103.8,-28.319195140455
FLAT_on_L_last_n20,12,104.6,-28.259152230839
FLAT_on_L_last_n20,13,105.8,-28.203771734905
FLAT_on_L_last_n20,14,110.2,-28.321818479916
FLAT_on_L_last_n20,15,111.4,-28.3762237889461
FLAT_on_L_last_n20,16,112.2,-28.4076158949706
FLAT_on_L_last_n20,17,112.2,-28.4070724436567
FLAT_on_L_last_n20,18,112.2,-28.410519037845
FLAT_on_L_last_n20,19,112.2,-28.4028847632584
FLAT_on_L_last_n20,20,112.2,-28.3939571024488
FLAT_on_L_last_n20,21,112.2,-28.3945742962951
FLAT_on_L_last_n20,22,114,-28.1164740918397
L_last_n20,2,1.2,-25.5310478803527
L_last_n20,3,36.2,-27.4587069146457
L_last_n20,4,69.8,-28.3151162089652
L_last_n20,5,89,-28.8467379706761
L_last_n20,6,97.4,-28.6802171783583
L_last_n20,7,101,-28.6586000597229
L_last_n20,8,101.4,-28.6248646622397
L_last_n20,9,102.4,-28.6609725212511
L_last_n20,10,103.2,-28.6923416628836
L_last_n20,11,103.8,-28.7191058093552
L_last_n20,12,104.6,-28.7041543290128
L_last_n20,13,105.8,-28.5456664940042
L_last_n20,14,110.2,-28.6261316387811
L_last_n20,15,111.4,-28.6756878538728
L_last_n20,16,112.2,-28.6525094094792
L_last_n20,17,112.2,-28.6486626334456
L_last_n20,18,112.2,-28.6565785197951
L_last_n20,19,112.2,-28.6460823095301
L_last_n20,20,112.2,-28.6381959602967
L_last_n20,21,112.2,-28.6372987611436
L_last_n20,22,114,-28.9519453152656
S4_on_L_last_n20,2,1.2,-25.4104414684554
S4_on_L_last_n20,3,36.2,-27.332166846702
S4_on_L_last_n20,4,69.8,-28.0314500345189
S4_on_L_last_n20,5,89,-28.524315045857
S4_on_L_last_n20,6,97.4,-28.2884329918246
S4_on_L_last_n20,7,101,-28.2512932458102
S4_on_L_last_n20,8,101.4,-28.2434088266852
S4_on_L_last_n20,9,102.4,-28.2279059762035
S4_on_L_last_n20,10,103.2,-28.2524752146136
S4_on_L_last_n20,11,103.8,-28.2694616746836
S4_on_L_last_n20,12,104.6,-28.2437652058053
S4_on_L_last_n20,13,105.8,-28.1191738056388
S4_on_L_last_n20,14,110.2,-28.2136516905489
S4_on_L_last_n20,15,111.4,-28.2715490723974
S4_on_L_last_n20,16,112.2,-28.2755487913
S4_on_L_last_n20,17,112.2,-28.2705272239495
S4_on_L_last_n20,18,112.2,-28.2769575480477
S4_on_L_last_n20,19,112.2,-28.2680464221762
S4_on_L_last_n20,20,112.2,-28.2593264893295
S4_on_L_last_n20,21,112.2,-28.2594785951811
S4_on_L_last_n20,22,114,-28.2738021769583
SR_on_L_last_n20,2,1.2,-25.351221770153
SR_on_L_last_n20,3,36.2,-26.8894960763795
SR_on_L_last_n20,4,69.8,-27.3599123207683
SR_on_L_last_n20,5,89,-27.6861825291617
SR_on_L_last_n20,6,97.4,-27.4657208781792
SR_on_L_last_n20,7,101,-27.4281305103455
SR_on_L_last_n20,8,101.4,-27.3984951566179
SR_on_L_last_n20,9,102.4,-27.4419818588699
SR_on_L_last_n20,10,103.2,-27.4602005185872
SR_on_L_last_n20,11,103.8,-27.47506570305
SR_on_L_last_n20,12,104.6,-27.4498018170316
SR_on_L_last_n20,13,105.8,-27.2831022845411
SR_on_L_last_n20,14,110.2,-27.3349079167838
SR_on_L_last_n20,15,111.4,-27.3911725040791
SR_on_L_last_n20,16,112.2,-27.3848132131218
SR_on_L_last_n20,17,112.2,-27.3804909629508
SR_on_L_last_n20,18,112.2,-27.3883427510761
SR_on_L_last_n20,19,112.2,-27.3778033668896
SR_on_L_last_n20,20,112.2,-27.3710792100665
SR_on_L_last_n20,21,112.2,-27.3700774427815
SR_on_L_last_n20,22,114,-27.5973783446037
