season,fcs,gap,se_fcs,n_fcs,n_low,n_link
2013,-27.5028583812964,-23.9016038919682,1.44867144791982,127,73,111
2014,-29.0087465867684,-27.7459607452188,1.40875744178054,124,66,108
2015,-30.3223767033753,-27.4583211017312,1.45442019281038,125,47,105
2016,-28.1798048094574,-31.3700693215175,1.45455453763249,125,49,113
2017,-27.467498259296,-31.3592036299029,1.53567320487116,124,42,98
2018,-29.7270247298007,-36.0832643916923,1.47349732687115,125,50,112
2019,-28.4116766361016,-30.9502555722988,1.37554739165018,126,54,114
2020,-24.1123385095368,-15.2742131436997,2.71519688374036,22,7,36
2021,-27.0397707781776,-32.4531405905704,1.35093182937263,128,40,117
2022,-29.6117141816463,-34.7743648937145,1.32557489698096,130,45,120
2023,-28.3028298078336,-29.3344074375566,1.3428412491735,128,41,118
2024,-30.4019233171762,-29.9682273215009,1.32887829387445,129,48,121
2025,-30.4189047877315,-33.5582235663545,1.24642578187611,129,50,126
