season,n_fcs,all_fcs,panel_fcs,entrants,entrants_power,entrants_from_lower,left_for_fbs,leavers_prev_power,fbs_scheduled_fcs_power,scheduling_selection,stage1_implied_level_all_games
2013,127,-27.5028583812964,-28.3349509619694,,,,,,-24.0821126137119,3.4207457675845,
2014,124,-29.0087465867684,-29.5930906799255,0,,0,3,-17.350722018295,-26.1379347116194,2.87081187514902,
2015,125,-30.3223767033753,-30.3483911252063,2,-44.0248588983798,0,1,-27.730319566349,-29.6093074425289,0.713069260846368,
2016,125,-28.1798048094574,-28.7157156044686,0,,0,0,,-27.371850908801,0.807953900656358,
2017,124,-27.467498259296,-27.9318902197757,0,,0,1,-12.8056098637149,-26.4744971588756,0.993001100420397,-25.1778839856854
2018,125,-29.7270247298007,-30.0378402949278,2,-35.472244873391,0,1,-25.591443130824,-29.4352548614034,0.291769868397321,-29.8109670738488
2019,126,-28.4116766361016,-28.3916933837626,2,-40.6200059288019,0,0,,-26.7537844639407,1.65789217216085,-27.0207995614687
2021,128,-27.0397707781776,-27.4974743811763,3,-32.8681334958782,1,0,,-26.8976287719504,0.142142006227143,-25.3212548052509
2022,130,-29.6117141816463,-29.8278779956917,3,-34.2185079019474,1,1,2.12555639554708,-28.9757278780425,0.635986303603861,-28.8107659441749
2023,128,-28.3028298078336,-28.2077389840266,0,,0,2,-20.8245487726778,-27.777804237067,0.525025570766605,-28.0046895265795
2024,129,-30.4019233171762,-30.4452602718489,2,-35.0123803142794,0,1,-30.9596357714711,-28.9665141988307,1.43540911834546,-29.787819759219
2025,129,-30.4189047877315,-30.584606175131,2,-30.8773781157819,0,2,-18.8434950683623,-30.2687753365715,0.150129451160058,-31.8474437936858
