arm,split,fcs_mean,fcs_mean_C0,fcs_sd,fcs_sd_C0,fcs_rank_spearman_vs_C0,lower_mean,fbs_sd_change,fbs_change_0fcs,fbs_change_1fcs,fbs_change_2fcs,sos_change_0fcs,sos_change_1plus,sos_rank_spearman_vs_C0
G12,dev,-26.8339151068202,-19.3275854383636,10.8207205200768,10.7862465169628,0.995620207223983,-39.6377853221642,0.267889543465159,0.516875230911464,-0.0855361909034557,-0.583159590232187,0.182055902970589,-0.589243862886941,0.99786083258123
G12,cond,-28.3042490750656,-20.7206975487844,10.0923255152662,10.0628515489889,0.995253419938116,-40.5153699100382,0.177693277141392,0.464950997787418,-0.0483993853701871,-0.562537187129041,0.0914240751313785,-0.566883533278875,0.998694960021544
L_last_n20,dev,-28.6365009261999,-19.3275854383636,11.2510290675526,10.7862465169628,0.983493918915696,-60.6391605794078,0.346211128004662,0.645736223530796,-0.107676761851293,-0.697489512890283,0.235993610774643,-0.721239540820434,0.996401202206279
L_last_n20,cond,-30.8526590947407,-20.7206975487844,10.5972985723964,10.0628515489889,0.979760607266444,-61.4289029426949,0.234678697616919,0.594612840079814,-0.061745258262448,-0.737526242351228,0.113645806260973,-0.740055957917198,0.998106201611578
S4_on_L_last_n20,dev,-28.2611733762,-19.3275854383636,8.77563835928024,10.7862465169628,0.969922398763759,-59.1558570403421,0.393430888656107,0.641293722891564,-0.108587686366981,-0.629807881937284,0.226724720764994,-0.72329426582896,0.995138811126739
S4_on_L_last_n20,cond,-30.5315590362287,-20.7206975487844,8.40943350917881,10.0628515489889,0.964283890665277,-60.1849185604918,0.273503802729902,0.573350539313511,-0.0607421026295721,-0.566985755945906,0.0842904455327863,-0.739594683361961,0.997017634035366
S4_on_G12,dev,-27.5576402863439,-19.3275854383636,8.53189193477317,10.7862465169628,0.975207902576618,-35.0346882148094,0.361391172551847,0.584680290719272,-0.0992325093142688,-0.565415912164221,0.198974548825172,-0.670441249167132,0.99565909680591
S4_on_G12,cond,-28.8318822010497,-20.7206975487844,8.08373502426344,10.0628515489889,0.969774924992605,-36.3651991171916,0.249904027685353,0.488718360732065,-0.0520376390384234,-0.451980125073629,0.0732559763309302,-0.617183484917142,0.997255289513732
FLAT_on_L_last_n20,dev,-28.3944188682803,-19.3275854383636,1.12012383289707,10.7862465169628,0.917490704572376,-57.1315856362909,0.799878345273021,0.619317262166672,-0.113385978366093,-0.283876342586157,0.200898533637673,-0.718136578365633,0.981059888096991
FLAT_on_L_last_n20,cond,-30.4971386197623,-20.7206975487844,1.65625486988615,10.0628515489889,0.930770492630729,-59.2426113928069,0.686110923418122,0.5249595648246,-0.0616079679905684,0.197972783601711,0.0238294796988722,-0.73398761987846,0.986228111677878
SR_on_L_last_n20,dev,-27.3718252514069,-19.3275854383636,11.2532621116244,10.7862465169628,0.9832633560207,-59.3853971625509,0.355286147401337,0.658727231391181,-0.10965699996004,-0.718603648998664,0.240879587839508,-0.619285584732808,0.996878136952698
SR_on_L_last_n20,cond,-29.7103755059143,-20.7206975487844,10.5454394476099,10.0628515489889,0.979494310471925,-60.2714074329817,0.238329788320206,0.602288205428802,-0.0624756663887146,-0.755017396344133,0.114105182374476,-0.647992661727531,0.998292305094715
