model,split,season,sigma
C0,dev,2017,15.8090527780909
C0,dev,2018,15.8530796248293
C0,dev,2019,16.1851263110469
C0,dev,2021,15.4402100911276
C0,dev,2022,15.3325644600391
C0,cond,,15.7198691081899
FLAT_on_L_last_n20,dev,2017,15.9316927446269
FLAT_on_L_last_n20,dev,2018,16.1095425860628
FLAT_on_L_last_n20,dev,2019,16.3954600965319
FLAT_on_L_last_n20,dev,2021,15.686772612169
FLAT_on_L_last_n20,dev,2022,15.5782051717018
FLAT_on_L_last_n20,cond,,15.9367500379526
G04,dev,2017,15.7749071526144
G04,dev,2018,15.833327630536
G04,dev,2019,16.1534067263586
G04,dev,2021,15.4042759225076
G04,dev,2022,15.2972224991429
G04,cond,,15.6885155036974
G06,dev,2017,15.762247621837
G06,dev,2018,15.8280170955183
G06,dev,2019,16.1424494436622
G06,dev,2021,15.3912354214473
G06,dev,2022,15.2843936432811
G06,cond,,15.6775695065084
G08,dev,2017,15.7525239973083
G08,dev,2018,15.8257399408578
G08,dev,2019,16.1347460799137
G08,dev,2021,15.3814724473981
G08,dev,2022,15.2747816405785
G08,cond,,15.669767205214
G10,dev,2017,15.7457307673611
G10,dev,2018,15.826483849284
G10,dev,2019,16.1302846493136
G10,dev,2021,15.3749808501388
G10,dev,2022,15.2683757988327
G10,cond,,15.665099321229
G12,dev,2017,15.7418616610063
G12,dev,2018,15.8302400892723
G12,dev,2019,16.1290579114451
G12,dev,2021,15.3717543674146
G12,dev,2022,15.265165155125
G12,cond,,15.6635579087935
G14,dev,2017,15.7409133717735
G14,dev,2018,15.8369983077292
G14,dev,2019,16.1310521901805
G14,dev,2021,15.3717867660057
G14,dev,2022,15.265141115483
G14,cond,,15.6651358148625
L_expanding_n0,dev,2017,15.7354134248165
L_expanding_n0,dev,2018,15.8323990510402
L_expanding_n0,dev,2019,16.1283457670763
L_expanding_n0,dev,2021,15.3472581708582
L_expanding_n0,dev,2022,15.2419398878614
L_expanding_n0,cond,,15.6528757168264
L_expanding_n20,dev,2017,15.7344508936538
L_expanding_n20,dev,2018,15.8288877047972
L_expanding_n20,dev,2019,16.1262034115021
L_expanding_n20,dev,2021,15.3463480199153
L_expanding_n20,dev,2022,15.2412358348051
L_expanding_n20,cond,,15.6512549352498
L_fixed_n0,dev,2017,15.7354123080329
L_fixed_n0,dev,2018,15.8323992039125
L_fixed_n0,dev,2019,16.1283459078742
L_fixed_n0,dev,2021,15.3472573325189
L_fixed_n0,dev,2022,15.2419401233337
L_fixed_n0,cond,,15.6528768329605
L_fixed_n20,dev,2017,15.7341794850991
L_fixed_n20,dev,2018,15.8286866299228
L_fixed_n20,dev,2019,16.1255678210996
L_fixed_n20,dev,2021,15.3464011598366
L_fixed_n20,dev,2022,15.2412219460282
L_fixed_n20,cond,,15.6510423460132
L_last_n0,dev,2017,15.7354138813421
L_last_n0,dev,2018,15.8323968598028
L_last_n0,dev,2019,16.1283446276205
L_last_n0,dev,2021,15.3472581536908
L_last_n0,dev,2022,15.2419399011024
L_last_n0,cond,,15.652875577596
L_last_n20,dev,2017,15.7337831534776
L_last_n20,dev,2018,15.8271330072796
L_last_n20,dev,2019,16.125771296287
L_last_n20,dev,2021,15.3447276851287
L_last_n20,dev,2022,15.2398780380748
L_last_n20,cond,,15.6500881878121
L_rolling3_n0,dev,2017,15.7354136598256
L_rolling3_n0,dev,2018,15.8323973741129
L_rolling3_n0,dev,2019,16.1283455223617
L_rolling3_n0,dev,2021,15.3472579381258
L_rolling3_n0,dev,2022,15.2419398833911
L_rolling3_n0,cond,,15.6528764706234
L_rolling3_n20,dev,2017,15.7345348803899
L_rolling3_n20,dev,2018,15.8287781359788
L_rolling3_n20,dev,2019,16.1265471514427
L_rolling3_n20,dev,2021,15.3456862489075
L_rolling3_n20,dev,2022,15.2406191982639
L_rolling3_n20,cond,,15.6510575745096
S2_on_G12,dev,2017,15.7504434717521
S2_on_G12,dev,2018,15.8595024382123
S2_on_G12,dev,2019,16.156670094801
S2_on_G12,dev,2021,15.4022124529356
S2_on_G12,dev,2022,15.2963220480511
S2_on_G12,cond,,15.6890696312809
S2_on_L_last_n20,dev,2017,15.7434732459732
S2_on_L_last_n20,dev,2018,15.8570535723415
S2_on_L_last_n20,dev,2019,16.1518699742848
S2_on_L_last_n20,dev,2021,15.3799167596813
S2_on_L_last_n20,dev,2022,15.2750577024765
S2_on_L_last_n20,cond,,15.6774093731808
S4_on_G12,dev,2017,15.7613410596052
S4_on_G12,dev,2018,15.895787881346
S4_on_G12,dev,2019,16.1880386286947
S4_on_G12,dev,2021,15.438568970151
S4_on_G12,dev,2022,15.3301389488336
S4_on_G12,cond,,15.7189050041967
S4_on_L_last_n20,dev,2017,15.7561065996643
S4_on_L_last_n20,dev,2018,15.8956040555576
S4_on_L_last_n20,dev,2019,16.1836822531625
S4_on_L_last_n20,dev,2021,15.4220122108256
S4_on_L_last_n20,dev,2022,15.3143277389714
S4_on_L_last_n20,cond,,15.7103866241791
SR_on_L_last_n20,dev,2017,15.7291893006318
SR_on_L_last_n20,dev,2018,15.824779428916
SR_on_L_last_n20,dev,2019,16.1210967381069
SR_on_L_last_n20,dev,2021,15.3417234810978
SR_on_L_last_n20,dev,2022,15.2404865788401
SR_on_L_last_n20,cond,,15.6473016515789
