split,arm,n,mean_pred_fbs_winprob,actual_fbs_win
dev,C0,561,0.831591858576086,0.93048128342246
cond,C0,365,0.836903190605824,0.961643835616438
dev,FLAT_on_L_last_n20,561,0.944733232434475,0.93048128342246
cond,FLAT_on_L_last_n20,365,0.948548850276311,0.961643835616438
dev,G12,561,0.936094851744015,0.93048128342246
cond,G12,365,0.939888163699907,0.961643835616438
dev,L_last_n20,561,0.940238700289357,0.93048128342246
cond,L_last_n20,365,0.945994548301838,0.961643835616438
dev,S4_on_G12,561,0.941770098503451,0.93048128342246
cond,S4_on_G12,365,0.942394794396744,0.961643835616438
dev,S4_on_L_last_n20,561,0.942548431936153,0.93048128342246
cond,S4_on_L_last_n20,365,0.946596045020463,0.961643835616438
dev,SR_on_L_last_n20,561,0.937027937260872,0.93048128342246
cond,SR_on_L_last_n20,365,0.943213236761633,0.961643835616438
dev,M10,561,0.92849043057207,0.93048128342246
cond,M10,365,0.932886917556261,0.961643835616438
