split,arm,mean_abs_weekly_change
dev,C0,0.967920232044654
cond,C0,0.827393457675167
dev,G12,0.945153288793184
cond,G12,0.800301725147724
dev,L_last_n20,0.943340371839543
cond,L_last_n20,0.797203636270997
dev,S4_on_L_last_n20,0.948492858980894
cond,S4_on_L_last_n20,0.803659079106776
dev,S4_on_G12,0.950334597934581
cond,S4_on_G12,0.805529555195253
dev,FLAT_on_L_last_n20,0.970395542160813
cond,FLAT_on_L_last_n20,0.820794282353027
dev,SR_on_L_last_n20,0.943009000784082
cond,SR_on_L_last_n20,0.796975893767005
