split,model,gp,n,logloss,brier,mae,rmse,bias,calib_slope,pred_sd,winners
dev,C0,0,289,0.472291125685867,0.156808333355764,12.8879039774758,16.2342657838753,-2.1626244377735,1.21848470735045,13.1246541508368,0.747404844290657
dev,C0,1,262,0.497449728965637,0.166105334867096,13.5416939402162,16.6355634103456,-1.4011086671683,1.18918944391104,13.6886866476636,0.732824427480916
dev,C0,2,298,0.504977013961771,0.16529291154854,13.1455589512965,16.6257626001324,1.63979143476707,1.09337502117876,14.3231692497512,0.768456375838926
dev,C0,3,317,0.498140176340147,0.166680100404215,12.6025122680124,15.9288163570568,1.80178292038975,0.975843159915635,14.3702731419826,0.750788643533123
dev,C0,0-3,1166,0.493325514899354,0.163749644549397,13.0230711992053,16.3441815802812,0.0580909948623545,1.11055251267306,13.9041860924719,0.750428816466552
dev,C0,4-6,950,0.556699491408306,0.187398007800791,12.9187801549325,16.2606868395014,0.322010510342728,0.855400807041271,13.5598275267162,0.715789473684211
dev,C0,7+,1752,0.531379425855442,0.17975698375572,12.6630333478067,16.0848048563598,1.19538920551257,0.993799845799231,13.0871791944955,0.713470319634703
dev,C0,all,3868,0.526126892789367,0.176808280376259,12.8343786429205,16.2065963810173,0.638047045732453,0.998500866237087,13.5201158069384,0.725180972078594
dev,C2L,0,289,0.466530147107887,0.154798464707222,12.7922559716008,16.1297683940826,-2.18369229072435,1.22505573666219,13.1577918867087,0.743944636678201
dev,C2L,1,262,0.494190782017513,0.165020788691205,13.5322576588758,16.525813499205,-0.997903246595797,1.19518632219696,13.7003384273928,0.736641221374046
dev,C2L,2,298,0.50665986857628,0.166315677020685,13.0558537060173,16.508606391942,1.75532517647767,1.09553427322681,14.4252942357226,0.791946308724832
dev,C2L,3,317,0.494633178017628,0.165147897692138,12.5735161207507,15.8890584371165,1.87279012920547,0.973524076959535,14.4632805029781,0.747634069400631
dev,C2L,0-3,1166,0.490641985994929,0.162852622862825,12.9664343885842,16.2523910545514,0.192301587410844,1.11242834994812,13.9740101769548,0.75557461406518
dev,C2L,4-6,950,0.556023476834506,0.18709462482469,12.9092533009537,16.242582661039,0.345294664784251,0.855200224535263,13.5946147599134,0.715789473684211
dev,C2L,7+,1752,0.530562710333699,0.179521215208911,12.6670284919601,16.0780568814914,1.20236731540321,0.992612214971097,13.1121516234433,0.712899543378995
dev,C2L,all,3868,0.524781987375261,0.176356572101221,12.8167753492527,16.1712395139262,0.687383950116989,0.998445691910764,13.5668435371483,0.726473629782834
dev,NP,0,289,0.6462983108958,0.227299613019782,18.1882434893054,22.7490522809064,-5.57049378449082,1.41053094042231,2.66121025484925,0.598615916955017
dev,NP,1,262,0.581772314118659,0.200370720322421,16.9626075574789,21.0529567094843,-4.89324873453782,1.66125164851435,7.00239698782788,0.66793893129771
dev,NP,2,298,0.579982529346154,0.198744213518186,15.1416224738723,18.9315316827062,0.551654728579991,1.51264778094834,8.86035426546878,0.708053691275168
dev,NP,3,317,0.526126947789186,0.178450059106682,13.3215441610305,17.0644690117285,0.405397931219443,1.25912250351167,10.1320125934856,0.722397476340694
dev,NP,0-3,1166,0.58217975501055,0.200669949616148,15.8110965220663,19.9657038153004,-2.22898766625502,1.38536139521955,7.82989749666106,0.675814751286449
dev,NP,4-6,950,0.576660064106448,0.19533251998369,13.2431064959599,16.6983805460837,0.23660187354168,1.01355654080564,10.6374452771747,0.707368421052632
dev,NP,7+,1752,0.533176143061052,0.180320055505763,12.8302387135952,16.303423268211,0.947031827228833,1.14769904470068,11.1839434415999,0.723744292237443
dev,NP,all,3868,0.558628039784485,0.190141621634703,13.8302140491495,17.5796336742425,-0.184857310673176,1.15640462175248,10.1513728526563,0.705274043433299
dev,I,0,289,0.47487886607969,0.157146907936611,13.3165597552351,16.73282381741,-2.52770370084751,1.27293762813316,12.297559739134,0.764705882352941
dev,I,1,262,0.511168390836753,0.172617519759345,14.241635845199,17.3819295741499,-1.48487421858955,1.28645631254557,12.182844864482,0.736641221374046
dev,I,2,298,0.507644324815951,0.167984240940071,13.4368122614124,16.8739857564567,1.50339762721365,1.20532618921388,12.8992203656759,0.751677852348993
dev,I,3,317,0.499400453090917,0.167647988581546,12.9380509379328,16.2058816039946,1.83458212022264,1.04921305420941,13.0833123849755,0.728706624605678
dev,I,0-3,1166,0.498073810567096,0.166247823971801,13.4522526260126,16.7766750482028,-0.0771598540267141,1.19466691159818,12.6494288574572,0.745283018867925
dev,I,4-6,950,0.565268885941942,0.191570628156176,12.981542542271,16.2209276851795,0.496134261855553,0.935664052702775,12.3156867982186,0.710526315789474
dev,I,7+,1752,0.536700758267114,0.182055245761698,12.6478317079341,16.1311728102655,1.19361350061034,1.0621989961121,12.2201388386237,0.712328767123288
dev,I,all,3868,0.532073224728558,0.179627158757493,12.9722836425514,16.3502689404593,0.639237335066428,1.07506827490352,12.4362573596201,0.72182006204757
dev,D1_C2L,0,289,0.485021604043002,0.159647394918044,12.8106445001125,16.1725392623166,-2.21541121974703,1.20315092196176,13.3194335153967,0.747404844290657
dev,D1_C2L,1,262,0.508598491433562,0.169767722820067,13.8512122081841,16.967929993148,-0.901562256923803,1.01376683755146,15.4727606306481,0.751908396946565
dev,D1_C2L,2,298,0.540794757863572,0.179814352544664,13.9853906367775,17.8978491579258,2.36989384866411,0.806995867824273,18.1065569867124,0.73489932885906
dev,D1_C2L,3,317,0.5240952146651,0.176798584766459,14.0021177982866,17.6593242178191,2.32656651460639,0.695029978226786,18.9701788587694,0.735015772870662
dev,D1_C2L,0-3,1166,0.515196457303775,0.171738481080146,13.6686205925328,17.2096613820698,0.48652384066141,0.869550712363092,16.7089089623501,0.741852487135506
dev,D1_C2L,4-6,950,0.579363382815227,0.196149265657569,14.094344344305,17.7233618271986,0.277549488406865,0.639828258926255,16.9891341349557,0.710526315789474
dev,D1_C2L,7+,1752,0.534543352566738,0.180711911121241,12.878185582229,16.331030713874,1.25275266973399,0.851175913389196,15.136335808828,0.717465753424658
dev,D1_C2L,all,3868,0.539719295911994,0.181798381488768,13.4151550873961,16.947906984819,0.782259950768273,0.801202170825963,16.1591080658526,0.72311271975181
dev,D2_C2L,0,289,0.478115703530446,0.157632703300243,12.7964069302162,16.14259444758,-2.19743216159207,1.2157742007846,13.2299731130862,0.743944636678201
dev,D2_C2L,1,262,0.500857081402306,0.167208816509543,13.5947296222974,16.6568538362787,-0.952853801458452,1.11015166836419,14.5002670239884,0.748091603053435
dev,D2_C2L,2,298,0.519986573365408,0.171848178666148,13.3114263411357,16.9259276689409,2.10315038713694,0.949369321236946,16.1585198780892,0.75503355704698
dev,D2_C2L,3,317,0.506373222385808,0.169970950830613,13.2358101066326,16.5944005939402,2.19397487565664,0.807352197438583,16.9377252465284,0.73186119873817
dev,D2_C2L,0-3,1166,0.50160918010883,0.166771963837982,13.2268761726718,16.5835746031772,0.375234357004922,0.984269589246222,15.3392404710069,0.74442538593482
dev,D2_C2L,4-6,950,0.571756630354754,0.193064916485845,13.6660532853567,17.1802540111782,0.297705962668687,0.693673393048505,16.0476871636226,0.713684210526316
dev,D2_C2L,7+,1752,0.53269261773181,0.180218405449065,12.8519112600037,16.2886678038032,1.25241634963443,0.861324427310601,14.9877626584224,0.718036529680365
dev,D2_C2L,all,3868,0.532916899976743,0.179320172400052,13.1649009219107,16.6003604107766,0.753510178221953,0.855127205194046,15.429357876839,0.724922440537746
dev,D3_C2L,0,289,0.474889792124525,0.156773373301681,12.7933393080029,16.1366282799852,-2.19240515241711,1.21922135865658,13.2040502050284,0.747404844290657
dev,D3_C2L,1,262,0.498399950735985,0.166409242439808,13.5563467267204,16.5940626135295,-0.968510585240729,1.14032465943883,14.2126059595887,0.740458015267176
dev,D3_C2L,2,298,0.51457067718278,0.169696140237961,13.1742115968679,16.719815184336,1.99278330844143,0.999851270109195,15.5380558629213,0.76510067114094
dev,D3_C2L,3,317,0.501064013725312,0.167840784696897,12.9530577370862,16.2805938472736,2.10644072893863,0.85853853307859,16.1199803679569,0.735015772870662
dev,D3_C2L,0-3,1166,0.49742992381493,0.165250175766076,13.1055508241308,16.4292725115342,0.32095735386576,1.02755059731134,14.86438933481,0.746998284734134
dev,D3_C2L,4-6,950,0.566617295209082,0.191116717296881,13.4241797447111,16.8705428622981,0.308782176376047,0.732113512519884,15.41769938928,0.718947368421053
dev,D3_C2L,7+,1752,0.53160436518363,0.179863046359547,12.8147052526102,16.2312283916943,1.24845787218834,0.877429226914973,14.7504792067233,0.719178082191781
dev,D3_C2L,all,3868,0.529901905227134,0.178221986452225,13.0520699640603,16.4499302835406,0.738075887859022,0.885924088151126,15.0201973960032,0.727507755946225
dev,D4_C2L,0,289,0.472995773727958,0.156293243663239,12.7920211062421,16.1343095375982,-2.19006679906077,1.22080938752825,13.1917981473875,0.747404844290657
dev,D4_C2L,1,262,0.497197455041493,0.166021899835643,13.543244951898,16.5700820698276,-0.976098269773433,1.15479859893594,14.0764622362937,0.740458015267176
dev,D4_C2L,2,298,0.512180972031386,0.168727169495314,13.1222623144357,16.6419296382165,1.93471883271202,1.02483776698265,15.2411297904102,0.771812080536913
dev,D4_C2L,3,317,0.498804490990724,0.166919725660217,12.8216299157528,16.1484851950957,2.05451721856432,0.886247302800068,15.7006627192924,0.741324921135647
dev,D4_C2L,0-3,1166,0.495465235967121,0.1645460846651,13.053271981215,16.3674960873846,0.290875745131965,1.04939635830615,14.631231944302,0.750428816466552
dev,D4_C2L,4-6,950,0.56370829152706,0.19001775485192,13.2829061736299,16.6999657354193,0.315547679213049,0.757153109231151,15.0251424822243,0.714736842105263
dev,D4_C2L,7+,1752,0.530888814546912,0.179609413498652,12.78187757918,16.1859601767595,1.24356628950762,0.892637694942789,14.5278931310776,0.719178082191781
dev,D4_C2L,all,3868,0.528271081999628,0.177624946814496,12.9867439280684,16.368211402748,0.728453865898042,0.906382224635609,14.7515943496259,0.727507755946225
dev,D5_C2L,0,289,0.471763436639807,0.155990740838505,12.7915583528828,16.1331192128394,-2.18871725918694,1.22171996685156,13.1846699212541,0.747404844290657
dev,D5_C2L,1,262,0.496497803585763,0.1657969418358,13.5400412987765,16.5579836660087,-0.980576293820349,1.16325754819492,13.997319180043,0.740458015267176
dev,D5_C2L,2,298,0.510860748864526,0.16818127097378,13.0952360362885,16.6033213252691,1.89923472771432,1.03960107636742,15.0682938798931,0.771812080536913
dev,D5_C2L,3,317,0.497616747481684,0.166431225331535,12.7541432266273,16.079175657997,2.02099818204497,0.903381867357217,15.4485807040687,0.744479495268139
dev,D5_C2L,0-3,1166,0.494342255438848,0.164148233313543,13.0271826122791,16.3358512919954,0.272022380515581,1.06242081743502,14.4939011646273,0.751286449399657
dev,D5_C2L,4-6,950,0.56194724454359,0.189350055743644,13.1977152053936,16.5971249745536,0.320160999626536,0.774174876815322,14.7655718250861,0.717894736842105
dev,D5_C2L,7+,1752,0.530432240124669,0.179442088402821,12.7581431996531,16.1542855136754,1.23908398365673,0.90532119232964,14.3439770745803,0.718036529680365
dev,D5_C2L,all,3868,0.527293236002205,0.177265235750205,12.9472055989745,16.3187429186358,0.721873367293943,0.920876568527467,14.5628808173178,0.728024819027921
