bucket,multiplier,dev_ll_all,dev_ll_bucket,base_all,d_all
1,0.25,0.52703891126342,0.525109537266377,0.524781987375261,0.00225692388815957
1,0.5,0.525327535271592,0.502607314263858,0.524781987375261,0.000545547896331322
1,2,0.524985218306021,0.495380403745892,0.524781987375261,0.000203230930760134
1,4,0.525405387497403,0.499687673568312,0.524781987375261,0.000623400122142681
2,0.25,0.528227158842807,0.542931100378414,0.524781987375261,0.0034451714675463
2,0.5,0.525940771269865,0.5186376297401,0.524781987375261,0.00115878389460411
2,2,0.524688618326699,0.506842228681585,0.524781987375261,-9.3369048561498e-05
2,4,0.525151682726056,0.513281921841423,0.524781987375261,0.000369695350795674
3,0.25,0.52643155984048,0.50543173599171,0.524781987375261,0.00164957246521968
3,0.5,0.525274496203579,0.497102139906306,0.524781987375261,0.000492508828317972
3,2,0.525109496165547,0.499414630333995,0.524781987375261,0.000327508790286091
3,4,0.525957713327025,0.508627389544762,0.524781987375261,0.00117572595176418
4,0.25,0.526966524145993,,0.524781987375261,0.00218453677073238
4,0.5,0.525684234434332,,0.524781987375261,0.000902247059071382
4,2,0.524678249461774,,0.524781987375261,-0.000103737913487167
4,4,0.525301362408432,,0.524781987375261,0.000519375033170899
5p,0.25,0.52836703776596,0.543736173116828,0.524781987375261,0.00358505039069923
5p,0.5,0.526138729399386,0.541054830796795,0.524781987375261,0.00135674202412539
5p,2,0.526603974862836,0.542238658995552,0.524781987375261,0.00182198748757534
5p,4,0.533409839304599,0.551889798987008,0.524781987375261,0.00862785192933801
