gp,arm,w
0,C2L,0.992318748356948
1,C2L,0.782854908204278
2,C2L,0.63437544612454
3,C2L,0.527630682796165
4,C2L,0.447379452228042
5,C2L,0.390253790800738
6,C2L,0.237304227264779
0,D1_C2L,0.992318748356948
1,D1_C2L,0.684101806517017
2,D1_C2L,0.351868563401365
3,D1_C2L,0.146497747569406
4,D1_C2L,0.0563553504998003
5,D1_C2L,0.0222084104208929
6,D1_C2L,0.0013614256607526
0,D2_C2L,0.992318748356948
1,D2_C2L,0.735042446210637
2,D2_C2L,0.491762941177287
3,D2_C2L,0.306692964659798
4,D2_C2L,0.18370565358175
5,D2_C2L,0.110430988864508
6,D2_C2L,0.0160058177480026
0,D3_C2L,0.992318748356948
1,D3_C2L,0.751403063746928
2,D3_C2L,0.53999944764765
3,D3_C2L,0.376149860480433
4,D3_C2L,0.257240755089692
5,D3_C2L,0.177650280715041
6,D3_C2L,0.03891319851334
0,D4_C2L,0.992318748356948
1,D4_C2L,0.759434991155011
2,D4_C2L,0.563998885266428
3,D4_C2L,0.41297783913078
4,D4_C2L,0.300111194165372
5,D4_C2L,0.221271802582368
6,D4_C2L,0.0614553515159316
0,D5_C2L,0.992318748356948
1,D5_C2L,0.76420267323217
2,D5_C2L,0.578305162573607
3,D5_C2L,0.435556122037642
4,D5_C2L,0.327583106959874
5,D5_C2L,0.25072789649033
6,D5_C2L,0.0810235579580107
