split,arm,gp,ll,mae
dev,C2L,all,0.524781986896825,12.8167753492527
cond,C2L,all,0.52951680714832,12.2679998774215
dev,C2L,0,0.466530146258027,12.7922559716008
dev,C2L,1,0.494190781516512,13.5322576588758
dev,C2L,2,0.506659864746518,13.0558537060173
dev,C2L,3,0.494633176742184,12.5735161207507
dev,C2L,4-6,0.55602347867089,12.9092533009537
dev,C2L,7+,0.530562709378963,12.6670284919601
cond,C2L,0,0.462008214028194,12.85541446124
cond,C2L,1,0.470827379995491,12.6613338425041
cond,C2L,2,0.44995794466744,11.7535490178876
cond,C2L,3,0.496665442739488,11.671400681403
cond,C2L,4-6,0.55955081386415,12.309259785225
cond,C2L,7+,0.550674429400463,12.2858268253359
dev,S120,all,0.524393249482928,12.800324789608
cond,S120,all,0.530523547297935,12.3497895586827
dev,S120,0,0.461640123824137,12.3979781168307
dev,S120,1,0.493443537629338,13.3345521635104
dev,S120,2,0.504445713791559,13.0377238625151
dev,S120,3,0.495027969919256,12.613309110598
dev,S120,4-6,0.554608745894867,12.9631791424642
dev,S120,7+,0.531695141884412,12.691956084001
cond,S120,0,0.460110074123802,12.9694334552261
cond,S120,1,0.475039388582093,12.9833903739228
cond,S120,2,0.452194425069084,11.7965859790428
cond,S120,3,0.496702695846069,11.8026881248236
cond,S120,4-6,0.560291213621682,12.3763383196062
cond,S120,7+,0.551777432323296,12.3352400669396
dev,P_S120_D3,all,0.52814514341816,13.0167552233219
cond,P_S120_D3,all,0.532440401113148,12.5250974035076
dev,P_S120_D3,0,0.465986113877647,12.4030317847373
dev,P_S120_D3,1,0.495651425184166,13.3943859161192
dev,P_S120_D3,2,0.510669317790928,13.1798584926148
dev,P_S120_D3,3,0.4995396279553,12.9734492223552
dev,P_S120_D3,4-6,0.56448271955498,13.4348885267073
dev,P_S120_D3,7+,0.531702426993033,12.8148850304448
cond,P_S120_D3,0,0.461595290241215,12.9800220669436
cond,P_S120_D3,1,0.470677155010217,13.0362161304775
cond,P_S120_D3,2,0.452627737235324,11.8020422377102
cond,P_S120_D3,3,0.497575360271937,12.0633268085162
cond,P_S120_D3,4-6,0.5664033385209,12.7386056650317
cond,P_S120_D3,7+,0.552830348718851,12.467592233684
dev,P_S120_D5,all,0.525763664267041,12.9151961514603
cond,P_S120_D5,all,0.5308152111862,12.4310005891153
dev,P_S120_D5,0,0.464149926070715,12.4000825175891
dev,P_S120_D5,1,0.494475029025342,13.367705713333
dev,P_S120_D5,2,0.507537429525835,13.1054333131185
dev,P_S120_D5,3,0.496599218882981,12.7740576405581
dev,P_S120_D5,4-6,0.559814426841815,13.2170165677242
dev,P_S120_D5,7+,0.530519552089903,12.7620175974132
cond,P_S120_D5,0,0.460718311950281,12.9754909097367
cond,P_S120_D5,1,0.471945430442559,12.9957094142027
cond,P_S120_D5,2,0.451733857641237,11.7851227686046
cond,P_S120_D5,3,0.496287490423672,11.9303904985225
cond,P_S120_D5,4-6,0.563008407246286,12.5486335110632
cond,P_S120_D5,7+,0.551448874205284,12.3968513426075
dev,P_S110_D5,all,0.526401241234267,12.9248346937758
cond,P_S110_D5,all,0.530880582062369,12.3957765485424
dev,P_S110_D5,0,0.467316960139038,12.559111202824
dev,P_S110_D5,1,0.495127406738943,13.4318427577502
dev,P_S110_D5,2,0.508931283059598,13.0829484375165
dev,P_S110_D5,3,0.496983593855332,12.7624189526038
dev,P_S110_D5,4-6,0.5608347401171,13.2054921492646
dev,P_S110_D5,7+,0.530447314117132,12.7596527803774
cond,P_S110_D5,0,0.462143824097707,12.8724337496525
cond,P_S110_D5,1,0.470267057067017,12.8175322622487
cond,P_S110_D5,2,0.451401726725553,11.7336938568231
cond,P_S110_D5,3,0.496845608732965,11.8787848447888
cond,P_S110_D5,4-6,0.563316768360306,12.5298697116646
cond,P_S110_D5,7+,0.551404437323054,12.3885484106747
dev,P_G0_110,all,0.524478736567181,12.7985248063104
cond,P_G0_110,all,0.529579151604396,12.2710597406415
dev,P_G0_110,0,0.462812750575233,12.547989189245
dev,P_G0_110,1,0.494198094940091,13.5322576588758
dev,P_G0_110,2,0.506583646590175,13.0558537060173
dev,P_G0_110,3,0.494655489660039,12.5735161207507
dev,P_G0_110,4-6,0.555883250871096,12.9092533009537
dev,P_G0_110,7+,0.530590275124238,12.6670284919601
cond,P_G0_110,0,0.462590140592851,12.8985765318369
cond,P_G0_110,1,0.470780288751801,12.6613338425041
cond,P_G0_110,2,0.450075984014433,11.7535490178876
cond,P_G0_110,3,0.496816952210381,11.671400681403
cond,P_G0_110,4-6,0.559514849623734,12.309259785225
cond,P_G0_110,7+,0.550700770551569,12.2858268253359
dev,P_G0_120,all,0.5243019492992,12.7854768314438
cond,P_G0_120,all,0.529769510879749,12.2802083907217
dev,P_G0_120,0,0.460738220890225,12.3733540100613
dev,P_G0_120,1,0.494214471927426,13.5322576588758
dev,P_G0_120,2,0.506508865982216,13.0558537060173
dev,P_G0_120,3,0.494688932220709,12.5735161207507
dev,P_G0_120,4-6,0.555734431788877,12.9092533009537
dev,P_G0_120,7+,0.530627088259673,12.6670284919601
cond,P_G0_120,0,0.464880799782781,13.0276263135568
cond,P_G0_120,1,0.470734802725356,12.6613338425041
cond,P_G0_120,2,0.450212310342336,11.7535490178876
cond,P_G0_120,3,0.496989145636199,11.671400681403
cond,P_G0_120,4-6,0.559480162263314,12.309259785225
cond,P_G0_120,7+,0.550734563665255,12.2858268253359
dev,P_G0_130,all,0.524239663962828,12.7805649495651
cond,P_G0_130,all,0.530072871111246,12.2959459719723
dev,P_G0_130,0,0.460123519485912,12.3076129750906
dev,P_G0_130,1,0.494241342999303,13.5322576588758
dev,P_G0_130,2,0.506438353800624,13.0558537060173
dev,P_G0_130,3,0.494734546415793,12.5735161207507
dev,P_G0_130,4-6,0.555580996437487,12.9092533009537
dev,P_G0_130,7+,0.530673894948041,12.6670284919601
cond,P_G0_130,0,0.468656832454934,13.2496187831983
cond,P_G0_130,1,0.470693458036144,12.6613338425041
cond,P_G0_130,2,0.450366347766906,11.7535490178876
cond,P_G0_130,3,0.497180552966667,11.671400681403
cond,P_G0_130,4-6,0.559448684123019,12.309259785225
cond,P_G0_130,7+,0.550776538142998,12.2858268253359
