level,n,C2L,NP,D1_C2L,D2_C2L,D3_C2L,D4_C2L,D5_C2L,slice
P4-P4,358,0.552111035893985,0.610850922517142,0.578045553923353,0.562709699325981,0.55824422663398,0.556275112957611,0.555203593212822,matchup
G5-G5,291,0.57001582881723,0.628825654768868,0.594364617650674,0.579370994577721,0.575058268828259,0.573248018365928,0.572311462885696,matchup
P4-G5,390,0.397208099707576,0.52281181436518,0.418577114066634,0.408212375872571,0.404686135520853,0.402817589014522,0.401661952621982,matchup
with independents,127,0.422417635813166,0.576788117645697,0.453335296766206,0.438003508943109,0.432931566543994,0.430330249123542,0.428735324796816,matchup
both returning,799,0.490932449440846,0.586861924426318,0.518497642578142,0.503862264327029,0.499152813936748,0.496878436664584,0.4955531028837,coach
a new head coach,367,0.490009614623573,0.571986149116274,0.508009408164214,0.496703964058854,0.493678999544268,0.492388540170737,0.49170610527962,coach
high continuity,560,0.510337125920223,0.599427584273582,0.535151940494761,0.521456612238359,0.517138801086645,0.515126806541938,0.513990324866784,continuity
low continuity,581,0.472348724639322,0.569113430232682,0.499782457224705,0.485082405590207,0.480491507151764,0.478268449405497,0.476965242495088,continuity
,25,0.474606245572631,0.499489767356276,0.426414995663272,0.441108940220182,0.449599876180486,0.454699374783382,0.458067281066056,continuity
other,1058,0.523250656114184,0.600695815618512,0.548779405267803,0.534571183882785,0.530257001412276,0.52824108313973,0.527089737075435,fav
large preseason favourite (>= 21),108,0.171197791678522,0.400790939054771,0.186207948545058,0.178703624619529,0.175846145129815,0.174383325702119,0.173538222369314,fav
all,226,0.249638273753249,0.341831063017963,0.24131789151766,0.240599164657264,0.241400134995686,0.242350237412903,0.243199604021816,FBS-vs-FCS first games
