split,gpb,team_cutoffs,own_prior_weight_power,p10,p90,own_weight_off,own_weight_def,prior_variance_share,lam_off,lam_def
cond,0,439,0.992557545665789,0.992481203007519,0.992647058823529,1,1,0.999897839859893,4.01701431502789,3.99993808901243
cond,1,406,0.804313120433486,0.791157194275109,0.818324486757455,0.812223681467675,0.813119036364295,0.752035492576019,3.99950061166967,4.0029210431756
cond,2,436,0.664956270114772,0.649528142246093,0.679347802133913,0.672933410851614,0.672764872929831,0.576730667112335,4.01800886527235,3.99968400713848
cond,3,446,0.561006590432629,0.545432275522499,0.575730620794585,0.568781625271778,0.569178181237246,0.478964355505846,4.01023877095521,4.00091673993115
cond,4,470,0.482752415302894,0.468072453507341,0.497001757044653,0.490925029361729,0.490369514826377,0.413737183857155,4.02071877752423,3.99957902040284
cond,5,528,0.422116089364353,0.408043286382264,0.435959795930434,0.43014648057465,0.4297634209315,0.385388893650519,4.0182226497591,4.00060327127235
cond,6+,5605,0.261393213521897,0.211196359029969,0.345484112650941,0.266934340745169,0.266588863920026,0.309316503323944,4.01541420067784,4.00047582917922
dev,0,717,0.992318748356948,0.992307692307692,0.99236641221374,1,1,0.999886470004746,3.62540280970185,3.61268503840749
dev,1,683,0.782854908204278,0.743322160581683,0.814178791890563,0.791514461098223,0.79159711887663,0.652464311479927,3.62522969869575,3.62120987800056
dev,2,702,0.63437544612454,0.573733128829879,0.678399101212857,0.641828441569822,0.643306402141127,0.496819913423168,3.61573967084674,3.63087967854921
dev,3,707,0.527630682796165,0.459248133080904,0.579403061839907,0.536513148863273,0.53518924464446,0.381076242873395,3.64110723876736,3.61403337022678
dev,4,728,0.447379452228042,0.379062511860234,0.499101633576956,0.455123137656043,0.455737922670924,0.324035583479479,3.61831653968299,3.62338246249415
dev,5,765,0.390253790800738,0.320645542789412,0.437339931160131,0.398822099412123,0.39752675147621,0.290877543414076,3.66100748757045,3.63510577271296
dev,6+,8848,0.237304227264779,0.162879175427786,0.325163662661017,0.242239317965648,0.242231924110387,0.207801053202855,3.63857789166396,3.63517421729758
