split,bucket,n,mean_pred_net,mean_actual_net,ratio,set
cond,0-7,41,3.6005487195648,7.43233759131448,2.0642235865129,both gp = 0
cond,7-14,42,10.4796257228205,11.7185124698019,1.11821860625076,both gp = 0
cond,14-21,23,17.5366809713952,15.0916949583763,0.860578748224532,both gp = 0
cond,21-28,15,23.9364320701993,29.0209735406489,1.21241851983362,both gp = 0
cond,28+,11,32.8492231562213,36.5802857089782,1.11358145472765,both gp = 0
dev,0-7,94,3.21202365132776,6.16056510512415,1.91797003193845,both gp = 0
dev,7-14,60,10.4384101489959,15.5176349533422,1.48658988599283,both gp = 0
dev,14-21,51,17.1965661909382,21.9658501141691,1.27733931706344,both gp = 0
dev,21-28,17,23.4451567987015,35.1357515243252,1.498635808922,both gp = 0
dev,28+,6,32.6937929499616,33.9273521812563,1.03773068585779,both gp = 0
cond,0-7,56,3.62336620291136,4.25,1.17294244136437,min gp = 0
cond,7-14,54,10.4720369321889,11.6463586106588,1.11213880222866,min gp = 0
cond,14-21,29,17.7672674868621,16.4567608076106,0.92624039232704,min gp = 0
cond,21-28,19,24.0607964102813,30.7916023344014,1.27974160993458,min gp = 0
cond,28+,12,32.6693808450784,37.0262169258111,1.13336145246809,min gp = 0
dev,0-7,123,3.15246025135602,5.51002983312318,1.74785069240859,min gp = 0
dev,7-14,74,10.3043805253031,14.1954538741649,1.37761351488398,min gp = 0
dev,14-21,62,17.1630036695986,20.0724470959105,1.1695183128968,min gp = 0
dev,21-28,20,23.5345426097386,35.1174053195933,1.49216434336233,min gp = 0
dev,28+,10,33.6653073736365,36.2667764951341,1.07727448000474,min gp = 0
cond,0-7,196,3.21662836434247,3.52516051179068,1.09591787191471,gp 1-3
cond,7-14,138,10.5300631871324,8.95026869114531,0.849972932933818,gp 1-3
cond,14-21,90,16.8970921238915,16.920074777235,1.00136015434934,gp 1-3
cond,21-28,50,24.0760907715514,24.2553257119504,1.00744452004687,gp 1-3
cond,28+,50,34.0928100391509,33.9879098363398,0.996923098955743,gp 1-3
dev,0-7,323,3.55890347525625,6.02819586900505,1.69383516887066,gp 1-3
dev,7-14,263,10.2436638833976,8.83129541207148,0.862122724114834,gp 1-3
dev,14-21,157,16.9796705586983,20.2988944650006,1.19548223240421,gp 1-3
dev,21-28,82,23.894965591862,23.9828094768527,1.00367625074215,gp 1-3
dev,28+,52,33.6581707528273,35.696698553795,1.06056561468946,gp 1-3
cond,0-7,781,3.25496451925252,3.547050017184,1.08973538611676,gp 4+
cond,7-14,535,10.2117058298439,9.56325738027128,0.936499497696304,gp 4+
cond,14-21,245,16.9438942546853,15.39116255219,0.908360399377144,gp 4+
cond,21-28,96,24.0039795123285,23.8739933851622,0.994584809277168,gp 4+
cond,28+,47,33.8535768518654,32.8049962826925,0.969026003551671,gp 4+
dev,0-7,1131,3.3215759087221,2.62490633668225,0.790259325336968,gp 4+
dev,7-14,812,10.2632879046464,9.57093997599119,0.932541312775437,gp 4+
dev,14-21,460,17.1242127584709,16.2954626869668,0.951603610443693,gp 4+
dev,21-28,210,24.1209982218481,24.2531749447503,1.00547973685361,gp 4+
dev,28+,89,34.5580608095573,30.1459800259183,0.872328461716845,gp 4+
