source,metric,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
draft,college_athlete_id_present_share,,,,,,,,,,,,,,,0.988,0.98,0.98,0.988,0.992,1,1,0.996,1,1,0.996,1,1
draft,picks,,,,,,,,,,,,,,,256,256,253,253,256,254,255,259,262,259,257,257,257
havoc_game_api,team_game_rows,,,,,,,,,,,,,,,558,,,,,1774,,,,,,2250,
player_stats_defensive,fbs_team_share,,,,,,,,,,,,,,,,,1,1,1,1,0.992,1,1,1,1,1,1
player_stats_defensive,player_id_present_share,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1
player_stats_defensive,rows,,,,,,,,,,,,,,,,,50365,53564,53809,53970,39158,56602,58226,56917,58093,61159,64127
player_stats_passing,fbs_team_share,,,,,,,,,,,,,,,1,1,1,1,1,1,0.992,1,1,1,1,1,1
player_stats_passing,player_id_present_share,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
player_stats_passing,rows,,,,,,,,,,,,,,,4403,4613,4725,4690,5369,4998,3269,4809,7399,7077,7273,7658,4851
polls,ap_teams_listed_first_week,,,,,,,,,,,,,,,25,25,25,25,25,25,25,25,25,25,25,25,25
polls,coaches_teams_listed_first_week,,,,,,,,,,,,,,,50,76,75,75,75,100,25,75,75,75,100,100,100
polls,first_regular_week,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
recruiting_team_classes,teams,90,95,119,118,120,118,121,116,118,118,124,137,183,210,231,231,238,233,229,223,206,191,184,177,194,232,221
recruits,athlete_id_present_share,,,,,,,,,,,0.721,0.629,0.644,0.53,0.473,0.367,0.372,0.327,0.475,0.595,0.592,0.669,0.69,0.641,0.63,0.79,0.687
recruits,qb_recruits,,,,,,,,,,,152,158,199,227,268,213,310,304,284,294,294,205,321,278,263,292,255
recruits,rating_present_share,,,,,,,,,,,1,1,1,1,1,1,0.897,0.908,0.895,0.917,0.894,0.811,0.851,0.832,0.872,0.884,0.856
recruits,recruits,,,,,,,,,,,2445,2682,3086,3430,3772,3516,4452,4710,4348,4455,4413,3364,3955,4166,4236,4120,3987
returning_cfbd_api,fbs_team_share,,,,,,,,,,,,,,,0.977,0.992,1,0.985,0.992,1,1,0.985,0.992,0.985,0.993,0.985,0.986
returning_cfbd_api,passing_ppa_share_present,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
roster,class_year_present_share,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
roster,fbs_team_share,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
roster,id_present_share,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
roster,players,,,,,,,,,,,,,,,14810,15010,14714,14757,14511,15558,15989,15129,15548,15918,16221,15599,15793
roster,recruit_ids_present_share,,,,,,,,,,,,,,,0.481,0.446,0.428,0.389,0.357,0.398,0.489,0.573,0.596,0.627,0.64,0.671,0.677
