tag,status,remaining_after,bytes
info_start_20260924T1645,200,2506,288
roster_year2014_classificationfbs,200,2505,4456654
roster_year2015_classificationfbs,200,2504,4509328
roster_year2016_classificationfbs,200,2503,4408525
roster_year2017_classificationfbs,200,2502,4406518
roster_year2018_classificationfbs,200,2501,4317872
roster_year2019_classificationfbs,200,2500,4629234
roster_year2020_classificationfbs,200,2499,4762422
roster_year2021_classificationfbs,200,2498,4514437
roster_year2022_classificationfbs,200,2497,4642280
roster_year2023_classificationfbs,200,2496,4755683
roster_year2024_classificationfbs,200,2495,4845801
roster_year2025_classificationfbs,200,2494,4663471
roster_year2026_classificationfbs,200,2493,4725185
stats_player_season_year2014_categorypassing,200,2492,757928
stats_player_season_year2014_categorydefensive,200,2491,2
stats_player_season_year2015_categorypassing,200,2490,794721
stats_player_season_year2015_categorydefensive,200,2489,2
stats_player_season_year2016_categorypassing,200,2488,816333
stats_player_season_year2016_categorydefensive,200,2487,8747188
stats_player_season_year2017_categorypassing,200,2486,812585
stats_player_season_year2017_categorydefensive,200,2485,9317663
stats_player_season_year2018_categorypassing,200,2484,931318
stats_player_season_year2018_categorydefensive,200,2483,9369368
stats_player_season_year2019_categorypassing,200,2482,865496
stats_player_season_year2019_categorydefensive,200,2481,9402818
stats_player_season_year2020_categorypassing,200,2480,566489
stats_player_season_year2020_categorydefensive,200,2479,6814141
stats_player_season_year2021_categorypassing,200,2478,834566
stats_player_season_year2021_categorydefensive,200,2477,9857133
stats_player_season_year2022_categorypassing,200,2476,1282720
stats_player_season_year2022_categorydefensive,200,2475,10152451
stats_player_season_year2023_categorypassing,200,2474,1230202
stats_player_season_year2023_categorydefensive,200,2473,9935274
stats_player_season_year2024_categorypassing,200,2472,1263389
stats_player_season_year2024_categorydefensive,200,2471,10141598
stats_player_season_year2025_categorypassing,200,2470,1333607
stats_player_season_year2025_categorydefensive,200,2469,10683034
stats_player_season_year2026_categorypassing,200,2468,842221
stats_player_season_year2026_categorydefensive,200,2467,11166777
player_returning_all,400,2467,161
player_returning_year2014,200,2466,40488
player_returning_year2015,200,2465,41525
player_returning_year2016,200,2464,41508
player_returning_year2017,200,2463,41512
player_returning_year2018,200,2462,42190
player_returning_year2019,200,2461,42211
player_returning_year2020,200,2460,42121
player_returning_year2021,200,2459,41263
player_returning_year2022,200,2458,42219
player_returning_year2023,200,2457,42561
player_returning_year2024,200,2456,43169
player_returning_year2025,200,2455,43349
player_returning_year2026,200,2454,43892
recruiting_players_year2010,200,2453,896684
recruiting_players_year2011,200,2452,981445
recruiting_players_year2012,200,2451,1129686
recruiting_players_year2013,200,2450,1251572
recruiting_players_year2014,200,2449,1376497
recruiting_players_year2015,200,2448,1282318
recruiting_players_year2016,200,2447,1632513
recruiting_players_year2017,200,2446,1725710
recruiting_players_year2018,200,2445,1596230
recruiting_players_year2019,200,2444,1635360
recruiting_players_year2020,200,2443,1620571
recruiting_players_year2021,200,2442,1241319
recruiting_players_year2022,200,2441,1451921
recruiting_players_year2023,200,2440,1529350
recruiting_players_year2024,200,2439,1555258
recruiting_players_year2025,200,2438,1518129
recruiting_players_year2026,200,2437,1469539
recruiting_teams_all,200,2436,272767
draft_picks_all,200,2435,6114941
coaches_tenures_all,400,2435,95
coaches_seasons_2013_2026,400,2435,102
rankings_year2014,200,2434,190117
rankings_year2015,200,2433,166768
rankings_year2016,200,2432,169765
rankings_year2017,200,2431,170097
rankings_year2018,200,2430,170280
rankings_year2019,200,2429,181137
rankings_year2020,200,2428,95996
rankings_year2021,200,2427,147469
rankings_year2022,200,2426,208384
rankings_year2023,200,2425,202865
rankings_year2024,200,2424,217218
rankings_year2025,200,2423,219313
rankings_year2026,200,2422,53923
talent_year2024,200,2421,6606
player_portal_year2024,200,2420,719252
talent_year2025,200,2419,6627
player_portal_year2025,200,2418,963846
talent_year2026,200,2417,6832
player_portal_year2026,200,2416,953970
stats_game_havoc_year2014,200,2415,291131
stats_game_havoc_year2019,200,2414,976857
stats_game_havoc_year2025,200,2413,1237610
ratings_sp_all,400,2413,161
ratings_fpi_all,400,2413,161
info_end_20260924T1650,200,2413,288
