source,metric,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
cfbd_advanced_game_r5,team_game_rows,,,1726,1714,1738,1762,1774,1138,1774,2918,2984,3212,3316,
cfp_final_top25,rows,,,,,,25,25,25,25,25,25,25,25,
coaches,fbs_share_with_hire_date,,0.969,0.977,0.984,0.977,0.977,0.992,1,1,1,1,1,1,1
coaches,fbs_share_with_row,,1,1,1,1,1,1,1,1,1,1,1,1,1
coaches,fbs_teams_with_2plus_coaches,,4,4,6,9,9,4,6,22,15,10,18,25,0
drives_raw,fbs_vs_fbs_games_share,1,0.982,0.991,0.983,0.995,0.997,0.999,1,1,1,1,1,1,
drives_raw,start_yards_to_goal_finite_share,1,1,1,1,1,1,1,1,1,1,1,1,1,
game_types,fbs_conference_games,494,515,520,524,533,530,531,450,528,532,548,543,563,5
game_types,fbs_nonconference_games,243,245,245,236,243,242,243,84,242,244,244,255,245,46
game_types,fbs_vs_fcs_games_per_fbs_team,0.888,0.844,0.82,0.883,0.754,0.862,0.877,0.281,0.9,0.916,0.887,0.903,0.926,0.348
game_types,median_fbs_games_per_team,12,12,12,12,12,12,12,9,12,12,12,12,12,1
game_types,nonconference_share_before_oct1,0.667,0.669,0.629,0.636,0.663,0.661,0.654,0.345,0.636,0.66,0.689,0.647,0.678,1
game_types,p4_vs_g5_games,0,113,116,93,101,98,99,15,83,86,99,109,110,28
incumbent_pred_round4_cond,games,,,,,,,,,,,792,798,808,
incumbent_pred_round4_dev,games,,,,,,,774,,770,776,,,,
market_lines_closing,games,,,,,,,,,,,860,825,928,
plays_live_2026,frozen_fbs_vs_fbs_final_games_share,,,,,,,,,,,,,,0.157
plays_live_2026,rows,,,,,,,,,,,,,,87647
plays_raw,dropbacks_passer_name_parsed_share,0.999,0.99,0.99,0.99,0.992,0.995,0.995,0.984,0.982,0.978,0.981,0.977,0.568,
plays_raw,dropbacks_passer_parsed_either_format_share,0.999,0.99,0.99,0.99,0.992,0.995,0.995,0.984,0.982,0.978,0.981,0.977,0.99,
plays_raw,fbs_vs_fbs_games_share,1,0.982,0.991,0.983,0.995,0.997,0.999,1,1,1,1,1,1,
plays_raw,fbs_vs_fcs_games_share,1,0.972,1,0.973,0.99,0.991,1,0.944,1,1,1,1,1,
plays_raw,scrimmage_plays,117778,121336,122449,121408,121078,122909,122084,78944,119851,121076,119637,120725,123910,
plays_raw,vendor_ppa_finite_share,0.951,0.998,0.999,0.999,0.998,0.999,0.999,0.998,0.998,0.998,0.998,0.996,0.999,
portal,destination_known_share,,,,,,,,,0.595,0.601,0.642,0.786,0.838,0.781
portal,entries_after_aug1_share,,,,,,,,,0,0.004,0,0,0.003,0.005
portal,events,,0,0,0,0,0,0,0,1770,2273,2502,3378,4499,4470
portal,qb_events,,,,,,,,,130,192,188,251,310,267
portal,rating_known_share,,,,,,,,,0.182,0.459,0.356,0.548,0.558,0.647
portal,stars_known_share,,,,,,,,,0.878,0.893,0.972,0.887,0.848,0.868
portal,transfer_date_known_share,,,,,,,,,1,1,1,1,1,1
returning_prod,def_fbs_share,,0,0,0,0.562,0.446,0.323,0.352,0.362,0.855,0.571,1,0.993,1
returning_prod,is_estimated_true_rows,,0,0,0,0,0,0,0,0,0,0,0,0,0
returning_prod,off_fbs_share,,1,0.992,1,0.985,1,1,1,0.985,0.992,1,1,1,1
round13_K_and_round6_incumbent_cond,games,,,,,,,,,,,792,798,808,
round13_K_and_round6_incumbent_dev,games,,,,,,772,774,,770,776,,,,
round4_feature_bundle,blue_chip_ratio_nonmissing_share,,,0.977,0.977,0.992,0.977,0.992,0.992,0.992,0.992,0.992,0.993,0.993,0.993
round4_feature_bundle,def_returning_nonmissing_share,,,0,0,0.562,0.446,0.323,0.352,0.362,0.855,0.571,1,0.993,1
round4_feature_bundle,log_recruits_nonmissing_share,,,0.977,0.977,0.992,0.977,0.992,0.992,0.992,0.992,0.992,0.993,0.993,0.993
round4_feature_bundle,log_talent_nonmissing_share,,,0.977,0.977,0.992,0.977,0.992,0.992,0.992,0.992,0.992,0.993,0.993,0.993
round4_feature_bundle,log_tenure_nonmissing_share,,,0.969,0.984,0.969,0.962,0.977,0.984,0.992,0.992,1,0.97,0.993,1
round4_feature_bundle,new_coach_nonmissing_share,,,0.969,0.984,0.969,0.962,0.977,0.984,0.992,0.992,1,0.97,0.993,1
round4_feature_bundle,off_returning_nonmissing_share,,,0.992,1,0.985,1,1,1,0.985,0.992,1,1,1,1
schedule,fbs_teams,125,128,128,128,130,130,130,128,130,131,133,134,136,138
schedule,fbs_vs_fbs_final,737,760,765,760,776,772,774,534,770,776,792,798,808,51
schedule,fbs_vs_fcs_final,111,108,105,113,98,112,114,36,117,120,118,121,126,48
schedule,last_kickoff_in_file,20140107,20150113,20160112,20170110,20180109,20190108,20200114,20210307,20220111,20230110,20240109,20250121,20260120,20261212
talent_composite,fbs_share,,0.992,0.977,0.977,0.992,0.977,0.992,0.992,0.992,0.992,0.992,0.993,0.993,0.993
talent_composite,fcs_opponents_share,,0.975,0.95,0.955,0.976,0.955,0.977,1,0.969,0.969,0.969,0.969,0.968,0.97
talent_composite,non_fbs_rows,,154,168,178,181,172,178,178,179,178,177,184,185,175
