source,season,metric,value
schedule,2013,fbs_teams,125
schedule,2013,fbs_vs_fbs_final,737
schedule,2013,fbs_vs_fcs_final,111
schedule,2013,last_kickoff_in_file,16077
schedule,2014,fbs_teams,128
schedule,2014,fbs_vs_fbs_final,760
schedule,2014,fbs_vs_fcs_final,108
schedule,2014,last_kickoff_in_file,16448
schedule,2015,fbs_teams,128
schedule,2015,fbs_vs_fbs_final,765
schedule,2015,fbs_vs_fcs_final,105
schedule,2015,last_kickoff_in_file,16812
schedule,2016,fbs_teams,128
schedule,2016,fbs_vs_fbs_final,760
schedule,2016,fbs_vs_fcs_final,113
schedule,2016,last_kickoff_in_file,17176
schedule,2017,fbs_teams,130
schedule,2017,fbs_vs_fbs_final,776
schedule,2017,fbs_vs_fcs_final,98
schedule,2017,last_kickoff_in_file,17540
schedule,2018,fbs_teams,130
schedule,2018,fbs_vs_fbs_final,772
schedule,2018,fbs_vs_fcs_final,112
schedule,2018,last_kickoff_in_file,17904
schedule,2019,fbs_teams,130
schedule,2019,fbs_vs_fbs_final,774
schedule,2019,fbs_vs_fcs_final,114
schedule,2019,last_kickoff_in_file,18275
schedule,2020,fbs_teams,128
schedule,2020,fbs_vs_fbs_final,534
schedule,2020,fbs_vs_fcs_final,36
schedule,2020,last_kickoff_in_file,18693
schedule,2021,fbs_teams,130
schedule,2021,fbs_vs_fbs_final,770
schedule,2021,fbs_vs_fcs_final,117
schedule,2021,last_kickoff_in_file,19003
schedule,2022,fbs_teams,131
schedule,2022,fbs_vs_fbs_final,776
schedule,2022,fbs_vs_fcs_final,120
schedule,2022,last_kickoff_in_file,19367
schedule,2023,fbs_teams,133
schedule,2023,fbs_vs_fbs_final,792
schedule,2023,fbs_vs_fcs_final,118
schedule,2023,last_kickoff_in_file,19731
schedule,2024,fbs_teams,134
schedule,2024,fbs_vs_fbs_final,798
schedule,2024,fbs_vs_fcs_final,121
schedule,2024,last_kickoff_in_file,20109
schedule,2025,fbs_teams,136
schedule,2025,fbs_vs_fbs_final,808
schedule,2025,fbs_vs_fcs_final,126
schedule,2025,last_kickoff_in_file,20473
schedule,2026,fbs_teams,138
schedule,2026,fbs_vs_fbs_final,51
schedule,2026,fbs_vs_fcs_final,48
schedule,2026,last_kickoff_in_file,20799
game_types,2013,fbs_conference_games,494
game_types,2013,fbs_nonconference_games,243
game_types,2013,nonconference_share_before_oct1,0.666666666666667
game_types,2013,p4_vs_g5_games,0
game_types,2013,median_fbs_games_per_team,12
game_types,2013,fbs_vs_fcs_games_per_fbs_team,0.888
game_types,2014,fbs_conference_games,515
game_types,2014,fbs_nonconference_games,245
game_types,2014,nonconference_share_before_oct1,0.669387755102041
game_types,2014,p4_vs_g5_games,113
game_types,2014,median_fbs_games_per_team,12
game_types,2014,fbs_vs_fcs_games_per_fbs_team,0.84375
game_types,2015,fbs_conference_games,520
game_types,2015,fbs_nonconference_games,245
game_types,2015,nonconference_share_before_oct1,0.628571428571429
game_types,2015,p4_vs_g5_games,116
game_types,2015,median_fbs_games_per_team,12
game_types,2015,fbs_vs_fcs_games_per_fbs_team,0.8203125
game_types,2016,fbs_conference_games,524
game_types,2016,fbs_nonconference_games,236
game_types,2016,nonconference_share_before_oct1,0.635593220338983
game_types,2016,p4_vs_g5_games,93
game_types,2016,median_fbs_games_per_team,12
game_types,2016,fbs_vs_fcs_games_per_fbs_team,0.8828125
game_types,2017,fbs_conference_games,533
game_types,2017,fbs_nonconference_games,243
game_types,2017,nonconference_share_before_oct1,0.662551440329218
game_types,2017,p4_vs_g5_games,101
game_types,2017,median_fbs_games_per_team,12
game_types,2017,fbs_vs_fcs_games_per_fbs_team,0.753846153846154
game_types,2018,fbs_conference_games,530
game_types,2018,fbs_nonconference_games,242
game_types,2018,nonconference_share_before_oct1,0.661157024793388
game_types,2018,p4_vs_g5_games,98
game_types,2018,median_fbs_games_per_team,12
game_types,2018,fbs_vs_fcs_games_per_fbs_team,0.861538461538462
game_types,2019,fbs_conference_games,531
game_types,2019,fbs_nonconference_games,243
game_types,2019,nonconference_share_before_oct1,0.654320987654321
game_types,2019,p4_vs_g5_games,99
game_types,2019,median_fbs_games_per_team,12
game_types,2019,fbs_vs_fcs_games_per_fbs_team,0.876923076923077
game_types,2020,fbs_conference_games,450
game_types,2020,fbs_nonconference_games,84
game_types,2020,nonconference_share_before_oct1,0.345238095238095
game_types,2020,p4_vs_g5_games,15
game_types,2020,median_fbs_games_per_team,9
game_types,2020,fbs_vs_fcs_games_per_fbs_team,0.28125
game_types,2021,fbs_conference_games,528
game_types,2021,fbs_nonconference_games,242
