season,provider,games,with_opener
2017,teamrankings,766,0
2017,numberfire,765,0
2018,numberfire,758,0
2018,teamrankings,753,0
2018,caesars,701,0
2019,teamrankings,774,0
2019,numberfire,771,0
2019,caesars,759,0
2019,bovada,318,0
2020,numberfire,534,0
2020,teamrankings,521,0
2020,bovada,502,0
2020,caesars,439,0
2020,sugarhouse,92,0
2020,william hill (new jersey),80,0
2020,caesars (pennsylvania),2,0
2021,bovada,770,770
2021,teamrankings,769,0
2021,william hill (new jersey),753,0
2021,numberfire,145,0
2021,caesars (pennsylvania),15,0
2022,bovada,776,769
2022,teamrankings,766,0
2022,william hill (new jersey),754,0
2022,caesars sportsbook (colorado),11,0
2023,bovada,792,790
2023,draftkings,728,727
2023,william hill (new jersey),462,0
2023,espn bet,288,0
2023,teamrankings,52,0
2023,caesars sportsbook (colorado),22,0
2024,bovada,798,795
2024,espn bet,789,756
2024,draftkings,786,700
2025,bovada,808,808
2025,draftkings,761,667
2025,espn bet,761,756
2025,draft kings,56,0
