tag,status,remaining_after,retrieved_utc,calls_this_run
lines_year2017_seasonTyperegular,200,2412,2026-09-25T00:02:40Z,18
lines_year2017_seasonTypepostseason,200,2411,2026-09-25T00:02:42Z,18
lines_year2018_seasonTyperegular,200,2410,2026-09-25T00:02:45Z,18
lines_year2018_seasonTypepostseason,200,2409,2026-09-25T00:02:46Z,18
lines_year2019_seasonTyperegular,200,2408,2026-09-25T00:02:50Z,18
lines_year2019_seasonTypepostseason,200,2407,2026-09-25T00:02:53Z,18
lines_year2020_seasonTyperegular,200,2406,2026-09-25T00:02:56Z,18
lines_year2020_seasonTypepostseason,200,2405,2026-09-25T00:02:58Z,18
lines_year2021_seasonTyperegular,200,2404,2026-09-25T00:03:01Z,18
lines_year2021_seasonTypepostseason,200,2403,2026-09-25T00:03:03Z,18
lines_year2022_seasonTyperegular,200,2402,2026-09-25T00:03:09Z,18
lines_year2022_seasonTypepostseason,200,2401,2026-09-25T00:03:11Z,18
lines_year2023_seasonTyperegular,200,2400,2026-09-25T00:03:14Z,18
lines_year2023_seasonTypepostseason,200,2399,2026-09-25T00:03:16Z,18
lines_year2024_seasonTyperegular,200,2398,2026-09-25T00:03:19Z,18
lines_year2024_seasonTypepostseason,200,2397,2026-09-25T00:03:21Z,18
lines_year2025_seasonTyperegular,200,2396,2026-09-25T00:03:25Z,18
lines_year2025_seasonTypepostseason,200,2395,2026-09-25T00:03:27Z,18
