block,season,metric,value
talent_frozen_sdv_vs_cfbd_api,2024,teams_matched,133
talent_frozen_sdv_vs_cfbd_api,2024,median_ratio_api_over_frozen,0.808234317906815
talent_frozen_sdv_vs_cfbd_api,2024,pearson,0.787179402326846
talent_frozen_sdv_vs_cfbd_api,2024,spearman,0.822322881448765
revision_portal,2024,rows_frozen,3378
revision_portal,2024,rows_fresh,3378
revision_portal,2024,rows_only_in_fresh,0
revision_portal,2024,rows_only_in_frozen,0
revision_portal,2024,destination_changed,0
revision_portal,2024,destination_filled_since_frozen,0
revision_portal,2024,rating_changed,0
talent_frozen_sdv_vs_cfbd_api,2025,teams_matched,133
talent_frozen_sdv_vs_cfbd_api,2025,median_ratio_api_over_frozen,0.786386935571918
talent_frozen_sdv_vs_cfbd_api,2025,pearson,0.873224509988261
talent_frozen_sdv_vs_cfbd_api,2025,spearman,0.862743697779047
revision_portal,2025,rows_frozen,4499
revision_portal,2025,rows_fresh,4499
revision_portal,2025,rows_only_in_fresh,0
revision_portal,2025,rows_only_in_frozen,0
revision_portal,2025,destination_changed,0
revision_portal,2025,destination_filled_since_frozen,0
revision_portal,2025,rating_changed,0
talent_frozen_sdv_vs_cfbd_api,2026,teams_matched,137
talent_frozen_sdv_vs_cfbd_api,2026,median_ratio_api_over_frozen,0.799403110432105
talent_frozen_sdv_vs_cfbd_api,2026,pearson,0.898674843065181
talent_frozen_sdv_vs_cfbd_api,2026,spearman,0.885611577104483
revision_portal,2026,rows_frozen,4470
revision_portal,2026,rows_fresh,4472
revision_portal,2026,rows_only_in_fresh,5
revision_portal,2026,rows_only_in_frozen,3
revision_portal,2026,destination_changed,0
revision_portal,2026,destination_filled_since_frozen,0
revision_portal,2026,rating_changed,0
off_returning_frozen_sdv_vs_cfbd_api,2014,teams,125
off_returning_frozen_sdv_vs_cfbd_api,2014,pearson,0.849037211902216
off_returning_frozen_sdv_vs_cfbd_api,2014,share_abs_diff_gt_0.05,0.6
off_returning_frozen_sdv_vs_cfbd_api,2015,teams,128
off_returning_frozen_sdv_vs_cfbd_api,2015,pearson,0.905321712540484
off_returning_frozen_sdv_vs_cfbd_api,2015,share_abs_diff_gt_0.05,0.4375
off_returning_frozen_sdv_vs_cfbd_api,2016,teams,128
off_returning_frozen_sdv_vs_cfbd_api,2016,pearson,0.916887198499582
off_returning_frozen_sdv_vs_cfbd_api,2016,share_abs_diff_gt_0.05,0.5078125
off_returning_frozen_sdv_vs_cfbd_api,2017,teams,128
off_returning_frozen_sdv_vs_cfbd_api,2017,pearson,0.878407426870519
off_returning_frozen_sdv_vs_cfbd_api,2017,share_abs_diff_gt_0.05,0.5390625
off_returning_frozen_sdv_vs_cfbd_api,2018,teams,130
