block,metric,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
def_returning_reconstructed,corr_with_vendor,,,,0.877,0.887,0.909,0.932,0.915,0.912,0.861,0.98,0.996,0.963
def_returning_reconstructed,fbs_team_share,,,,1,1,1,1,0.992,1,1,1,1,1
def_returning_reconstructed,teams_with_vendor_value,,,,73,58,42,46,47,112,76,133,134,136
off_returning_frozen_sdv_vs_cfbd_api,pearson,0.849,0.905,0.917,0.878,0.882,0.834,0.804,0.545,0.897,0.958,0.961,0.945,0.767
off_returning_frozen_sdv_vs_cfbd_api,share_abs_diff_gt_0.05,0.6,0.438,0.508,0.539,0.531,0.485,0.454,0.484,0.523,0.397,0.398,0.418,0.507
off_returning_frozen_sdv_vs_cfbd_api,teams,125,128,128,128,130,130,130,128,130,131,133,134,136
plays_2025_passer,old_format_unparsed_share,,,,,,,,,,,,0.43,
plays_2025_passer,unparsed_by_either_format_share,,,,,,,,,,,,0.009,
portal_entry_month,share_month_01,,,,,,,,0.221,0.2,0.125,0.078,0.277,0.84
portal_entry_month,share_month_04,,,,,,,,0.063,0.147,0.249,0.302,0.26,0.006
portal_entry_month,share_month_05,,,,,,,,0.096,0.038,0.024,0.018,0.099,0.006
portal_entry_month,share_month_12,,,,,,,,0.227,0.247,0.44,0.446,0.291,0.088
qb_continuity,fbs_qbs_100att_moved_fbs_team,,10,7,3,6,9,10,24,35,37,45,43,42
qb_continuity,fbs_teams,,128,128,128,130,130,130,127,130,131,133,134,136
qb_continuity,leader_clear_starter_share_ge_0.6,,0.891,0.773,0.82,0.754,0.838,0.8,0.803,0.831,0.824,0.842,0.873,0.846
qb_continuity,leader_drafted_april,,0.055,0.117,0.07,0.092,0.077,0.1,0.071,0.062,0.107,0.083,0.082,0.059
qb_continuity,leader_id_positive_share,,1,1,1,1,1,1,1,1,1,1,1,1
qb_continuity,leader_not_found,,0.289,0.25,0.281,0.3,0.254,0.285,0.142,0.185,0.153,0.263,0.239,0.316
qb_continuity,leader_on_other_fbs_roster,,0.062,0.023,0.016,0.031,0.062,0.038,0.126,0.192,0.221,0.278,0.254,0.243
qb_continuity,leader_on_same_roster,,0.594,0.609,0.633,0.577,0.608,0.577,0.661,0.562,0.519,0.376,0.425,0.382
qb_continuity,leader_prev_class_known_share,,0,0.109,0.305,0.6,0.992,1,1,1,1,1,1,1
qb_continuity,not_found_with_prev_class_ge4_share,,,1,,1,0.848,0.838,0.889,0.625,0.95,0.914,0.844,0.884
revision_portal,destination_changed,,,,,,,,,,,0,0,0
revision_portal,destination_filled_since_frozen,,,,,,,,,,,0,0,0
revision_portal,rating_changed,,,,,,,,,,,0,0,0
revision_portal,rows_fresh,,,,,,,,,,,3378,4499,4472
revision_portal,rows_frozen,,,,,,,,,,,3378,4499,4470
revision_portal,rows_only_in_fresh,,,,,,,,,,,0,0,5
revision_portal,rows_only_in_frozen,,,,,,,,,,,0,0,3
roster_ids,class_year_known_share,0.082,0.194,0.379,0.599,0.828,0.958,0.998,0.991,0.999,0.994,0.995,0.999,1
roster_ids,negative_or_missing_id_share,0.458,0.394,0.27,0.215,0.155,0.037,0,0,0,0,0,0,0
roster_recruit_link,players_with_recruit_match_share,0.429,0.396,0.382,0.355,0.338,0.383,0.457,0.537,0.553,0.579,0.591,0.622,0.636
talent_frozen_sdv_vs_cfbd_api,median_ratio_api_over_frozen,,,,,,,,,,,0.808,0.786,0.799
talent_frozen_sdv_vs_cfbd_api,pearson,,,,,,,,,,,0.787,0.873,0.899
talent_frozen_sdv_vs_cfbd_api,spearman,,,,,,,,,,,0.822,0.863,0.886
talent_frozen_sdv_vs_cfbd_api,teams_matched,,,,,,,,,,,133,133,137
transfers_roster_id,fbs_to_fbs_moves,,75,148,171,192,319,373,668,1070,1456,1761,2281,2421
transfers_roster_id,portal_fbs_dest_events,,,,,,,,732,964,1217,1709,2261,2294
transfers_roster_id,teams_receiving,,58,79,88,94,102,110,124,127,131,130,133,135
