season,fbs_final_games,coverage_both_offenses,mean_eligible_plays_per_covered_game,cutoff
2013,737,0.979647218453189,119.267313019391,2014-01-07 13:30:01
2014,760,0.976315789473684,123.172506738544,2015-01-13 13:30:01
2015,765,0.980392156862745,121.602666666667,2016-01-12 13:30:01
2016,760,0.976315789473684,121.305929919137,2017-01-10 13:00:01
2017,776,0.98840206185567,119.105606258149,2018-01-09 13:00:01
2018,772,0.981865284974093,118.383905013193,2019-01-08 13:00:01
2019,774,0.990956072351421,116.597131681877,2020-01-14 13:00:01
2020,534,0.97565543071161,118.892514395393,2021-03-08 10:00:01
2021,770,0.923376623376623,113.804500703235,2022-01-11 13:00:01
2022,776,0.944587628865979,115.609822646658,2023-01-10 12:30:01
2023,792,0.962121212121212,112.011811023622,2024-01-09 12:30:01
2024,798,0.958646616541353,113.18954248366,2025-01-21 12:30:01
2025,808,0.936881188118812,107.696169088507,2026-01-20 12:30:01
