tag,status,remaining_after,retrieved_utc
games_year2013_seasonTyperegular_classificationfcs,200,2349,2026-09-25T00:54:38Z
games_year2013_seasonTypepostseason_classificationfcs,200,2348,2026-09-25T00:54:40Z
games_year2014_seasonTyperegular_classificationfcs,200,2347,2026-09-25T00:54:41Z
games_year2014_seasonTypepostseason_classificationfcs,200,2346,2026-09-25T00:54:42Z
games_year2015_seasonTyperegular_classificationfcs,200,2345,2026-09-25T00:54:43Z
games_year2015_seasonTypepostseason_classificationfcs,200,2344,2026-09-25T00:54:45Z
games_year2016_seasonTyperegular_classificationfcs,200,2343,2026-09-25T00:54:46Z
games_year2016_seasonTypepostseason_classificationfcs,200,2342,2026-09-25T00:54:47Z
games_year2017_seasonTyperegular_classificationfcs,200,2341,2026-09-25T00:54:49Z
games_year2017_seasonTypepostseason_classificationfcs,200,2340,2026-09-25T00:54:50Z
games_year2018_seasonTyperegular_classificationfcs,200,2339,2026-09-25T00:54:51Z
games_year2018_seasonTypepostseason_classificationfcs,200,2338,2026-09-25T00:54:52Z
games_year2019_seasonTyperegular_classificationfcs,200,2337,2026-09-25T00:54:54Z
games_year2019_seasonTypepostseason_classificationfcs,200,2336,2026-09-25T00:54:55Z
games_year2020_seasonTyperegular_classificationfcs,200,2335,2026-09-25T00:54:56Z
games_year2020_seasonTypepostseason_classificationfcs,200,2334,2026-09-25T00:54:58Z
games_year2021_seasonTyperegular_classificationfcs,200,2333,2026-09-25T00:55:00Z
games_year2021_seasonTypepostseason_classificationfcs,200,2332,2026-09-25T00:55:01Z
games_year2022_seasonTyperegular_classificationfcs,200,2331,2026-09-25T00:55:06Z
games_year2022_seasonTypepostseason_classificationfcs,200,2330,2026-09-25T00:55:10Z
games_year2023_seasonTyperegular_classificationfcs,200,2329,2026-09-25T00:55:11Z
games_year2023_seasonTypepostseason_classificationfcs,200,2328,2026-09-25T00:55:13Z
games_year2024_seasonTyperegular_classificationfcs,200,2327,2026-09-25T00:55:14Z
games_year2024_seasonTypepostseason_classificationfcs,200,2326,2026-09-25T00:55:16Z
games_year2025_seasonTyperegular_classificationfcs,200,2325,2026-09-25T00:55:17Z
games_year2025_seasonTypepostseason_classificationfcs,200,2324,2026-09-25T00:55:18Z
