item,season,metric,value
stats_rushing,2013,rows,9295
stats_rushing,2013,fbs_teams_missing,0
stats_rushing,2013,player_id_present_share,1
stats_receiving,2013,rows,12575
stats_receiving,2013,fbs_teams_missing,0
stats_receiving,2013,player_id_present_share,1
stats_passing,2013,rows,4431
stats_passing,2013,fbs_teams_missing,0
stats_passing,2013,player_id_present_share,1
stats_rushing,2014,rows,9840
stats_rushing,2014,fbs_teams_missing,0
stats_rushing,2014,player_id_present_share,1
stats_receiving,2014,rows,12700
stats_receiving,2014,fbs_teams_missing,0
stats_receiving,2014,player_id_present_share,1
stats_rushing,2015,rows,10155
stats_rushing,2015,fbs_teams_missing,0
stats_rushing,2015,player_id_present_share,1
stats_receiving,2015,rows,12930
stats_receiving,2015,fbs_teams_missing,0
stats_receiving,2015,player_id_present_share,1
stats_rushing,2016,rows,10320
stats_rushing,2016,fbs_teams_missing,0
stats_rushing,2016,player_id_present_share,1
stats_receiving,2016,rows,13085
stats_receiving,2016,fbs_teams_missing,0
stats_receiving,2016,player_id_present_share,1
stats_rushing,2017,rows,10555
stats_rushing,2017,fbs_teams_missing,0
stats_rushing,2017,player_id_present_share,1
stats_receiving,2017,rows,12905
stats_receiving,2017,fbs_teams_missing,0
stats_receiving,2017,player_id_present_share,1
stats_rushing,2018,rows,11865
stats_rushing,2018,fbs_teams_missing,0
stats_rushing,2018,player_id_present_share,1
stats_receiving,2018,rows,14345
stats_receiving,2018,fbs_teams_missing,0
stats_receiving,2018,player_id_present_share,1
stats_rushing,2019,rows,10865
stats_rushing,2019,fbs_teams_missing,0
stats_rushing,2019,player_id_present_share,1
stats_receiving,2019,rows,13655
stats_receiving,2019,fbs_teams_missing,0
stats_receiving,2019,player_id_present_share,1
stats_rushing,2020,rows,7295
stats_rushing,2020,fbs_teams_missing,1
stats_rushing,2020,player_id_present_share,1
stats_receiving,2020,rows,9600
stats_receiving,2020,fbs_teams_missing,1
stats_receiving,2020,player_id_present_share,1
stats_rushing,2021,rows,10690
stats_rushing,2021,fbs_teams_missing,0
stats_rushing,2021,player_id_present_share,1
stats_receiving,2021,rows,13740
stats_receiving,2021,fbs_teams_missing,0
stats_receiving,2021,player_id_present_share,1
stats_rushing,2022,rows,16350
stats_rushing,2022,fbs_teams_missing,0
stats_rushing,2022,player_id_present_share,1
stats_receiving,2022,rows,21160
stats_receiving,2022,fbs_teams_missing,0
stats_receiving,2022,player_id_present_share,1
