season,fumble_plays,r8_recovered,r15_recovered,rows_changed
2013,0,,,0
2014,1669,0.970641102456561,0.970641102456561,0
2015,1717,0.981945253348864,0.981945253348864,0
2016,1572,0.986005089058524,0.986005089058524,0
2017,1601,0.981886321049344,0.981886321049344,0
2018,1596,0.993734335839599,0.993734335839599,0
2019,1488,0.987231182795699,0.987231182795699,0
2020,979,0.984678243105209,0.984678243105209,0
2021,921,0.935939196525516,0.935939196525516,0
2022,1400,0.946428571428571,0.946428571428571,0
2023,1403,0.94511760513186,0.94511760513186,0
2024,1513,0.961665565102446,0.961665565102446,0
2025,1596,0.676691729323308,0.941102756892231,422
2026,508,0.381889763779528,0.925196850393701,276
