season,dropbacks,parsed_share,team_games_with_primary_ge10
2013,54853,0.99934370043571,0.953419811320755
2014,57910,0.990208944914522,0.973529411764706
2015,57639,0.989347490414476,0.973348783314021
2016,57072,0.990152789458929,0.974912485414236
2017,56873,0.991788722240782,0.973517559009787
2018,57849,0.99496966239693,0.970488081725312
2019,58370,0.994740448860716,0.974069898534385
2020,37987,0.983678626898676,0.970070422535211
2021,58294,0.982262325453734,0.968415115623237
2022,59681,0.978016454147886,0.971540178571429
2023,58705,0.980870453964739,0.984065934065934
2024,58767,0.976857760307656,0.980947196516059
2025,60122,0.99000365922624,0.984475374732334
2026,16021,0.988327819736596,0.982692307692308
