season,fbs_teams,promoted,last_off,last_def,two_off,two_def,cont_pass,cont_skill,cont_def,qb_xfer_in,talent4,bluechip4,new_hc,log_tenure,conf_off,conf_def
2014,128,1,0.977,0.977,0,0,0.977,0.977,0,1,1,1,0.969,0.969,0.969,0.969
2015,128,1,0.992,0.992,0.969,0.969,0.992,0.992,0,1,1,1,0.969,0.969,0.977,0.977
2016,128,1,1,1,0.992,0.992,1,1,0,1,1,1,0.984,0.984,0.969,0.969
2017,130,1,0.985,0.985,0.985,0.985,0.985,0.985,0.985,1,1,1,0.969,0.969,0.969,0.969
2018,130,1,0.992,0.992,0.977,0.977,0.992,0.992,0.992,1,1,1,0.962,0.962,0.954,0.954
2019,130,1,1,1,0.992,0.992,1,1,1,1,1,1,0.977,0.977,0.954,0.954
2020,128,1,1,1,1,1,1,1,1,1,1,1,0.984,0.984,0.961,0.961
2021,130,1,0.985,0.985,1,1,0.977,0.977,0.977,1,1,1,0.992,0.992,0.946,0.946
2022,131,1,0.992,0.992,0.977,0.977,0.992,0.992,0.992,1,1,1,0.992,0.992,0.947,0.947
2023,133,1,0.985,0.985,0.977,0.977,0.985,0.985,0.985,1,1,1,1,1,0.97,0.97
2024,134,1,0.993,0.993,0.978,0.978,0.993,0.993,0.993,1,1,1,0.97,0.97,0.978,0.978
2025,136,1,0.985,0.985,0.978,0.978,0.985,0.985,0.985,1,1,1,0.993,0.993,0.985,0.985
2026,138,1,0.986,0.986,0.971,0.971,0.986,0.986,0.986,1,1,1,1,1,0.986,0.986
