scope,n,r_amended_own,r_original_full
pooled,856,0.955444234152509,0.667474152814663
2017,73,0.877005044957019,0.869442509304854
2018,58,0.887263602848905,0.877047107964673
2019,42,0.909254291278455,0.894405326587964
2020,45,0.914279916127107,0.902530840848273
2021,47,0.915254538201973,0.841194723719003
2022,112,0.912164253908563,0.765263266631252
2023,76,0.861218555431779,0.702458850893493
2024,133,0.980089753229642,0.568379106040069
2025,134,0.99584044109985,0.616820721037775
2026,136,0.963117920859783,0.575190123363071
