scope,n,r_signed_cont_def,r_own_team_only,mean_transfer_in_share
pooled,850,0.66299663295443,0.954853957907637,0.1050953120118
2017,73,0.869442509304854,0.877005044957019,0.00659465237069439
2018,58,0.877047107964673,0.887263602848905,0.00859582854803982
2019,42,0.894405326587964,0.909254291278455,0.0202258914484238
2020,45,0.902530840848273,0.914279916127107,0.0157536784964085
2021,46,0.839361182444957,0.9131815355325,0.0597751656937518
2022,111,0.762079248142538,0.910676085160608,0.0698570076728972
2023,75,0.700928232690916,0.860876052450283,0.0993142237895684
2024,132,0.559997834611409,0.980149960732568,0.147911778945679
2025,133,0.619374603326402,0.995836779814456,0.175384881611806
2026,135,0.564994685262602,0.962421553207776,0.192516653518442
