variable,min,median,max
promoted,0,0,1
last_off,-22.511662006659,-0.35672319809291,22.8330613999168
last_def,-19.7268003210394,0.0421092835568807,29.8378052088797
two_off,-22.511662006659,-0.323563029975526,22.8330613999168
two_def,-19.7268003210394,2.19921303390436e-13,29.8378052088797
cont_pass,0,0.812047101449275,1.5
cont_skill,0.0984771573604061,0.661579554309729,1.5
cont_def,0.0866752910737387,0.660355532146031,1.30563798219585
qb_xfer_in,0,0,1
talent4,-2.81507381068434,-0.0400661195418502,2.81244964276875
bluechip4,0,0.025974025974026,0.895238095238095
new_hc,0,0,1
log_tenure,0,1.09861228866811,3.3322045101752
conf_off,-8.10288594864777,0.656118568883894,7.3567184122133
conf_def,-7.79435985615326,-0.252814494309794,8.55953347377713
