split,decile,model,n,mean_p,win_rate,gap
cond,1,C,240,0.149809520008859,0.15,0.000190479991141107
cond,2,C,240,0.291031779412105,0.3,0.00896822058789504
cond,3,C,240,0.398630221396499,0.416666666666667,0.0180364452701676
cond,4,C,239,0.488835641558148,0.435146443514644,-0.0536891980435038
cond,5,C,240,0.563892839279324,0.583333333333333,0.0194404940540096
cond,6,C,240,0.636805861039363,0.620833333333333,-0.01597252770603
cond,7,C,239,0.714099934221286,0.694560669456067,-0.0195392647652187
cond,8,C,240,0.789785475433876,0.791666666666667,0.00188119123279018
cond,9,C,240,0.876517214058536,0.9,0.0234827859414639
cond,10,C,240,0.96240912440331,0.970833333333333,0.00842420893002316
cond,1,I,240,0.15118500566132,0.158333333333333,0.00714832767201354
cond,2,I,240,0.29814750107417,0.316666666666667,0.0185191655924972
cond,3,I,240,0.404335690495519,0.383333333333333,-0.0210023571621858
cond,4,I,239,0.493772988644458,0.472803347280335,-0.0209696413641231
cond,5,I,240,0.573974915845341,0.604166666666667,0.0301917508213255
cond,6,I,240,0.640505776518172,0.570833333333333,-0.0696724431848386
cond,7,I,239,0.71476497969527,0.711297071129707,-0.00346790856556323
cond,8,I,240,0.78266997575568,0.779166666666667,-0.00350330908901342
cond,9,I,240,0.87100666557874,0.9,0.0289933344212598
cond,10,I,240,0.960191927566349,0.966666666666667,0.00647473910031804
dev,1,C,387,0.131684484594549,0.118863049095607,-0.012821435498942
dev,2,C,387,0.278153994492988,0.268733850129199,-0.00942014436378885
dev,3,C,387,0.386097993377702,0.405684754521964,0.0195867611442617
dev,4,C,386,0.483293234225411,0.440414507772021,-0.0428787264533905
dev,5,C,387,0.564447057760502,0.55297157622739,-0.0114754815331121
dev,6,C,387,0.643451571910736,0.677002583979328,0.0335510120685925
dev,7,C,386,0.724683559790364,0.709844559585492,-0.0148390002048719
dev,8,C,387,0.805546957496427,0.803617571059431,-0.00192938643699514
dev,9,C,387,0.882940775272453,0.865633074935401,-0.0173077003370523
dev,10,C,387,0.960513200815375,0.96640826873385,0.00589506791847483
dev,1,I,387,0.142866964328299,0.118863049095607,-0.0240039152326917
dev,2,I,387,0.29795654915089,0.266149870801034,-0.0318066783498562
dev,3,I,387,0.401925766448895,0.423772609819122,0.0218468433702261
dev,4,I,386,0.489112222437117,0.487046632124352,-0.00206559031276404
dev,5,I,387,0.570454223195806,0.54780361757106,-0.0226506056247459
dev,6,I,387,0.648757763808819,0.638242894056848,-0.0105148697519715
dev,7,I,386,0.723662515048641,0.72279792746114,-0.000864587587500743
dev,8,I,387,0.805411707549984,0.780361757105943,-0.0250499504440415
dev,9,I,387,0.877291103930196,0.86046511627907,-0.0168259876511265
dev,10,I,387,0.955668401117126,0.963824289405685,0.00815588828855873
