universe,model,gp_definition,bucket,estimate,lo95,hi95,lo90,hi90,se,n
dev,I,all games,pooled,1.07506827490352,1.02997376098469,1.12057099059811,1.0365617777045,1.11236862022432,0.0231538498842052,3868
dev,I,all games,0,1.27293762813316,1.15073289640031,1.42305436878046,1.17155809905535,1.39670441067761,0.0696907459097894,289
dev,I,all games,1,1.28645631254557,1.16437455003773,1.42792649107362,1.1845553753013,1.3980323107188,0.0681670840521288,262
dev,I,all games,2-3,1.12276397850425,1.01789186846156,1.23498280367612,1.03538727241204,1.21640330031645,0.0557006134359138,615
dev,I,all games,4-6,0.935664052702775,0.860126217729663,1.0084950682894,0.874658293946978,0.997005037861317,0.0373646417176116,950
dev,I,all games,7+,1.0621989961121,1.00488228445129,1.12011264513354,1.01436286493729,1.11106618944089,0.0296398150355593,1752
dev,I,"FBS-only (R15, sensitivity)",0,1.26655585902155,1.17735869091792,1.37942281509547,1.19106418018725,1.35959597778435,0.0517089405873573,442
dev,I,"FBS-only (R15, sensitivity)",1,1.23001625648409,1.10647982760472,1.34872565198851,1.12922839780036,1.32560013299342,0.0605144972200104,343
dev,I,"FBS-only (R15, sensitivity)",2-3,1.07485345670553,0.944984650788596,1.20326564205366,0.967847361541427,1.18482239795543,0.0658322702371785,660
dev,I,"FBS-only (R15, sensitivity)",4-6,0.945543530902875,0.875673518163551,1.0142898848837,0.8875331720808,1.00115935194708,0.0351151696059495,945
dev,I,"FBS-only (R15, sensitivity)",7+,1.05206211195892,0.987933092268988,1.11506131000896,0.999508185463506,1.10389978283288,0.0322545698022886,1478
dev,C2f,all games,pooled,0.998500866237087,0.952961873791639,1.04247377377239,0.961724194859379,1.0356991010976,0.0224506507701679,3868
dev,C2f,all games,0,1.21848470735044,1.0947003925274,1.32922008224975,1.11973698171375,1.30927385530836,0.0586086523585662,289
dev,C2f,all games,1,1.18918944391104,1.07316247600539,1.29203906121501,1.09593604463151,1.27261289323106,0.0605417878677791,262
dev,C2f,all games,2-3,1.03209235282618,0.9267162449494,1.15062265707574,0.942536533882966,1.13180264164417,0.0572594842671674,615
dev,C2f,all games,4-6,0.85540080704127,0.785077611972214,0.923212327420372,0.796463818997491,0.912392730583558,0.0359164425940848,950
dev,C2f,all games,7+,0.993799845799232,0.940832323703007,1.04710499825435,0.94923044734168,1.03785116754107,0.027226220047997,1752
dev,C2f,"FBS-only (R15, sensitivity)",0,1.19091594490696,1.10443039960686,1.28505226862529,1.11909277605396,1.2690710277839,0.0452202982349821,442
dev,C2f,"FBS-only (R15, sensitivity)",1,1.14099271468971,0.994834070476308,1.26441414833393,1.02378489516033,1.2436661036244,0.0669786000139651,343
dev,C2f,"FBS-only (R15, sensitivity)",2-3,1.0078788535295,0.89475365775119,1.12193353996699,0.913782611341284,1.10246387772569,0.0575821557857838,660
dev,C2f,"FBS-only (R15, sensitivity)",4-6,0.857949625681073,0.785197762795682,0.929681926632598,0.796754414175003,0.917214939584124,0.0367198190830397,945
dev,C2f,"FBS-only (R15, sensitivity)",7+,0.982392842000476,0.925900539233498,1.03893412688123,0.935410503617628,1.02903164704716,0.0288141974818421,1478
dev,C,all games,pooled,0.998445691910763,0.953348612254861,1.04208973740914,0.962079103588793,1.03521187066859,0.0222911205336336,3868
dev,C,all games,0,1.22505573666219,1.1112904765962,1.33069106152074,1.13444180912883,1.31130134978324,0.0551900910159116,289
dev,C,all games,1,1.19518632219696,1.07991929829004,1.28654878622234,1.10099549277725,1.27003289909328,0.0568750665580419,262
dev,C,all games,2-3,1.03201301622283,0.925758312710696,1.14891673945926,0.941488094135688,1.13040209940591,0.0570424463263591,615
dev,C,all games,4-6,0.855200224535262,0.785445789433514,0.922469840556333,0.79704396031946,0.910524859805037,0.0352478919618413,950
dev,C,all games,7+,0.992612214971097,0.939735194546003,1.04542450431622,0.948401799907215,1.03646707430765,0.0271009056278654,1752
dev,C,"FBS-only (R15, sensitivity)",0,1.19407704478429,1.11726006016684,1.27976829794022,1.1300573776542,1.26288666561888,0.040744495589926,442
dev,C,"FBS-only (R15, sensitivity)",1,1.14386815933943,1.01011810831074,1.25676611717558,1.03674809049171,1.23575272525755,0.0610351964295182,343
dev,C,"FBS-only (R15, sensitivity)",2-3,1.00417499800991,0.888523661886231,1.11926424228494,0.9090730677876,1.10062496839531,0.0587784843552919,660
dev,C,"FBS-only (R15, sensitivity)",4-6,0.859162127237613,0.787392032487657,0.929067093979771,0.799252754600071,0.917389068626491,0.0361059167759909,945
dev,C,"FBS-only (R15, sensitivity)",7+,0.98120044235298,0.924851146247054,1.03701911228154,0.934667371830725,1.02754490294413,0.0285242810173793,1478
cond,I,all games,pooled,1.01473716473665,0.959450566445252,1.07048691166059,0.968879722489176,1.06179361407656,0.0283275937434774,2398
cond,I,all games,0,1.16809202430468,0.952292865838352,1.39264085301194,0.99439931176987,1.34615050090748,0.111522184448503,170
cond,I,all games,1,1.15340494518396,0.839332202554338,1.57308916730504,0.888496120227018,1.46441535994549,0.187664128269776,155
cond,I,all games,2-3,1.02387275830699,0.941567391085706,1.09103552630357,0.959526236454429,1.07943070218678,0.0372222014173451,369
cond,I,all games,4-6,0.897386996882925,0.807474029177071,0.979784983896353,0.822243265832956,0.966860444127816,0.043999739847348,590
