comparison,universe,metric,estimate,lo95,hi95,lo90,hi90,se,n
C - I,dev,logloss,-0.00729123721493308,-0.0128316358768009,-0.00206800993866125,-0.0118478835650289,-0.0028479438599387,0.00275679709433299,3868
C - I,dev,brier,-0.00327058662894057,-0.00570007986690458,-0.00099548599624632,-0.00527685233839344,-0.00134593523135189,0.00118863075902057,3868
C - I,dev,mae,-0.155508293298677,-0.28334786301445,-0.0271107635318065,-0.261836367848975,-0.048486442547057,0.0652990446852729,3868
C - I,dev,rmse,-0.179029426533031,-0.323833845456303,-0.038546380625478,-0.297799960188234,-0.0644989290125462,0.0718292389145043,3868
C - C2f,dev,logloss,-0.00134490514787709,-0.00282876139340411,8.0557879218642e-05,-0.00260352620479447,-0.000146551601497479,0.000745270089596159,3868
C - C2f,dev,brier,-0.000451708165591955,-0.00104863521117317,0.000114129415638202,-0.000951886642478266,2.76295141474729e-05,0.000296873978462959,3868
C - C2f,dev,mae,-0.0176032936678629,-0.0430003287514018,0.00737499406554072,-0.0385340154915564,0.00334904098216003,0.0130010623315217,3868
C - C2f,dev,rmse,-0.0353568670910711,-0.0648778355129998,-0.00784832048686699,-0.0603652025990725,-0.011815851419815,0.0147524942107413,3868
C2f - I,dev,logloss,-0.00594633206705598,-0.0115798474558135,-0.000737075994258979,-0.0106130363862821,-0.00150014233186809,0.0027893290159836,3868
C2f - I,dev,brier,-0.00281887846334861,-0.00524633133366228,-0.000489322332812259,-0.00488139821671131,-0.000852608160945327,0.00121844829694958,3868
C2f - I,dev,mae,-0.137904999630813,-0.267488125675327,-0.00735889315366532,-0.244248474869093,-0.0296729246103891,0.0658697854952799,3868
C2f - I,dev,rmse,-0.14367255944196,-0.288322528229102,-0.00604016417065128,-0.261496766315387,-0.0283796898442598,0.0714236304422176,3868
C - K,devK,logloss,-0.0041251632384836,-0.00908235447400256,0.000825573539176333,-0.00836352499969032,-8.15132071923651e-05,0.00252002032296512,3092
C - K,devK,brier,-0.00183936381853066,-0.00387459899217321,0.000160148058534621,-0.00352894190430964,-0.000177504866597018,0.00104326575545806,3092
C - K,devK,mae,-0.106978527017629,-0.220491730103789,0.00244521350078298,-0.202025065150763,-0.0148855064575384,0.0575010305829854,3092
C - K,devK,rmse,-0.11231147451112,-0.240982648607088,0.00433709962058278,-0.217142327201923,-0.0145456752320224,0.0617809461406505,3092
K - I,devK,logloss,-0.00310699352695062,-0.00507602261583744,-0.00109888548573337,-0.00476666556181819,-0.00145527691310638,0.00101648616660438,3092
K - I,devK,brier,-0.0014905598440037,-0.00235414012934867,-0.00061584479636472,-0.00221731797888419,-0.000749552462319221,0.000443679661959047,3092
K - I,devK,mae,-0.0668078086816578,-0.126475897892704,-0.00943973020017346,-0.116873240050025,-0.017910900343213,0.0297828804289232,3092
K - I,devK,rmse,-0.07296892268295,-0.125899482137281,-0.020242263093105,-0.117840941759171,-0.0284731885974725,0.0269831118583938,3092
C - I,cond,logloss,-0.00664351464537325,-0.0138173347610232,0.000388799129561202,-0.0126491716582238,-0.00064734921974176,0.00360399034800659,2398
C - I,cond,brier,-0.00230328233645466,-0.00503220789149879,0.000484846961149775,-0.00458974005670638,4.49739250436858e-06,0.00138570683592699,2398
C - I,cond,mae,-0.249727407346343,-0.392587082246561,-0.108764054387467,-0.368941582906758,-0.133640839952482,0.0719808969082027,2398
C - I,cond,rmse,-0.360587130031549,-0.51933616622631,-0.206586310995467,-0.494227996568449,-0.228830222713993,0.0813298499746981,2398
C - C2f,cond,logloss,-0.000884008927750326,-0.00210946536387642,0.00029423979002506,-0.00192082004920628,0.000102611572122546,0.000616624696681263,2398
C - C2f,cond,brier,-0.000310692241890335,-0.000781510719361855,0.000149757367286675,-0.000705947538031919,6.51154487014796e-05,0.000234146873928172,2398
C - C2f,cond,mae,0.00244883944800475,-0.0226119636244071,0.0288558128813434,-0.0185386522604152,0.0243869905211634,0.0129350247161931,2398
C - C2f,cond,rmse,-0.0126469741622834,-0.0378603825032066,0.0124364417868542,-0.0336302867517971,0.0083718942569237,0.0127623334228932,2398
C2f - I,cond,logloss,-0.00575950571762292,-0.0136084890711973,0.00201621699488097,-0.0122380715303543,0.000749185239345882,0.00392889390335988,2398
C2f - I,cond,brier,-0.00199259009456432,-0.0049139311384827,0.00113363880436874,-0.00446584569957878,0.000494322141668213,0.00151151963514324,2398
C2f - I,cond,mae,-0.252176246794347,-0.396840936136212,-0.117743186024836,-0.370412459903679,-0.136329066611346,0.0712976354005405,2398
C2f - I,cond,rmse,-0.347940155869265,-0.510126273651223,-0.191692999063362,-0.4840661134731,-0.216961257371071,0.0828184227288151,2398
C - K,condK,logloss,-0.00345687498976532,-0.0100007600749451,0.00314011230955995,-0.00896662589233058,0.00204238460668733,0.00333195209847132,2398
C - K,condK,brier,-0.00114371713892587,-0.00354865925202668,0.0013463537564671,-0.00323802382642641,0.000945504973282933,0.00125784924527462,2398
C - K,condK,mae,-0.208783631114705,-0.335611204364383,-0.0831654007624683,-0.316537783774915,-0.102640830275561,0.064916269959432,2398
C - K,condK,rmse,-0.276737672704343,-0.424001641402912,-0.133027297668108,-0.398380163034854,-0.155479841318414,0.0750914345777798,2398
K - I,condK,logloss,-0.00318663965560792,-0.00556550039051573,-0.000753892551233938,-0.00514593440119747,-0.00112514013828139,0.00124065449672364,2398
K - I,condK,brier,-0.00115956519752879,-0.00200440784971873,-0.000277712395812528,-0.00188055763414286,-0.000414848716964061,0.000450307122791661,2398
K - I,condK,mae,-0.0409437762316377,-0.0977891458611514,0.0165788534856646,-0.0878294834429988,0.00774036585146045,0.0287118171231766,2398
K - I,condK,rmse,-0.0838494573272062,-0.142288363484433,-0.0276892405303555,-0.132439366135111,-0.0365676480915561,0.0290991389552066,2398
