universe,model,games,n,bias,mae,rmse,logloss,winner_pct
dev,I,all,561,-1.7411242113435,15.3539669037434,18.908648475555,0.217414449968284,0.93048128342246
dev,I,first game,226,-0.53362010672898,15.8032219367015,18.9506062829069,0.259694339541162,0.920353982300885
dev,I,later,335,-2.55573892072524,15.0508873889716,18.8802899409237,0.188891300584791,0.937313432835821
dev,C2f,all,561,-10.17298897133,15.9120216262835,19.7084887262478,0.251963415308535,0.928698752228164
dev,C2f,first game,226,-9.35523737724749,16.0834819806594,20.0033540393157,0.285472997716998,0.929203539823009
dev,C2f,later,335,-10.7246661661439,15.7963498648239,19.507047106166,0.229356950758347,0.928358208955224
dev,C,all,561,1.51503854390878,13.5950164765201,16.8579040195779,0.198733384217985,0.934046345811052
dev,C,first game,226,2.68930196001519,14.7243915651651,17.9133999546461,0.249638279620508,0.920353982300885
dev,C,later,335,0.722848896028042,12.8331097002999,16.1068143210837,0.164391574185238,0.943283582089552
cond,C2f,all,365,-11.7338052159592,15.5286323655914,19.3278914404858,0.208050655380249,0.93972602739726
cond,C2f,first game,153,-12.3158132987611,15.4903958033321,19.2910160229614,0.187509235052424,0.947712418300654
cond,C2f,later,212,-11.3137710807295,15.5562276204295,19.3544607106758,0.222875359673444,0.933962264150943
cond,C,all,365,0.382468777853896,12.3109274999943,15.2981325148605,0.115859036632985,0.961643835616438
cond,C,first game,153,-0.137509476247497,12.17584980078,14.894801945673,0.0771455530311215,0.980392156862745
cond,C,later,212,0.757736102747824,12.4084128206537,15.5827310087173,0.143798484704141,0.94811320754717
