universe,model,line,n,alpha,beta_E,lo95,hi95
dev,I,close,3868,-0.175137796223321,-0.00761519565132349,-0.116318664191469,0.105639803730117
dev,I,open,1539,-0.64146705589315,0.0630580071123317,-0.0935436214100037,0.226429723460674
dev,C2f,close,3868,-0.168200896215068,-0.022734781676398,-0.147282417873351,0.0955653297988157
dev,C2f,open,1539,-0.63628796244881,0.0431643695198931,-0.141693828914958,0.238776649469106
dev,C,close,3868,-0.175478136950352,-0.00622551037166662,-0.131432302118299,0.114076532603166
dev,C,open,1539,-0.639404952340747,0.0467877871263976,-0.134804604628878,0.240198750819214
devK,K,close,3092,-0.183884420154885,0.0153288861986894,-0.109967261847004,0.140592399623851
devK,K,open,1539,-0.644899796207653,0.0676835959151327,-0.0856964050990469,0.231536974664547
cond,I,close,2398,0.478704044331728,0.016534658594534,-0.126964114745356,0.16015644906718
cond,I,open,2398,0.301648021302914,0.0870493141585312,-0.0667549983974326,0.250151407613638
cond,C2f,close,2398,0.348543068289135,0.226302084135494,0.0508445994594073,0.404477891385722
cond,C2f,open,2398,0.159881366237247,0.371649113393363,0.170130387796022,0.560107095248604
cond,C,close,2398,0.333917112765435,0.232191000898058,0.0546332424521364,0.412284976243006
cond,C,open,2398,0.136979417283391,0.382181884775488,0.180900282396408,0.571110210203511
condK,K,close,2398,0.447386317291515,0.0817492197562011,-0.0664779493498366,0.231320562453944
condK,K,open,2398,0.270580222012308,0.178065314658543,0.0223073307598687,0.342786100647177
