universe,model,line,bucket,n_decided,wins,ats_pct,wilson_lo,wilson_hi
dev,I,close,"[0,1)",701,357,0.509272467902996,0.472315837544083,0.546128026444495
dev,I,close,"[1,2)",680,348,0.511764705882353,0.474234043513147,0.549163192488883
dev,I,close,"[2,3)",619,315,0.508885298869144,0.469569513858824,0.548091481317746
dev,I,close,"[3,5)",846,425,0.502364066193854,0.468737513971343,0.535969246281976
dev,I,close,"[5,7)",476,234,0.491596638655462,0.446932939108548,0.536394887503889
dev,I,close,>=7,482,221,0.45850622406639,0.414526316238038,0.503142299163591
dev,I,close,pooled,3804,1900,0.499474237644585,0.483593746812964,0.515355789284256
dev,I,open,"[0,1)",270,140,0.518518518518519,0.459078788464972,0.577438691550893
dev,I,open,"[1,2)",267,142,0.531835205992509,0.471955693305387,0.590811654330465
dev,I,open,"[2,3)",248,121,0.487903225806452,0.426353052177566,0.549822435257678
dev,I,open,"[3,5)",347,188,0.54178674351585,0.489190848448593,0.593467569679868
dev,I,open,"[5,7)",171,91,0.532163742690059,0.457493939685772,0.605420200210995
dev,I,open,>=7,205,88,0.429268292682927,0.363426195431761,0.497712487645057
dev,I,open,pooled,1508,770,0.510610079575597,0.48538504226377,0.535781198292274
dev,C2f,close,"[0,1)",824,423,0.513349514563107,0.479239664376097,0.547335472403523
dev,C2f,close,"[1,2)",694,343,0.494236311239193,0.457173411563096,0.531362666511831
dev,C2f,close,"[2,3)",617,312,0.505672609400324,0.466309682159114,0.544965338058281
dev,C2f,close,"[3,5)",864,427,0.494212962962963,0.460975002981267,0.527502155031454
dev,C2f,close,"[5,7)",456,223,0.489035087719298,0.443437813657559,0.534815560830148
dev,C2f,close,>=7,349,167,0.478510028653295,0.426620783205038,0.530867205734429
dev,C2f,close,pooled,3804,1895,0.498159831756046,0.482280765608641,0.51404261073163
dev,C2f,open,"[0,1)",338,175,0.517751479289941,0.464581391593163,0.570522600887439
dev,C2f,open,"[1,2)",311,157,0.504823151125402,0.449537210502582,0.559991394819084
dev,C2f,open,"[2,3)",234,126,0.538461538461538,0.474481600681086,0.601199065293848
dev,C2f,open,"[3,5)",330,173,0.524242424242424,0.470390863545546,0.577536077753239
dev,C2f,open,"[5,7)",167,89,0.532934131736527,0.457376887984529,0.607010293417059
dev,C2f,open,>=7,128,50,0.390625,0.310470191004958,0.477153518179872
dev,C2f,open,pooled,1508,770,0.510610079575597,0.48538504226377,0.535781198292274
dev,C,close,"[0,1)",853,446,0.522860492379836,0.489314211701632,0.556201793153779
dev,C,close,"[1,2)",684,332,0.485380116959064,0.448111884800163,0.52281164744186
dev,C,close,"[2,3)",585,295,0.504273504273504,0.463862200356946,0.54462904957986
dev,C,close,"[3,5)",894,454,0.507829977628635,0.475095160181626,0.540497793187211
dev,C,close,"[5,7)",455,219,0.481318681318681,0.435757214942119,0.527192950799894
dev,C,close,>=7,333,156,0.468468468468469,0.415537551341016,0.522118579013239
dev,C,close,pooled,3804,1902,0.5,0.484118969993348,0.515881030006652
dev,C,open,"[0,1)",327,174,0.532110091743119,0.477969593352029,0.585504918200592
dev,C,open,"[1,2)",318,161,0.506289308176101,0.451592799040387,0.560835680542874
dev,C,open,"[2,3)",249,134,0.538152610441767,0.476119647584847,0.599026256447743
dev,C,open,"[3,5)",314,165,0.525477707006369,0.470271960065746,0.580067602492788
dev,C,open,"[5,7)",174,86,0.494252873563218,0.420896274723648,0.567857753649363
