universe,model,line,n,slope,lo95,hi95
dev,I,close,3804,-0.0248393314720616,-0.0474150521547327,-0.00177837975499502
dev,I,open,1508,-0.0305390164540301,-0.0651369381287408,0.00548988832793144
dev,C2f,close,3804,-0.016543542119199,-0.0446189515280568,0.0117098294632071
dev,C2f,open,1508,-0.0364603967764725,-0.0813697715496274,0.0124299361742961
dev,C,close,3804,-0.0222704167377169,-0.0514756349940277,0.00778768233782525
dev,C,open,1508,-0.0407603609757289,-0.0932131326236866,0.0135764176249347
devK,K,close,3041,-0.0247108863054586,-0.0523585947400485,0.00338779552232106
devK,K,open,1508,-0.0318200598419656,-0.0644675965881972,-9.81482325810939e-05
cond,I,close,2350,-0.013267189638799,-0.0489044527925929,0.0217143580817936
cond,I,open,2368,0.0127074545634789,-0.0198299826995117,0.0466965970697127
cond,C2f,close,2350,0.00508198288373876,-0.033990536282416,0.0435547815101904
cond,C2f,open,2368,0.0469779436061991,0.0066804482131632,0.0832659536404381
cond,C,close,2350,0.0077454021727925,-0.0267246356376566,0.0439732876000123
cond,C,open,2368,0.06382677348519,0.0264982253512824,0.0992154143116661
condK,K,close,2350,-0.010726782547902,-0.0445319732159965,0.0251351269151254
condK,K,open,2368,0.0332854665317308,0.000201921312256158,0.0685828862266394
